func_a,func_b,similarity
init_everything,init_everything,1.0
gzwrite,gzwrite,1.0
parsecmd,parsecmd,1.0
wait,wait,1.0
expand_groups,expand_groups,1.0
crypt,crypt,1.0
init_userinfo,init_userinfo,1.0
pam_open_session,pam_open_session,1.0
pam_open_session,pam_close_session,0.6666666666666666
command_retr,command_retr,1.0
time,time,1.0
free,free,1.0
bftpd_list_get,bftpd_list_get,1.0
bftpd_list_get,bftpd_list_add,0.6666666666666666
bftpd_list_get,bftpd_list_del,0.6666666666666666
bftpd_list_get,bftpd_list_count,0.6666666666666666
wait4,wait4,1.0
memset,memset,1.0
bftpd_log,bftpd_log,1.0
bftpd_list_add,bftpd_list_get,0.6666666666666666
bftpd_list_add,bftpd_list_add,1.0
bftpd_list_add,bftpd_list_del,0.6666666666666666
bftpd_list_add,bftpd_list_count,0.6666666666666666
md5_get_result,md5_get_result,1.0
vsnprintf,vsnprintf,1.0
bftpd_setuid,bftpd_setuid,1.0
getpid,getpid,1.0
FD_ZERO,FD_ZERO,1.0
sscanf,sscanf,1.0
strtoul,strtoul,1.0
command_stor,command_stor,1.0
ctime,ctime,1.0
FD_SET,FD_SET,1.0
opendir,opendir,1.0
fflush,fflush,1.0
geteuid,geteuid,1.0
pam_start,pam_start,1.0
execv,execv,1.0
Update_Send_Recv,Update_Send_Recv,1.0
Update_Send_Recv,Force_Update_Sent_Recv_Log,0.5714285714285714
closedir,closedir,1.0
bftpd_cwd_getcwd,bftpd_cwd_getcwd,1.0
bftpd_cwd_getcwd,bftpd_cwd_chdir,0.6666666666666666
bftpd_cwd_getcwd,bftpd_cwd_init,0.6666666666666666
bftpd_cwd_getcwd,bftpd_cwd_end,0.6666666666666666
bftpd_cwd_getcwd,bftpd_cwd_mappath,0.6666666666666666
getgrnam,getgrnam,1.0
getpeername,getpeername,1.0
fgets,fgets,1.0
strtok,strtok,1.0
pam_strerror,pam_strerror,1.0
write,write,1.0
mygetpwuid,mygetpwuid,1.0
log_init,log_init,1.0
admin_parsecmd,admin_parsecmd,1.0
strftime,strftime,1.0
strncpy,strncpy,1.0
localtime,localtime,1.0
strchr,strchr,1.0
inet_addr,inet_addr,1.0
atexit,atexit,1.0
dirlist,dirlist,1.0
replace,replace,1.0
waitpid,waitpid,1.0
bftpdutmp_dup_ip_count,bftpdutmp_dup_ip_count,1.0
gzread,gzread,1.0
strcasecmp,strcasecmp,1.0
getpwnam,getpwnam,1.0
create_options,create_options,1.0
readlink,readlink,1.0
strncmp,strncmp,1.0
mygetpwnam,mygetpwnam,1.0
pax_main,pax_main,1.0
S_ISDIR,S_ISDIR,1.0
close,close,1.0
dataconn,dataconn,1.0
strlen,strlen,1.0
bftpd_login,bftpd_login,1.0
calloc,calloc,1.0
FD_ISSET,FD_ISSET,1.0
chdir,chdir,1.0
htonl,htonl,1.0
select,select,1.0
fopen,fopen,1.0
bftpdutmp_log,bftpdutmp_log,1.0
rmdir,rmdir,1.0
fwrite,fwrite,1.0
htons,htons,1.0
config_end,config_end,1.0
gmtime,gmtime,1.0
strcat,strcat,1.0
new_umask,new_umask,1.0
getpwuid,getpwuid,1.0
fprintf,fprintf,1.0
print_file,print_file,1.0
fclose,fclose,1.0
connect,connect,1.0
chown,chown,1.0
check_file_password,check_file_password,1.0
prepare_sock,prepare_sock,1.0
run_script,run_script,1.0
signal,signal,1.0
setuid,setuid,1.0
wtmp_end,wtmp_end,1.0
do_stor,do_stor,1.0
bftpd_stat,bftpd_stat,1.0
function,function,1.0
function,function,1.0
function,function,1.0
md5_init,md5_init,1.0
hidegroups_init,hidegroups_init,1.0
lstat,lstat,1.0
config_read_line,config_read_line,1.0
command_noop,command_noop,1.0
Current_Date,Current_Date,1.0
checkpass_pwd,checkpass_pwd,1.0
checkpass_pwd,checkpass,0.6666666666666666
add_to_hidegroups,add_to_hidegroups,1.0
printf,printf,1.0
initgroups,initgroups,1.0
setsid,setsid,1.0
fread,fread,1.0
lseek,lseek,1.0
pam_close_session,pam_open_session,0.6666666666666666
pam_close_session,pam_close_session,1.0
va_end,va_end,1.0
openlog,openlog,1.0
bftpd_logwtmp,bftpd_logwtmp,1.0
getgrgid,getgrgid,1.0
chroot,chroot,1.0
getcwd,getcwd,1.0
alarm,alarm,1.0
bftpd_cwd_chdir,bftpd_cwd_getcwd,0.6666666666666666
bftpd_cwd_chdir,bftpd_cwd_chdir,1.0
bftpd_cwd_chdir,bftpd_cwd_init,0.6666666666666666
bftpd_cwd_chdir,bftpd_cwd_end,0.6666666666666666
bftpd_cwd_chdir,bftpd_cwd_mappath,0.6666666666666666
bftpdutmp_init,bftpdutmp_init,1.0
checkpass,checkpass_pwd,0.6666666666666666
checkpass,checkpass,1.0
checkpass,checkpass_pam,0.6666666666666666
strdup,strdup,1.0
function,function,1.0
function,function,1.0
function,function,1.0
control_printf,control_printf,1.0
bind,bind,1.0
setgid,setgid,1.0
pam_end,pam_end,1.0
umask,umask,1.0
memmove,memmove,1.0
getopt,getopt,1.0
accept,accept,1.0
sprintf,sprintf,1.0
unlink,unlink,1.0
end_pam,end_pam,1.0
OP234,OP234,1.0
malloc,malloc,1.0
mystrncpy,mystrncpy,1.0
open,open,1.0
memcpy,memcpy,1.0
process_block,process_block,1.0
fdopen,fdopen,1.0
gethostbyaddr,gethostbyaddr,1.0
bftpd_cwd_init,bftpd_cwd_getcwd,0.6666666666666666
bftpd_cwd_init,bftpd_cwd_chdir,0.6666666666666666
bftpd_cwd_init,bftpd_cwd_init,1.0
bftpd_cwd_init,bftpd_cwd_end,0.6666666666666666
bftpd_cwd_init,bftpd_cwd_mappath,0.6666666666666666
dup2,dup2,1.0
OP1,OP1,1.0
fscanf,fscanf,1.0
fork,fork,1.0
fnmatch,fnmatch,1.0
config_init,config_init,1.0
login_end,login_end,1.0
gzclose,gzclose,1.0
int_from_list,int_from_list,1.0
getoption_user,getoption_user,1.0
getoption_user,getoption,0.6666666666666666
user_is_in_group,user_is_in_group,1.0
bftpd_statuslog,bftpd_statuslog,1.0
exit,exit,1.0
checkshell,checkshell,1.0
fseek,fseek,1.0
getoption,getoption_user,0.6666666666666666
getoption,getoption,1.0
getoption,getoption_global,0.6666666666666666
getoption,getoption_group,0.6666666666666666
getoption,getoption_directories,0.6666666666666666
chmod,chmod,1.0
get_buffer_size,get_buffer_size,1.0
bftpdutmp_usercount,bftpdutmp_usercount,1.0
config_getoption_reread,config_getoption_reread,1.0
config_getoption_reread,config_getoption,0.8
SWAP,SWAP,1.0
dirlist_one_file,dirlist_one_file,1.0
log_end,log_end,1.0
rewind,rewind,1.0
cutto,cutto,1.0
getspnam,getspnam,1.0
getoption_global,getoption,0.6666666666666666
getoption_global,getoption_global,1.0
checkuser,checkuser,1.0
listen,listen,1.0
strerror,strerror,1.0
seteuid,seteuid,1.0
realloc,realloc,1.0
mkdir,mkdir,1.0
md5_process,md5_process,1.0
strrchr,strrchr,1.0
stat,stat,1.0
strcpy,strcpy,1.0
syslog,syslog,1.0
getoption_group,getoption,0.6666666666666666
getoption_group,getoption_group,1.0
bftpdutmp_pidexists,bftpdutmp_pidexists,1.0
wtmp_init,wtmp_init,1.0
md5_sig_to_string,md5_sig_to_string,1.0
getsockname,getsockname,1.0
inet_ntoa,inet_ntoa,1.0
send,send,1.0
checkpass_pam,checkpass,0.6666666666666666
checkpass_pam,checkpass_pam,1.0
rename,rename,1.0
setvbuf,setvbuf,1.0
kill,kill,1.0
pam_acct_mgmt,pam_acct_mgmt,1.0
strncasecmp,strncasecmp,1.0
readdir,readdir,1.0
socket,socket,1.0
bftpdutmp_create_dir,bftpdutmp_create_dir,1.0
atoi,atoi,1.0
bftpdutmp_remove_pid,bftpdutmp_remove_pid,1.0
login_init,login_init,1.0
strstr,strstr,1.0
bftpd_cwd_end,bftpd_cwd_getcwd,0.6666666666666666
bftpd_cwd_end,bftpd_cwd_chdir,0.6666666666666666
bftpd_cwd_end,bftpd_cwd_init,0.6666666666666666
bftpd_cwd_end,bftpd_cwd_end,1.0
bftpd_cwd_end,bftpd_cwd_mappath,0.6666666666666666
config_getoption,config_getoption_reread,0.8
config_getoption,config_getoption,1.0
getusershell,getusershell,1.0
recv,recv,1.0
fileno,fileno,1.0
ntohs,ntohs,1.0
S_ISLNK,S_ISLNK,1.0
do_dirlist,do_dirlist,1.0
getoption_directories,getoption,0.6666666666666666
getoption_directories,getoption_directories,1.0
closelog,closelog,1.0
loginfailed,loginfailed,1.0
Reread_Config_File,Reread_Config_File,1.0
bftpd_cwd_mappath,bftpd_cwd_getcwd,0.6666666666666666
bftpd_cwd_mappath,bftpd_cwd_chdir,0.6666666666666666
bftpd_cwd_mappath,bftpd_cwd_init,0.6666666666666666
bftpd_cwd_mappath,bftpd_cwd_end,0.6666666666666666
bftpd_cwd_mappath,bftpd_cwd_mappath,1.0
pipe,pipe,1.0
bftpdutmp_end,bftpdutmp_end,1.0
setsockopt,setsockopt,1.0
strcmp,strcmp,1.0
md5_finish,md5_finish,1.0
read,read,1.0
Open_Send_Receive_Log,Open_Send_Receive_Log,1.0
Force_Update_Sent_Recv_Log,Update_Send_Recv,0.5714285714285714
Force_Update_Sent_Recv_Log,Force_Update_Sent_Recv_Log,1.0
bftpd_list_del,bftpd_list_get,0.6666666666666666
bftpd_list_del,bftpd_list_add,0.6666666666666666
bftpd_list_del,bftpd_list_del,1.0
bftpd_list_del,bftpd_list_count,0.6666666666666666
va_start,va_start,1.0
gzdopen,gzdopen,1.0
test_abort,test_abort,1.0
appendpath,appendpath,1.0
function,function,1.0
function,function,1.0
function,function,1.0
pam_authenticate,pam_authenticate,1.0
endusershell,endusershell,1.0
bftpd_list_count,bftpd_list_get,0.6666666666666666
bftpd_list_count,bftpd_list_add,0.6666666666666666
bftpd_list_count,bftpd_list_del,0.6666666666666666
bftpd_list_count,bftpd_list_count,1.0
gzopen,gzopen,1.0
