commit_message,file_name,change_type,log_node,cdg_nodes,neighbor_nodes,ddg_nodes,ddg_lists,context_lists,store_name,log_loc
[ASTPrinter] Synthesize protocol extensions introduced by extensions' local conformances. rdar://28725923 (#8632),lib/AST/ASTPrinter.cpp,+,"[""2017"", ""True"", ""Condition"", ""shouldPrint ( E , Options )""]","[[""True"", [2108, ""True"", ""isa < ProtocolDecl > ( Target )"", ""Condition""]]]","[["""", [2026, ""True"", "")"", ""Statement""]], ["""", [2027, ""True"", ""Synthesized"", ""Statement""]], ["""", [2028, ""True"", ""bool"", ""Statement""]], ["""", [2029, ""True"", "","", ""Statement""]]]","[[[""isa"", ""ProtocolDecl"", ""Target"", "">"", ""<""]], [[]], [[]], [[]], [[]]]",[],[],/data/download/swift/apple_swift0_new.cpp,342
[ASTPrinter] Synthesize protocol extensions introduced by extensions' local conformances. rdar://28725923 (#8632),lib/AST/ASTPrinter.cpp,-,"[""26097"", ""True"", ""Condition"", ""! shouldPrint ( E , Options )""]","[[""True"", [26139, ""True"", ""! Unhandled . empty ( )"", ""Condition""]], [""True"", [26247, ""True"", ""isa < ProtocolDecl > ( Target )"", ""Condition""]]]","[["""", [26108, ""True"", "")"", ""Statement""]], ["""", [26109, ""True"", "")"", ""Statement""]], ["""", [26110, ""True"", ""("", ""Statement""]], ["""", [26111, ""True"", ""getExtensions"", ""Statement""]]]","[[[""!"", ""Unhandled . empty"", null]], [[""isa"", ""ProtocolDecl"", ""Target"", "">"", ""<""]], [[]], [[]], [[]], [[]]]",[],[],/data/download/swift/apple_swift0_old.cpp,348
[ASTPrinter] Synthesize protocol extensions introduced by extensions' local conformances. rdar://28725923 (#8632),lib/AST/ASTPrinter.cpp,-,"[""25996"", ""True"", ""Condition"", ""! shouldPrint ( E , Options )""]","[[""False"", [26247, ""True"", ""isa < ProtocolDecl > ( Target )"", ""Condition""]]]","[["""", [26007, ""True"", "")"", ""Statement""]], ["""", [26008, ""True"", "")"", ""Statement""]], ["""", [26009, ""True"", ""("", ""Statement""]], ["""", [26010, ""True"", ""getExtensions"", ""Statement""]]]","[[[""isa"", ""ProtocolDecl"", ""Target"", "">"", ""<""]], [[]], [[]], [[]], [[]]]",[],[],/data/download/swift/apple_swift0_old.cpp,364
Merge pull request #8634 from DougGregor/gsb-unresolved-vs-direct,lib/AST/GenericSignatureBuilder.cpp,+,"[""170970"", ""True"", ""ExpressionStatement"", ""assert ( constraintType && \""Missing constraint type?\"" )""]",[],"[["""", [170979, ""True"", ""constraintType = resolvedConstraint -> getType ( )"", ""ExpressionStatement""]], ["""", [170988, ""True"", ""auto"", ""Statement""]]]","[[[""constraintType"", ""resolvedConstraint -> getType"", ""=""]], [[]]]","[[u'constraintType', [170979, u'True', u'constraintType = resolvedConstraint -> getType ( )', u'ExpressionStatement']]]","[[[u'constraintType', u'resolvedConstraint -> getType', u'='], u'constraintType']]",/data/download/swift/apple_swift1_new.cpp,2457
Merge pull request #8634 from DougGregor/gsb-unresolved-vs-direct,lib/AST/GenericSignatureBuilder.cpp,+,"[""170931"", ""True"", ""Condition"", ""source . getLoc ( ) . isValid ( ) && ! constraintType -> hasError ( )""]",[],"[["""", [170970, ""True"", ""assert ( constraintType && \""Missing constraint type?\"" )"", ""ExpressionStatement""]], ["""", [170979, ""True"", ""constraintType = resolvedConstraint -> getType ( )"", ""ExpressionStatement""]], ["""", [170988, ""True"", ""auto"", ""Statement""]]]","[[[""assert""]], [[""constraintType"", ""resolvedConstraint -> getType"", ""=""]], [[]]]","[[u'constraintType', [170979, u'True', u'constraintType = resolvedConstraint -> getType ( )', u'ExpressionStatement']]]","[[[u'constraintType', u'resolvedConstraint -> getType', u'='], u'constraintType']]",/data/download/swift/apple_swift1_new.cpp,2460
Merge pull request #8634 from DougGregor/gsb-unresolved-vs-direct,lib/AST/GenericSignatureBuilder.cpp,+,"[""170723"", ""True"", ""ExpressionStatement"", ""assert ( subjectPA && \""No potential archetype?\"" )""]","[[""False"", [170803, ""True"", ""resolvedSubject -> isType ( )"", ""Condition""]], [""False"", [170839, ""True"", ""! resolvedSubject"", ""Condition""]], [""False"", [170952, ""True"", ""! constraintType -> isExistentialType ( ) && ! constraintType -> getClassOrBoundGenericClass ( )"", ""Condition""]]]","[["""", [170732, ""True"", ""subjectPA = resolvedSubject -> getPotentialArchetype ( )"", ""ExpressionStatement""]], ["""", [170741, ""True"", ""auto"", ""Statement""]]]","[[[null]], [[""!"", ""resolvedSubject"", null]], [[""!"", ""constraintType -> isExistentialType"", null]], [[""!"", ""constraintType -> getClassOrBoundGenericClass"", null]], [[""subjectPA"", ""resolvedSubject -> getPotentialArchetype"", ""=""]], [[]]]","[[u'subjectPA', [170732, u'True', u'subjectPA = resolvedSubject -> getPotentialArchetype ( )', u'ExpressionStatement']]]","[[[u'subjectPA', u'resolvedSubject -> getPotentialArchetype', u'='], u'subjectPA']]",/data/download/swift/apple_swift1_new.cpp,2504
Merge pull request #8634 from DougGregor/gsb-unresolved-vs-direct,lib/AST/GenericSignatureBuilder.cpp,-,"[""192520"", ""True"", ""ExpressionStatement"", ""assert ( req . getSecondType ( ) -> getClassOrBoundGenericClass ( ) )""]","[[""case RequirementKind :: Superclass"", [192540, ""True"", ""! pa"", ""Condition""]], [""case RequirementKind :: Superclass"", [192568, ""True"", ""req . getKind ( )"", ""Condition""]]]","[["""", [192544, ""True"", ""PotentialArchetype * pa = resolveArchetype ( subst ( req . getFirstType ( ) ) ) ;"", ""IdentifierDeclStatement""]], ["""", [192566, ""True"", ""case RequirementKind :: Superclass :"", ""Label""]]]","[[[""!"", ""PotentialArchetype *"", null]], [[null]], [[null, ""PotentialArchetype *"", ""PotentialArchetype *"", ""resolveArchetype"", ""="", null]], [[""RequirementKind :: Superclass""]]]",[],[],/data/download/swift/apple_swift1_old.cpp,2819
"[GSB] Separate out ""unresolved"" and ""direct"" type requirement handling.

As we've done with layout requirements, introduce a new entry point
(addTypeRequirement) that handles unresolved type requirements of the
form `T: U`, resolves the types, and then can

1. Diagnose any immediate problems with the types,
2. Delay the type requirement if one of the types cannot be resolved,
or
3. Break it into one or more ""direct"" requirements.

This allows us to clean up and centralize a bunch of checking that was
scattered/duplicated across the GSB and type checker.",lib/AST/GenericSignatureBuilder.cpp,+,"[""529950"", ""True"", ""ExpressionStatement"", ""assert ( constraintType && \""Missing constraint type?\"" )""]",[],"[["""", [529959, ""True"", ""constraintType = resolvedConstraint -> getType ( )"", ""ExpressionStatement""]], ["""", [529968, ""True"", ""auto"", ""Statement""]]]","[[[""constraintType"", ""resolvedConstraint -> getType"", ""=""]], [[]]]","[[u'constraintType', [529959, u'True', u'constraintType = resolvedConstraint -> getType ( )', u'ExpressionStatement']]]","[[[u'constraintType', u'resolvedConstraint -> getType', u'='], u'constraintType']]",/data/download/swift/apple_swift2_new.cpp,2457
"[GSB] Separate out ""unresolved"" and ""direct"" type requirement handling.

As we've done with layout requirements, introduce a new entry point
(addTypeRequirement) that handles unresolved type requirements of the
form `T: U`, resolves the types, and then can

1. Diagnose any immediate problems with the types,
2. Delay the type requirement if one of the types cannot be resolved,
or
3. Break it into one or more ""direct"" requirements.

This allows us to clean up and centralize a bunch of checking that was
scattered/duplicated across the GSB and type checker.",lib/AST/GenericSignatureBuilder.cpp,+,"[""529911"", ""True"", ""Condition"", ""source . getLoc ( ) . isValid ( ) && ! constraintType -> hasError ( )""]",[],"[["""", [529950, ""True"", ""assert ( constraintType && \""Missing constraint type?\"" )"", ""ExpressionStatement""]], ["""", [529959, ""True"", ""constraintType = resolvedConstraint -> getType ( )"", ""ExpressionStatement""]], ["""", [529968, ""True"", ""auto"", ""Statement""]]]","[[[""assert""]], [[""constraintType"", ""resolvedConstraint -> getType"", ""=""]], [[]]]","[[u'constraintType', [529959, u'True', u'constraintType = resolvedConstraint -> getType ( )', u'ExpressionStatement']]]","[[[u'constraintType', u'resolvedConstraint -> getType', u'='], u'constraintType']]",/data/download/swift/apple_swift2_new.cpp,2460
"[GSB] Separate out ""unresolved"" and ""direct"" type requirement handling.

As we've done with layout requirements, introduce a new entry point
(addTypeRequirement) that handles unresolved type requirements of the
form `T: U`, resolves the types, and then can

1. Diagnose any immediate problems with the types,
2. Delay the type requirement if one of the types cannot be resolved,
or
3. Break it into one or more ""direct"" requirements.

This allows us to clean up and centralize a bunch of checking that was
scattered/duplicated across the GSB and type checker.",lib/AST/GenericSignatureBuilder.cpp,+,"[""529703"", ""True"", ""ExpressionStatement"", ""assert ( subjectPA && \""No potential archetype?\"" )""]","[[""False"", [529783, ""True"", ""resolvedSubject -> isType ( )"", ""Condition""]], [""False"", [529819, ""True"", ""! resolvedSubject"", ""Condition""]], [""False"", [529932, ""True"", ""! constraintType -> isExistentialType ( ) && ! constraintType -> getClassOrBoundGenericClass ( )"", ""Condition""]]]","[["""", [529712, ""True"", ""subjectPA = resolvedSubject -> getPotentialArchetype ( )"", ""ExpressionStatement""]], ["""", [529721, ""True"", ""auto"", ""Statement""]]]","[[[null]], [[""!"", ""resolvedSubject"", null]], [[""!"", ""constraintType -> isExistentialType"", null]], [[""!"", ""constraintType -> getClassOrBoundGenericClass"", null]], [[""subjectPA"", ""resolvedSubject -> getPotentialArchetype"", ""=""]], [[]]]","[[u'subjectPA', [529712, u'True', u'subjectPA = resolvedSubject -> getPotentialArchetype ( )', u'ExpressionStatement']]]","[[[u'subjectPA', u'resolvedSubject -> getPotentialArchetype', u'='], u'subjectPA']]",/data/download/swift/apple_swift2_new.cpp,2504
