commit_message,file_name,change_type,log_node,cdg_nodes,ddg_nodes
"[analyzer] Reland r299544 ""Add a modular constraint system to the CloneDetector""

Hopefully fix crashes by unshadowing the variable.


Original commit message:

A big part of the clone detection code is functionality for filtering clones and
clone groups based on different criteria. So far this filtering process was
hardcoded into the CloneDetector class, which made it hard to understand and,
ultimately, to extend.

This patch splits the CloneDetector's logic into a sequence of reusable
constraints that are used for filtering clone groups. These constraints
can be turned on and off and reodreder at will, and new constraints are easy
to implement if necessary.

Unit tests are added for the new constraint interface.

This is a refactoring patch - no functional change intended.

Patch by Raphael Isemann!

Differential Revision: https://reviews.llvm.org/D23418


git-svn-id: https://llvm.org/svn/llvm-project/cfe/trunk@299653 91177308-0d34-0410-b5e6-96231b3b80d8",lib/Analysis/CloneDetection.cpp,+,"[[325, u'True', u'ExpressionStatement', u'assert ( D )'], [325, u'True', u'ExpressionStatement', u'assert ( D )']]","[[326, None, u'CallExpression', u'assert ( D )'], [330, None, u'Callee', u'assert'], [327, None, u'ArgumentList', u'D'], [331, None, u'Identifier', u'assert'], [328, None, u'Argument', u'D'], [329, None, u'Identifier', u'D'], [325, u'True', u'ExpressionStatement', u'assert ( D )'], [332, u'True', u'CFGEntryNode', u'ENTRY'], [326, None, u'CallExpression', u'assert ( D )'], [330, None, u'Callee', u'assert'], [327, None, u'ArgumentList', u'D'], [331, None, u'Identifier', u'assert'], [328, None, u'Argument', u'D'], [329, None, u'Identifier', u'D'], [325, u'True', u'ExpressionStatement', u'assert ( D )'], [332, u'True', u'CFGEntryNode', u'ENTRY']]","[[326, None, u'CallExpression', u'assert ( D )'], [330, None, u'Callee', u'assert'], [327, None, u'ArgumentList', u'D'], [331, None, u'Identifier', u'assert'], [328, None, u'Argument', u'D'], [329, None, u'Identifier', u'D'], [325, u'True', u'ExpressionStatement', u'assert ( D )'], [326, None, u'CallExpression', u'assert ( D )'], [330, None, u'Callee', u'assert'], [327, None, u'ArgumentList', u'D'], [331, None, u'Identifier', u'assert'], [328, None, u'Argument', u'D'], [329, None, u'Identifier', u'D'], [325, u'True', u'ExpressionStatement', u'assert ( D )']]"
"[analyzer] Reland r299544 ""Add a modular constraint system to the CloneDetector""

Hopefully fix crashes by unshadowing the variable.


Original commit message:

A big part of the clone detection code is functionality for filtering clones and
clone groups based on different criteria. So far this filtering process was
hardcoded into the CloneDetector class, which made it hard to understand and,
ultimately, to extend.

This patch splits the CloneDetector's logic into a sequence of reusable
constraints that are used for filtering clone groups. These constraints
can be turned on and off and reodreder at will, and new constraints are easy
to implement if necessary.

Unit tests are added for the new constraint interface.

This is a refactoring patch - no functional change intended.

Patch by Raphael Isemann!

Differential Revision: https://reviews.llvm.org/D23418


git-svn-id: https://llvm.org/svn/llvm-project/cfe/trunk@299653 91177308-0d34-0410-b5e6-96231b3b80d8",lib/Analysis/CloneDetection.cpp,+,"[[721, u'True', u'ExpressionStatement', u'assert ( D )']]","[[722, None, u'CallExpression', u'assert ( D )'], [726, None, u'Callee', u'assert'], [723, None, u'ArgumentList', u'D'], [727, None, u'Identifier', u'assert'], [724, None, u'Argument', u'D'], [725, None, u'Identifier', u'D'], [721, u'True', u'ExpressionStatement', u'assert ( D )'], [728, u'True', u'CFGEntryNode', u'ENTRY']]","[[722, None, u'CallExpression', u'assert ( D )'], [726, None, u'Callee', u'assert'], [723, None, u'ArgumentList', u'D'], [727, None, u'Identifier', u'assert'], [724, None, u'Argument', u'D'], [725, None, u'Identifier', u'D'], [721, u'True', u'ExpressionStatement', u'assert ( D )'], [685, None, u'ParameterType', u'const Decl *'], [684, None, u'Identifier', u'D'], [683, u'True', u'Parameter', u'const Decl * D']]"
"[analyzer] Reland r299544 ""Add a modular constraint system to the CloneDetector""

Hopefully fix crashes by unshadowing the variable.


Original commit message:

A big part of the clone detection code is functionality for filtering clones and
clone groups based on different criteria. So far this filtering process was
hardcoded into the CloneDetector class, which made it hard to understand and,
ultimately, to extend.

This patch splits the CloneDetector's logic into a sequence of reusable
constraints that are used for filtering clone groups. These constraints
can be turned on and off and reodreder at will, and new constraints are easy
to implement if necessary.

Unit tests are added for the new constraint interface.

This is a refactoring patch - no functional change intended.

Patch by Raphael Isemann!

Differential Revision: https://reviews.llvm.org/D23418


git-svn-id: https://llvm.org/svn/llvm-project/cfe/trunk@299653 91177308-0d34-0410-b5e6-96231b3b80d8",lib/Analysis/CloneDetection.cpp,+,"[[709, u'True', u'ExpressionStatement', u'assert ( D -> hasBody ( ) )']]","[[710, None, u'CallExpression', u'assert ( D -> hasBody ( ) )'], [719, None, u'Callee', u'assert'], [711, None, u'ArgumentList', u'D -> hasBody ( )'], [720, None, u'Identifier', u'assert'], [712, None, u'Argument', u'D -> hasBody ( )'], [713, None, u'CallExpression', u'D -> hasBody ( )'], [715, None, u'Callee', u'D -> hasBody'], [714, None, u'ArgumentList', u''], [716, None, u'PtrMemberAccess', u'D -> hasBody'], [718, None, u'Identifier', u'D'], [717, None, u'Identifier', u'hasBody'], [709, u'True', u'ExpressionStatement', u'assert ( D -> hasBody ( ) )'], [728, u'True', u'CFGEntryNode', u'ENTRY']]","[[710, None, u'CallExpression', u'assert ( D -> hasBody ( ) )'], [719, None, u'Callee', u'assert'], [711, None, u'ArgumentList', u'D -> hasBody ( )'], [720, None, u'Identifier', u'assert'], [712, None, u'Argument', u'D -> hasBody ( )'], [713, None, u'CallExpression', u'D -> hasBody ( )'], [715, None, u'Callee', u'D -> hasBody'], [714, None, u'ArgumentList', u''], [716, None, u'PtrMemberAccess', u'D -> hasBody'], [718, None, u'Identifier', u'D'], [717, None, u'Identifier', u'hasBody'], [709, u'True', u'ExpressionStatement', u'assert ( D -> hasBody ( ) )'], [685, None, u'ParameterType', u'const Decl *'], [684, None, u'Identifier', u'D'], [683, u'True', u'Parameter', u'const Decl * D']]"
"[analyzer] Reland r299544 ""Add a modular constraint system to the CloneDetector""

Hopefully fix crashes by unshadowing the variable.


Original commit message:

A big part of the clone detection code is functionality for filtering clones and
clone groups based on different criteria. So far this filtering process was
hardcoded into the CloneDetector class, which made it hard to understand and,
ultimately, to extend.

This patch splits the CloneDetector's logic into a sequence of reusable
constraints that are used for filtering clone groups. These constraints
can be turned on and off and reodreder at will, and new constraints are easy
to implement if necessary.

Unit tests are added for the new constraint interface.

This is a refactoring patch - no functional change intended.

Patch by Raphael Isemann!

Differential Revision: https://reviews.llvm.org/D23418


git-svn-id: https://llvm.org/svn/llvm-project/cfe/trunk@299653 91177308-0d34-0410-b5e6-96231b3b80d8",lib/Analysis/CloneDetection.cpp,-,"[[3941, u'True', u'ExpressionStatement', u'assert ( D )']]","[[3942, None, u'CallExpression', u'assert ( D )'], [3946, None, u'Callee', u'assert'], [3943, None, u'ArgumentList', u'D'], [3947, None, u'Identifier', u'assert'], [3944, None, u'Argument', u'D'], [3945, None, u'Identifier', u'D'], [3941, u'True', u'ExpressionStatement', u'assert ( D )'], [3948, u'True', u'CFGEntryNode', u'ENTRY']]","[[3942, None, u'CallExpression', u'assert ( D )'], [3946, None, u'Callee', u'assert'], [3943, None, u'ArgumentList', u'D'], [3947, None, u'Identifier', u'assert'], [3944, None, u'Argument', u'D'], [3945, None, u'Identifier', u'D'], [3941, u'True', u'ExpressionStatement', u'assert ( D )'], [3898, None, u'ParameterType', u'const Decl *'], [3897, None, u'Identifier', u'D'], [3896, u'True', u'Parameter', u'const Decl * D']]"
"[analyzer] Reland r299544 ""Add a modular constraint system to the CloneDetector""

Hopefully fix crashes by unshadowing the variable.


Original commit message:

A big part of the clone detection code is functionality for filtering clones and
clone groups based on different criteria. So far this filtering process was
hardcoded into the CloneDetector class, which made it hard to understand and,
ultimately, to extend.

This patch splits the CloneDetector's logic into a sequence of reusable
constraints that are used for filtering clone groups. These constraints
can be turned on and off and reodreder at will, and new constraints are easy
to implement if necessary.

Unit tests are added for the new constraint interface.

This is a refactoring patch - no functional change intended.

Patch by Raphael Isemann!

Differential Revision: https://reviews.llvm.org/D23418


git-svn-id: https://llvm.org/svn/llvm-project/cfe/trunk@299653 91177308-0d34-0410-b5e6-96231b3b80d8",lib/Analysis/CloneDetection.cpp,-,"[[3929, u'True', u'ExpressionStatement', u'assert ( D -> hasBody ( ) )']]","[[3930, None, u'CallExpression', u'assert ( D -> hasBody ( ) )'], [3939, None, u'Callee', u'assert'], [3931, None, u'ArgumentList', u'D -> hasBody ( )'], [3940, None, u'Identifier', u'assert'], [3932, None, u'Argument', u'D -> hasBody ( )'], [3933, None, u'CallExpression', u'D -> hasBody ( )'], [3935, None, u'Callee', u'D -> hasBody'], [3934, None, u'ArgumentList', u''], [3936, None, u'PtrMemberAccess', u'D -> hasBody'], [3938, None, u'Identifier', u'D'], [3937, None, u'Identifier', u'hasBody'], [3929, u'True', u'ExpressionStatement', u'assert ( D -> hasBody ( ) )'], [3948, u'True', u'CFGEntryNode', u'ENTRY']]","[[3930, None, u'CallExpression', u'assert ( D -> hasBody ( ) )'], [3939, None, u'Callee', u'assert'], [3931, None, u'ArgumentList', u'D -> hasBody ( )'], [3940, None, u'Identifier', u'assert'], [3932, None, u'Argument', u'D -> hasBody ( )'], [3933, None, u'CallExpression', u'D -> hasBody ( )'], [3935, None, u'Callee', u'D -> hasBody'], [3934, None, u'ArgumentList', u''], [3936, None, u'PtrMemberAccess', u'D -> hasBody'], [3938, None, u'Identifier', u'D'], [3937, None, u'Identifier', u'hasBody'], [3929, u'True', u'ExpressionStatement', u'assert ( D -> hasBody ( ) )'], [3898, None, u'ParameterType', u'const Decl *'], [3897, None, u'Identifier', u'D'], [3896, u'True', u'Parameter', u'const Decl * D']]"
"[analyzer] Reland r299544 ""Add a modular constraint system to the CloneDetector""

Hopefully fix crashes by unshadowing the variable.


Original commit message:

A big part of the clone detection code is functionality for filtering clones and
clone groups based on different criteria. So far this filtering process was
hardcoded into the CloneDetector class, which made it hard to understand and,
ultimately, to extend.

This patch splits the CloneDetector's logic into a sequence of reusable
constraints that are used for filtering clone groups. These constraints
can be turned on and off and reodreder at will, and new constraints are easy
to implement if necessary.

Unit tests are added for the new constraint interface.

This is a refactoring patch - no functional change intended.

Patch by Raphael Isemann!

Differential Revision: https://reviews.llvm.org/D23418


git-svn-id: https://llvm.org/svn/llvm-project/cfe/trunk@299653 91177308-0d34-0410-b5e6-96231b3b80d8",lib/Analysis/CloneDetection.cpp,-,"[[4787, u'True', u'IdentifierDeclStatement', u'VariablePattern PatternB ( B ) ;']]","[[4788, None, u'IdentifierDecl', u'PatternB ( B )'], [4791, None, u'IdentifierDeclType', u'VariablePattern'], [4790, None, u'Identifier', u'PatternB'], [4789, None, u'Identifier', u'B'], [4787, u'True', u'IdentifierDeclStatement', u'VariablePattern PatternB ( B ) ;'], [4816, u'True', u'CFGEntryNode', u'ENTRY']]","[[4788, None, u'IdentifierDecl', u'PatternB ( B )'], [4791, None, u'IdentifierDeclType', u'VariablePattern'], [4790, None, u'Identifier', u'PatternB'], [4789, None, u'Identifier', u'B'], [4787, u'True', u'IdentifierDeclStatement', u'VariablePattern PatternB ( B ) ;']]"
"[analyzer] Reland r299544 ""Add a modular constraint system to the CloneDetector""

Hopefully fix crashes by unshadowing the variable.


Original commit message:

A big part of the clone detection code is functionality for filtering clones and
clone groups based on different criteria. So far this filtering process was
hardcoded into the CloneDetector class, which made it hard to understand and,
ultimately, to extend.

This patch splits the CloneDetector's logic into a sequence of reusable
constraints that are used for filtering clone groups. These constraints
can be turned on and off and reodreder at will, and new constraints are easy
to implement if necessary.

Unit tests are added for the new constraint interface.

This is a refactoring patch - no functional change intended.

Patch by Raphael Isemann!

Differential Revision: https://reviews.llvm.org/D23418


git-svn-id: https://llvm.org/svn/llvm-project/cfe/trunk@299653 91177308-0d34-0410-b5e6-96231b3b80d8",lib/Analysis/CloneDetection.cpp,+,"[[1823, u'True', u'Statement', u'('], [1831, u'True', u'Statement', u'('], [1826, u'True', u'Statement', u'Indexes'], [1820, u'True', u'Statement', u'Indexes'], [1829, u'True', u'Statement', u'::'], [1819, u'True', u'Statement', u'.'], [1822, u'True', u'Statement', u')'], [1824, u'True', u'Statement', u'begin'], [1830, u'True', u'Statement', u'std'], [1817, u'True', u'Statement', u'('], [1828, u'True', u'Statement', u'all_of'], [1827, u'True', u'Statement', u'('], [1816, u'True', u'Statement', u')'], [1825, u'True', u'Statement', u'.'], [1832, u'True', u'Statement', u'assert'], [1815, u'True', u'Statement', u','], [1821, u'True', u'Statement', u','], [1818, u'True', u'Statement', u'end']]","[[1823, u'True', u'Statement', u'('], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1831, u'True', u'Statement', u'('], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1826, u'True', u'Statement', u'Indexes'], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1820, u'True', u'Statement', u'Indexes'], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1829, u'True', u'Statement', u'::'], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1819, u'True', u'Statement', u'.'], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1822, u'True', u'Statement', u')'], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1824, u'True', u'Statement', u'begin'], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1830, u'True', u'Statement', u'std'], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1817, u'True', u'Statement', u'('], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1828, u'True', u'Statement', u'all_of'], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1827, u'True', u'Statement', u'('], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1816, u'True', u'Statement', u')'], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1825, u'True', u'Statement', u'.'], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1832, u'True', u'Statement', u'assert'], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1815, u'True', u'Statement', u','], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1821, u'True', u'Statement', u','], [1990, u'True', u'CFGEntryNode', u'ENTRY'], [1818, u'True', u'Statement', u'end'], [1990, u'True', u'CFGEntryNode', u'ENTRY']]","[[1823, u'True', u'Statement', u'('], [1831, u'True', u'Statement', u'('], [1826, u'True', u'Statement', u'Indexes'], [1820, u'True', u'Statement', u'Indexes'], [1829, u'True', u'Statement', u'::'], [1819, u'True', u'Statement', u'.'], [1822, u'True', u'Statement', u')'], [1824, u'True', u'Statement', u'begin'], [1830, u'True', u'Statement', u'std'], [1817, u'True', u'Statement', u'('], [1828, u'True', u'Statement', u'all_of'], [1827, u'True', u'Statement', u'('], [1816, u'True', u'Statement', u')'], [1825, u'True', u'Statement', u'.'], [1832, u'True', u'Statement', u'assert'], [1815, u'True', u'Statement', u','], [1821, u'True', u'Statement', u','], [1818, u'True', u'Statement', u'end']]"
"[analyzer] Reland r299544 ""Add a modular constraint system to the CloneDetector""

Hopefully fix crashes by unshadowing the variable.


Original commit message:

A big part of the clone detection code is functionality for filtering clones and
clone groups based on different criteria. So far this filtering process was
hardcoded into the CloneDetector class, which made it hard to understand and,
ultimately, to extend.

This patch splits the CloneDetector's logic into a sequence of reusable
constraints that are used for filtering clone groups. These constraints
can be turned on and off and reodreder at will, and new constraints are easy
to implement if necessary.

Unit tests are added for the new constraint interface.

This is a refactoring patch - no functional change intended.

Patch by Raphael Isemann!

Differential Revision: https://reviews.llvm.org/D23418


git-svn-id: https://llvm.org/svn/llvm-project/cfe/trunk@299653 91177308-0d34-0410-b5e6-96231b3b80d8",lib/Analysis/CloneDetection.cpp,+,"[[2393, u'True', u'ExpressionStatement', u'assert ( Other . Occurences . size ( ) == Occurences . size ( ) )']]","[[2394, None, u'CallExpression', u'assert ( Other . Occurences . size ( ) == Occurences . size ( ) )'], [2412, None, u'Callee', u'assert'], [2395, None, u'ArgumentList', u'Other . Occurences . size ( ) == Occurences . size ( )'], [2413, None, u'Identifier', u'assert'], [2396, None, u'Argument', u'Other . Occurences . size ( ) == Occurences . size ( )'], [2397, None, u'EqualityExpression', u'Other . Occurences . size ( ) == Occurences . size ( )'], [2404, None, u'CallExpression', u'Other . Occurences . size ( )'], [2398, None, u'CallExpression', u'Occurences . size ( )'], [2406, None, u'Callee', u'Other . Occurences . size'], [2405, None, u'ArgumentList', u''], [2400, None, u'Callee', u'Occurences . size'], [2399, None, u'ArgumentList', u''], [2407, None, u'MemberAccess', u'Other . Occurences . size'], [2401, None, u'MemberAccess', u'Occurences . size'], [2409, None, u'MemberAccess', u'Other . Occurences'], [2408, None, u'Identifier', u'size'], [2403, None, u'Identifier', u'Occurences'], [2402, None, u'Identifier', u'size'], [2411, None, u'Identifier', u'Other'], [2410, None, u'Identifier', u'Occurences'], [2393, u'True', u'ExpressionStatement', u'assert ( Other . Occurences . size ( ) == Occurences . size ( ) )'], [2421, u'True', u'CFGEntryNode', u'ENTRY']]","[[2394, None, u'CallExpression', u'assert ( Other . Occurences . size ( ) == Occurences . size ( ) )'], [2412, None, u'Callee', u'assert'], [2395, None, u'ArgumentList', u'Other . Occurences . size ( ) == Occurences . size ( )'], [2413, None, u'Identifier', u'assert'], [2396, None, u'Argument', u'Other . Occurences . size ( ) == Occurences . size ( )'], [2397, None, u'EqualityExpression', u'Other . Occurences . size ( ) == Occurences . size ( )'], [2404, None, u'CallExpression', u'Other . Occurences . size ( )'], [2398, None, u'CallExpression', u'Occurences . size ( )'], [2406, None, u'Callee', u'Other . Occurences . size'], [2405, None, u'ArgumentList', u''], [2400, None, u'Callee', u'Occurences . size'], [2399, None, u'ArgumentList', u''], [2407, None, u'MemberAccess', u'Other . Occurences . size'], [2401, None, u'MemberAccess', u'Occurences . size'], [2409, None, u'MemberAccess', u'Other . Occurences'], [2408, None, u'Identifier', u'size'], [2403, None, u'Identifier', u'Occurences'], [2402, None, u'Identifier', u'size'], [2411, None, u'Identifier', u'Other'], [2410, None, u'Identifier', u'Occurences'], [2393, u'True', u'ExpressionStatement', u'assert ( Other . Occurences . size ( ) == Occurences . size ( ) )'], [2189, None, u'ParameterType', u'const VariablePattern &'], [2188, None, u'Identifier', u'Other'], [2187, u'True', u'Parameter', u'const VariablePattern & Other']]"
"Revert ""[analyzer] Add a modular constraint system to the CloneDetector""

This reverts commit r299544.

Crashes on tests on some buildbots.


git-svn-id: https://llvm.org/svn/llvm-project/cfe/trunk@299550 91177308-0d34-0410-b5e6-96231b3b80d8",lib/Analysis/CloneDetection.cpp,-,"[[1204405, u'True', u'ExpressionStatement', u'assert ( D )'], [1204405, u'True', u'ExpressionStatement', u'assert ( D )']]","[[1204406, None, u'CallExpression', u'assert ( D )'], [1204410, None, u'Callee', u'assert'], [1204407, None, u'ArgumentList', u'D'], [1204411, None, u'Identifier', u'assert'], [1204408, None, u'Argument', u'D'], [1204409, None, u'Identifier', u'D'], [1204405, u'True', u'ExpressionStatement', u'assert ( D )'], [1204412, u'True', u'CFGEntryNode', u'ENTRY'], [1204406, None, u'CallExpression', u'assert ( D )'], [1204410, None, u'Callee', u'assert'], [1204407, None, u'ArgumentList', u'D'], [1204411, None, u'Identifier', u'assert'], [1204408, None, u'Argument', u'D'], [1204409, None, u'Identifier', u'D'], [1204405, u'True', u'ExpressionStatement', u'assert ( D )'], [1204412, u'True', u'CFGEntryNode', u'ENTRY']]","[[1204406, None, u'CallExpression', u'assert ( D )'], [1204410, None, u'Callee', u'assert'], [1204407, None, u'ArgumentList', u'D'], [1204411, None, u'Identifier', u'assert'], [1204408, None, u'Argument', u'D'], [1204409, None, u'Identifier', u'D'], [1204405, u'True', u'ExpressionStatement', u'assert ( D )'], [1204406, None, u'CallExpression', u'assert ( D )'], [1204410, None, u'Callee', u'assert'], [1204407, None, u'ArgumentList', u'D'], [1204411, None, u'Identifier', u'assert'], [1204408, None, u'Argument', u'D'], [1204409, None, u'Identifier', u'D'], [1204405, u'True', u'ExpressionStatement', u'assert ( D )']]"
"Revert ""[analyzer] Add a modular constraint system to the CloneDetector""

This reverts commit r299544.

Crashes on tests on some buildbots.


git-svn-id: https://llvm.org/svn/llvm-project/cfe/trunk@299550 91177308-0d34-0410-b5e6-96231b3b80d8",lib/Analysis/CloneDetection.cpp,-,"[[1204801, u'True', u'ExpressionStatement', u'assert ( D )']]","[[1204802, None, u'CallExpression', u'assert ( D )'], [1204806, None, u'Callee', u'assert'], [1204803, None, u'ArgumentList', u'D'], [1204807, None, u'Identifier', u'assert'], [1204804, None, u'Argument', u'D'], [1204805, None, u'Identifier', u'D'], [1204801, u'True', u'ExpressionStatement', u'assert ( D )'], [1204808, u'True', u'CFGEntryNode', u'ENTRY']]","[[1204802, None, u'CallExpression', u'assert ( D )'], [1204806, None, u'Callee', u'assert'], [1204803, None, u'ArgumentList', u'D'], [1204807, None, u'Identifier', u'assert'], [1204804, None, u'Argument', u'D'], [1204805, None, u'Identifier', u'D'], [1204801, u'True', u'ExpressionStatement', u'assert ( D )'], [1204765, None, u'ParameterType', u'const Decl *'], [1204764, None, u'Identifier', u'D'], [1204763, u'True', u'Parameter', u'const Decl * D']]"
