code,location,file,cdg_node,neighbor_node,context_list,ddg_list,static_list,cluster_index
"bftpd_log ( ""Could not open log file %s.\n"" , filename )",57:8:1212:1264,/data/download/bftpd/bftpd/bftpdutmp.c,"[[""True"", [135, ""True"", ""! ( bftpdutmp = fopen ( filename , \""r+\"" ) )"", ""Condition""]], [""False"", [178, ""True"", ""( ! strcasecmp ( filename , \""none\"" ) ) || ( ! filename [ 0 ] )"", ""Condition""]]]",[],"[[[""!"", ""bftpdutmp"", ""fopen"", ""char *"", ""\""r+\"""", ""=""]], [[""!"", ""strcasecmp"", ""char *"", ""\""none\"""", ""!"", ""char *"", ""0"", ""||""]]]","[[[""char *"", ""char *"", ""strdup"", ""config_getoption"", ""\""PATH_BFTPDUTMP\"""", ""=""], ""char *""]]","[""\""Could not open log file %s.\\n\""""]",0
"bftpd_log ( ""Error with umask value. Setting to 022.\n"" , 0 )",106:11:2047:2104,/data/download/bftpd/bftpd/commands.c,"[[""False"", [1092, ""True"", ""get_um <= INT_MAX"", ""Condition""]], [""False"", [1113, ""True"", ""! foo [ 0 ]"", ""Condition""]]]",[],"[[[""unsigned long"", ""INT_MAX"", ""<=""]], [[""!"", ""char *"", ""0""]]]",[],"[""\""Error with umask value. Setting to 022.\\n\"""", ""0""]",1
"bftpd_log ( ""Trying to log in as %s.\n"" , user )",214:1:5117:5161,/data/download/bftpd/bftpd/commands.c,"[[""True"", [1926, ""True"", ""state"", ""Condition""]]]",[],"[[[""state""]]]",[],"[""\""Trying to log in as %s.\\n\""""]",80
"bftpd_log ( ""Login as user '%s' failed.\n"" , user )",236:2:5655:5702,/data/download/bftpd/bftpd/commands.c,"[[""True"", [1978, ""True"", ""bftpd_login ( password )"", ""Condition""]], [""False"", [1997, ""True"", ""state > STATE_USER"", ""Condition""]]]",[],"[[[""bftpd_login"", ""char *""]], [[""state"", ""STATE_USER"", "">""]]]",[],"[""\""Login as user '%s' failed.\\n\""""]",81
bftpd_login ( password ),235:5:5628:5648,/data/download/bftpd/bftpd/commands.c,"[[""False"", [1997, ""True"", ""state > STATE_USER"", ""Condition""]]]",[],"[[[""state"", ""STATE_USER"", "">""]]]","[[[""char *""], ""char *""]]",[],82
"bftpd_log ( ""Passive mode: Successfully bound port %d\n"" , port )",363:16:9464:9525,/data/download/bftpd/bftpd/commands.c,"[[""True"", [2857, ""True"", ""bind ( pasvsock , ( struct sockaddr * ) & sa , sizeof ( sa ) ) == 0"", ""Condition""]], [""False"", [2889, ""True"", ""port < 0"", ""Condition""]]]",[],"[[[""bind"", ""pasvsock"", ""&"", ""sa"", ""0"", ""==""]], [[""int"", ""0"", ""<""]]]","[[[""int"", ""int_from_list"", ""config_getoption"", ""\""PASSIVE_PORTS\"""", ""int"", ""=""], ""int""]]","[""\""Passive mode: Successfully bound port %d\\n\""""]",2
"bftpd_log ( ""Client aborted file transmission.\n"" )",464:2:12564:12612,/data/download/bftpd/bftpd/commands.c,"[[""True"", [3450, ""True"", ""( result ) && ( strstr ( str , \""ABOR\"" ) )"", ""Condition""]], [""False"", [3481, ""True"", ""! select ( fileno ( stdin ) + 1 , & rfds , NULL , NULL , & tv )"", ""Condition""]], [""False"", [3546, ""True"", ""selectbefore"", ""Condition""]]]",[],"[[[""char *""]], [[""strstr"", ""char [ 256 ]"", ""\""ABOR\""""]], [[""!"", ""select"", ""fileno"", ""stdin"", ""1"", ""+"", ""&"", ""rfds"", ""NULL"", ""NULL"", ""&"", ""tv""]], [[""char""]]]",[],"[""\""Client aborted file transmission.\\n\""""]",107
"bftpd_log ( ""Error: Filename in '%s' too long.\n"" , filenames )",522:10:14690:14749,/data/download/bftpd/bftpd/commands.c,"[[""True"", [3626, ""True"", ""to_index > ( MAXCMD - 2 )"", ""Condition""]], [""False"", [3725, ""True"", ""filenames [ from_index ] > 0"", ""Condition""]]]",[],"[[[""int"", ""MAXCMD"", ""2"", ""-"", "">""]], [[""char *"", ""int"", ""0"", "">""]]]","[[[""char *""], ""char *""]]","[""\""Error: Filename in '%s' too long.\\n\""""]",83
"bftpd_log ( ""File transmission successful.\n"" )",779:1:22133:22177,/data/download/bftpd/bftpd/commands.c,"[[""True"", [3929, ""True"", ""write_result == - 1"", ""Condition""]], [""True"", [4039, ""True"", ""! ( ( i = recv ( sock , buffer , my_buffer_size - 1 , 0 ) ) )"", ""Condition""]], [""True"", [3948, ""True"", ""! attempt_gzip"", ""Condition""]], [""False"", [4108, ""True"", ""FD_ISSET ( stdin_fileno , & rfds )"", ""Condition""]]]",[],"[[[""int"", ""-"", ""1"", ""==""]], [[""!"", ""i"", ""recv"", ""sock"", ""char *"", ""int"", ""1"", ""-"", ""0"", ""=""]], [[""!"", ""int""]], [[""FD_ISSET"", ""int"", ""&"", ""rfds""]]]",[],"[""\""File transmission successful.\\n\""""]",84
"bftpd_log ( ""Kicked due to data transmission timeout.\n"" )",696:12:19801:19856,/data/download/bftpd/bftpd/commands.c,"[[""True"", [4175, ""True"", ""! select ( max , & rfds , NULL , NULL , & tv )"", ""Condition""]]]",[],"[[[""!"", ""select"", ""int"", ""&"", ""rfds"", ""NULL"", ""NULL"", ""&"", ""tv""]]]",[],"[""\""Kicked due to data transmission timeout.\\n\""""]",85
