code,location,file,cdg_nodes,neighbor_nodes,context_lists,ddg_lists,static_lists,cluster_index
"fprintf ( stderr , ""assertion failed: %s:%d: \""%s\""\n"" , file , line , expr )",13:4:361:431,/data/download/squid/squid-3.5.25/compat/assert.cc,[],"[["""", [4973, ""True"", ""int line"", ""Parameter""]], ["""", [4976, ""True"", ""const char * file"", ""Parameter""]], ["""", [4979, ""True"", ""const char * expr"", ""Parameter""]], ["""", [5004, ""True"", ""ENTRY"", ""CFGEntryNode""]]]","[[[""int""]], [[""const char *""]], [[""const char *""]], [[""ENTRY""]]]","[[[""const char *""], ""const char *""], [[""int""], ""int""], [[""const char *""], ""const char *""]]","[""\""assertion failed: %s:%d: \\\""%s\\\""\\n\""""]"
"vfprintf ( stderr , format , args )",25:4:574:602,/data/download/squid/squid-3.5.25/compat/debug.cc,"[[""False"", [5359, ""True"", ""! debug_enabled"", ""Condition""]]]","[["""", [5344, ""True"", ""va_start ( args , format )"", ""ExpressionStatement""]], ["""", [5353, ""True"", ""va_list args ;"", ""IdentifierDeclStatement""]], ["""", [5321, ""True"", ""const char * format"", ""Parameter""]]]","[[[""!"", ""debug_enabled""]], [[""va_start"", ""va_list"", ""const char *""]], [[""va_list""]], [[""const char *""]]]","[[[""const char *""], ""const char *""], [[""va_list""], ""va_list""]]",[]
"fprintf ( stderr , ""%s\n"" , _sys_siglist [ sig ] )",26:8:756:800,/data/download/squid/squid-3.5.25/compat/psignal.c,"[[""True"", [13293, ""True"", ""sig > 0 && sig < _sys_nsig"", ""Condition""]]]","[["""", [13302, ""True"", ""fprintf ( stderr , \""%s: \"" , msg )"", ""ExpressionStatement""]], ["""", [13261, ""True"", ""const char * msg"", ""Parameter""]], ["""", [13261, ""True"", ""const char * msg"", ""Parameter""]], ["""", [13264, ""True"", ""int sig"", ""Parameter""]]]","[[[""int"", ""0"", "">""]], [[""int"", ""_sys_nsig"", ""<""]], [[""fprintf"", ""stderr"", ""\""%s: \"""", ""const char *""]], [[""const char *""]], [[""const char *""]], [[""int""]]]","[[[""int""], ""int""]]","[""\""%s\\n\""""]"
"fprintf ( stderr , ""%s: "" , msg )",24:23:678:708,/data/download/squid/squid-3.5.25/compat/psignal.c,"[[""True"", [13313, ""True"", ""msg && * msg"", ""Condition""]]]","[["""", [13261, ""True"", ""const char * msg"", ""Parameter""]], ["""", [13264, ""True"", ""int sig"", ""Parameter""]], ["""", [13319, ""True"", ""ENTRY"", ""CFGEntryNode""]]]","[[[""const char *""]], [[""*"", ""const char *""]], [[""const char *""]], [[""int""]], [[""ENTRY""]]]","[[[""const char *""], ""const char *""]]","[""\""%s: \""""]"
"fprintf ( stderr , ""Connect timeouts not supported in your LDAP library\n"" )",240:4:7741:7813,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,[],"[["""", [17060, ""True"", ""int timelimit"", ""Parameter""]], ["""", [17063, ""True"", ""LDAP * ld"", ""Parameter""]], ["""", [17077, ""True"", ""ENTRY"", ""CFGEntryNode""]]]","[[[""int""]], [[""LDAP *""]], [[""ENTRY""]]]",[],"[""\""Connect timeouts not supported in your LDAP library\\n\""""]"
"fprintf ( stderr , ""Could not Activate TLS connection\n"" )",308:12:9798:9852,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [17164, ""True"", ""ldap_start_tls_s ( ld , NULL , NULL ) != LDAP_SUCCESS"", ""Condition""]], [""False"", [17194, ""True"", ""version != LDAP_VERSION3"", ""Condition""]], [""True"", [17198, ""True"", ""use_tls"", ""Condition""]]]","[["""", [17202, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]]]","[[[""ldap_start_tls_s"", ""LDAP *"", ""NULL"", ""NULL"", ""LDAP_SUCCESS"", ""!=""]], [[""version"", ""LDAP_VERSION3"", ""!=""]], [[""use_tls""]], [[""exit"", ""1""]]]",[],"[""\""Could not Activate TLS connection\\n\""""]"
"fprintf ( stderr , ""TLS requires LDAP version 3\n"" )",305:12:9644:9692,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [17194, ""True"", ""version != LDAP_VERSION3"", ""Condition""]], [""True"", [17198, ""True"", ""use_tls"", ""Condition""]]]","[["""", [17202, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]], ["""", [17209, ""True"", ""fprintf ( stderr , \""Could not set LDAP_OPT_PROTOCOL_VERSION %d\\n\"" , version )"", ""ExpressionStatement""]], ["""", [17237, ""True"", ""version = LDAP_VERSION3"", ""ExpressionStatement""]]]","[[[""version"", ""LDAP_VERSION3"", ""!=""]], [[""use_tls""]], [[""exit"", ""1""]], [[""fprintf"", ""stderr"", ""\""Could not set LDAP_OPT_PROTOCOL_VERSION %d\\n\"""", ""version""]], [[""version"", ""LDAP_VERSION3"", ""=""]]]",[],"[""\""TLS requires LDAP version 3\\n\""""]"
"fprintf ( stderr , ""Could not set LDAP_OPT_PROTOCOL_VERSION %d\n"" , version )",298:8:9438:9526,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [17220, ""True"", ""ldap_set_option ( ld , LDAP_OPT_PROTOCOL_VERSION , & version ) != LDAP_SUCCESS"", ""Condition""]]]","[["""", [17237, ""True"", ""version = LDAP_VERSION3"", ""ExpressionStatement""]], ["""", [17248, ""True"", ""squid_ldap_set_connect_timeout ( ld , connect_timeout )"", ""ExpressionStatement""]], ["""", [17248, ""True"", ""squid_ldap_set_connect_timeout ( ld , connect_timeout )"", ""ExpressionStatement""]], ["""", [17265, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]], ["""", [17301, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]], ["""", [17382, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]]]","[[[""ldap_set_option"", ""LDAP *"", ""LDAP_OPT_PROTOCOL_VERSION"", ""&"", ""version"", ""LDAP_SUCCESS"", ""!=""]], [[""version"", ""LDAP_VERSION3"", ""=""]], [[""squid_ldap_set_connect_timeout"", ""LDAP *"", ""connect_timeout""]], [[""squid_ldap_set_connect_timeout"", ""LDAP *"", ""connect_timeout""]], [[""exit"", ""1""]], [[""exit"", ""1""]], [[""exit"", ""1""]]]","[[[""version"", ""LDAP_VERSION3"", ""=""], ""version""]]","[""\""Could not set LDAP_OPT_PROTOCOL_VERSION %d\\n\""""]"
"fprintf ( stderr , ""\nUnable to connect to LDAP server:%s port:%d\n"" , ldapServer , port )",286:16:9025:9133,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [17285, ""True"", ""( ld = ldap_init ( ldapServer , port ) ) == NULL"", ""Condition""]], [""False"", [17377, ""True"", ""sslpath"", ""Condition""]], [""False"", [17420, ""True"", ""strstr ( ldapServer , \""://\"" ) != NULL"", ""Condition""]]]","[["""", [17431, ""True"", ""LDAP * ld = NULL ;"", ""IdentifierDeclStatement""]]]","[[[""ld"", ""ldap_init"", ""const char *"", ""int"", ""="", ""NULL"", ""==""]], [[""sslpath""]], [[""strstr"", ""const char *"", ""\""://\"""", ""NULL"", ""!=""]], [[""LDAP *"", ""NULL"", ""NULL"", ""=""]]]","[[[""const char *""], ""const char *""], [[""int""], ""int""]]","[""\""\\nUnable to connect to LDAP server:%s port:%d\\n\""""]"
"fprintf ( stderr , ""\nUnable to connect to SSL LDAP server: %s port:%d\n"" , ldapServer , port )",279:16:8771:8884,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [17321, ""True"", ""( ld = ldapssl_init ( ldapServer , port , 1 ) ) == NULL"", ""Condition""]], [""True"", [17377, ""True"", ""sslpath"", ""Condition""]], [""False"", [17420, ""True"", ""strstr ( ldapServer , \""://\"" ) != NULL"", ""Condition""]]]","[["""", [17339, ""True"", ""++ sslinit"", ""ExpressionStatement""]], ["""", [17344, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]], ["""", [17351, ""True"", ""fprintf ( stderr , \""\\nUnable to initialise SSL with cert path %s\\n\"" , sslpath )"", ""ExpressionStatement""]]]","[[[""ld"", ""ldapssl_init"", ""const char *"", ""int"", ""1"", ""="", ""NULL"", ""==""]], [[""sslpath""]], [[""strstr"", ""const char *"", ""\""://\"""", ""NULL"", ""!=""]], [[""sslinit""]], [[""exit"", ""1""]], [[""fprintf"", ""stderr"", ""\""\\nUnable to initialise SSL with cert path %s\\n\"""", ""sslpath""]]]","[[[""const char *""], ""const char *""], [[""int""], ""int""]]","[""\""\\nUnable to connect to SSL LDAP server: %s port:%d\\n\""""]"
"fprintf ( stderr , ""\nUnable to initialise SSL with cert path %s\n"" , sslpath )",272:16:8500:8598,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [17362, ""True"", ""! sslinit && ( ldapssl_client_init ( sslpath , NULL ) != LDAP_SUCCESS )"", ""Condition""]], [""True"", [17377, ""True"", ""sslpath"", ""Condition""]], [""False"", [17420, ""True"", ""strstr ( ldapServer , \""://\"" ) != NULL"", ""Condition""]]]","[["""", [17431, ""True"", ""LDAP * ld = NULL ;"", ""IdentifierDeclStatement""]]]","[[[""!"", ""sslinit""]], [[""ldapssl_client_init"", ""sslpath"", ""NULL"", ""LDAP_SUCCESS"", ""!=""]], [[""sslpath""]], [[""strstr"", ""const char *"", ""\""://\"""", ""NULL"", ""!=""]], [[""LDAP *"", ""NULL"", ""NULL"", ""=""]]]",[],"[""\""\\nUnable to initialise SSL with cert path %s\\n\""""]"
