sha,message,issue,file_name,old_file,new_file,patch_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type
0e06d1805d06fab063ee5f39563a6c6ad7510345,"[WIP] Extract prediction into separate interface (#2531)

* [WIP] Extract prediction into separate interface

* Add copyright, fix linter errors

* Add predictor to amalgamation

* Fix documentation

* Move prediction cache into predictor, add GBTreeModel

* Updated predictor doc comments",[u'https://gitlab.kitware.com/cmake/cmake/issues/2531'],src/gbm/gbtree.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_0.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_0.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_0.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_1.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_1.cpp,121,120,148,-1,f(GBTreeModelParam) == (4 + 2 + 2 + 32) * sizeof(int);,,7
6f16f0ef5829965ba420ef6937617600d286820a,"Use bst_float consistently throughout (#1824)

* Fix various typos

* Add override to functions that are overridden

gcc gives warnings about functions that are being overridden by not
being marked as oveirridden. This fixes it.

* Use bst_float consistently

Use bst_float for all the variables that involve weight,
leaf value, gradient, hessian, gain, loss_chg, predictions,
base_margin, feature values.

In some cases, when due to additions and so on the value can
take a larger value, double is used.

This ensures that type conversions are minimal and reduces loss of
precision.",[u'https://gitlab.kitware.com/cmake/cmake/issues/1824'],src/c_api/c_api_error.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_4.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_4.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_4.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_5.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_5.cpp,28,28,28,28,(const char* msg;,(const char* msg;,0
24e3c5773ec1bde76d4ff879d284d7e94df84a45,Merge branch 'master' into seed_in_configure,[],src/metric/elementwise_metric.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_5.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_5.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_5.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_7.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_7.cpp,133,149,135,151,([](const char* param) { return new EvalError(); };,([](const char* param) { return new EvalError(param); };,3
5d7a69663b6ca9e4c2fd20ef9ffa16e89de62bde,"Merge pull request #1145 from khotilov/error_at_threshold

ability to specify threshold for the error metric",[u'https://gitlab.kitware.com/cmake/cmake/issues/1145'],src/metric/elementwise_metric.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_6.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_6.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_6.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_9.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_9.cpp,133,149,135,151,([](const char* param) { return new EvalError(); };,([](const char* param) { return new EvalError(param); };,3
1160d0bf25661ca1bc4951368347a7fd4bcf7afa,ability to specify threshold for the error metric,[],src/metric/elementwise_metric.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_7.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_7.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_7.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_11.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_11.cpp,133,149,135,151,([](const char* param) { return new EvalError(); };,([](const char* param) { return new EvalError(param); };,3
51d8595372db390929f07b36655ae997fa03b2c2,"Merge pull request #911 from CodingCat/spark_xgboost

[WIP]xgboost4j-spark",[],jvm-packages/xgboost4j/src/native/xgboost4j.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_8.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_8.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_8.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_12.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_12.cpp,134,134,143,143,const char* result = XGBGetLastError();,const char* result = XGBGetLastError();,4
e8560c7909c1d0cd047a103975ff907ec163e881,[refactor] move java package to namespace java,[],jvm-packages/xgboost4j/src/native/xgboost4j.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_9.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_9.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_9.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_13.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_13.cpp,134,134,143,143,const char* result = XGBGetLastError();,const char* result = XGBGetLastError();,4
0f367a6ade587fcc1186df71af8038f758def1b3,"Merge pull request #904 from tqchen/master

[JVM-PKG] Update JNI to include Rabit interface",[],jvm-packages/xgboost4j/src/native/xgboost4j.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_12.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_12.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_12.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_16.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_16.cpp,1,1,29,30,const char* result = XGBGetLastError();,const char* result = XGBGetLastError();,4
5c9e50148ac889afd29cc001c1824a151b622723,[JVM-PKG] Update JNI to include rabit codes,[],jvm-packages/xgboost4j/src/native/xgboost4j.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_13.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_13.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_13.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_17.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_17.cpp,1,1,29,30,const char* result = XGBGetLastError();,const char* result = XGBGetLastError();,4
f8fff6c6fcb46553e26152209840e947d0cc62d8,rename files/packages,[],jvm-packages/xgboost4j/src/native/xgboost4j.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_14.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_14.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_14.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_18.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_18.cpp,24,24,29,29,const char* result = XGBGetLastError();,const char* result = XGBGetLastError();,4
