code,location,file,context_list,ddg_list,static_list
"( void ) fprintf ( stderr , ""%s\n"" , msg )",2031:1:59469:59506,/data/download/CMake/cmake-master/cmake-master/Source/LexerParser/cmListFileLexer.c,"[[[""yyg""]], [[""struct yyguts_t *"", ""struct yyguts_t *"", ""yyscan_t"", ""=""]]]","[[[""yyconst char *""], ""yyconst char *""]]","[""\""%s\\n\""""]"
"fprintf ( stderr , ""Error converting %s \""%s\"" to real path: %s\n"" , desc , temp_path , msgbuf )",660:8:20806:20911,/data/download/CMake/cmake-master/cmake-master/Source/cmsys/SharedForward.h,"[[[""const char *""]], [[""!"", ""kwsys_shared_forward_realpath"", ""char [ KWSYS_SHARED_FORWARD_MAXPATH ]"", ""char *""]]]","[[[""char [ KWSYS_SHARED_FORWARD_MAXPATH ]"", ""KWSYS_SHARED_FORWARD_MAXPATH""], ""char [ KWSYS_SHARED_FORWARD_MAXPATH ]""], [[""char [ KWSYS_SHARED_FORWARD_MAXPATH ]"", ""KWSYS_SHARED_FORWARD_MAXPATH""], ""char [ KWSYS_SHARED_FORWARD_MAXPATH ]""], [[""const char *""], ""const char *""]]","[""\""Error converting %s \\\""%s\\\"" to real path: %s\\n\""""]"
"fprintf ( stderr , ""Error converting self path \""%s\"" to real path: %s\n"" , self_path , msgbuf )",699:4:22161:22263,/data/download/CMake/cmake-master/cmake-master/Source/cmsys/SharedForward.h,"[[[""!"", ""kwsys_shared_forward_realpath"", ""const char *"", ""char [ KWSYS_SHARED_FORWARD_MAXPATH ]""]]]","[[[""const char *""], ""const char *""], [[""char [ KWSYS_SHARED_FORWARD_MAXPATH ]"", ""KWSYS_SHARED_FORWARD_MAXPATH""], ""char [ KWSYS_SHARED_FORWARD_MAXPATH ]""]]","[""\""Error converting self path \\\""%s\\\"" to real path: %s\\n\""""]"
"fprintf ( stderr , ""Error locating executable \""%s\"".\n"" , argv [ 0 ] )",857:4:27623:27686,/data/download/CMake/cmake-master/cmake-master/Source/cmsys/SharedForward.h,"[[[""kwsys_shared_forward_self_path"", ""char const * *"", ""0"", ""char [ KWSYS_SHARED_FORWARD_MAXPATH ]""]]]","[[[""char const * *"", ""char const * *"", ""char * *"", ""=""], ""char const * *""]]","[""\""Error locating executable \\\""%s\\\"".\\n\"""", ""0""]"
"fprintf ( stdout , ""%s\n"" , exe )",821:8:26421:26449,/data/download/CMake/cmake-master/cmake-master/Source/cmsys/SharedForward.h,"[[[""int"", ""1"", "">""]], [[""strcmp"", ""char const * *"", ""1"", ""KWSYS_SHARED_FORWARD_OPTION_PRINT"", ""0"", ""==""]], [[""int"", ""1"", "">""]], [[""strcmp"", ""char const * *"", ""1"", ""KWSYS_SHARED_FORWARD_OPTION_COMMAND"", ""0"", ""==""]], [[""int"", ""2"", "">""]]]","[[[""char [ KWSYS_SHARED_FORWARD_MAXPATH ]"", ""KWSYS_SHARED_FORWARD_MAXPATH""], ""char [ KWSYS_SHARED_FORWARD_MAXPATH ]""]]","[""\""%s\\n\""""]"
"fprintf ( stdout , ""%s\n"" , kwsys_shared_forward_ldpath )",820:8:26359:26411,/data/download/CMake/cmake-master/cmake-master/Source/cmsys/SharedForward.h,"[[[""int"", ""1"", "">""]], [[""strcmp"", ""char const * *"", ""1"", ""KWSYS_SHARED_FORWARD_OPTION_PRINT"", ""0"", ""==""]], [[""int"", ""1"", "">""]], [[""strcmp"", ""char const * *"", ""1"", ""KWSYS_SHARED_FORWARD_OPTION_COMMAND"", ""0"", ""==""]], [[""int"", ""2"", "">""]]]",[],"[""\""%s\\n\""""]"
"vfprintf ( stream , format , var_args )",72:4:2339:2373,/data/download/CMake/cmake-master/cmake-master/Source/kwsys/Terminal.c,"[[[""va_start"", ""va_list"", ""const char *""]], [[""va_list""]]]","[[[""const char *""], ""const char *""], [[""va_list""], ""va_list""], [[""FILE *""], ""FILE *""]]",[]
"fprintf ( stream , KWSYS_TERMINAL_VT100_BOLD )",297:4:11556:11598,/data/download/CMake/cmake-master/cmake-master/Source/kwsys/Terminal.c,"[[[""int"", ""kwsysTerminal_Color_ForegroundBold"", ""&""]], [[""int"", ""kwsysTerminal_Color_Normal"", ""=="", ""kwsysTerminal_Color_ForegroundWhite"", ""==""]]]","[[[""FILE *""], ""FILE *""]]",[]
"fprintf ( stream , KWSYS_TERMINAL_VT100_BACKGROUND_WHITE )",293:6:11427:11481,/data/download/CMake/cmake-master/cmake-master/Source/kwsys/Terminal.c,"[[[""int"", ""kwsysTerminal_Color_BackgroundMask"", ""&"", ""kwsysTerminal_Color_BackgroundWhite"", ""==""]], [[""int"", ""kwsysTerminal_Color_Normal"", ""=="", ""kwsysTerminal_Color_ForegroundWhite"", ""==""]]]","[[[""FILE *""], ""FILE *""]]",[]
"fprintf ( stream , KWSYS_TERMINAL_VT100_BACKGROUND_CYAN )",290:6:11307:11360,/data/download/CMake/cmake-master/cmake-master/Source/kwsys/Terminal.c,"[[[""int"", ""kwsysTerminal_Color_BackgroundMask"", ""&"", ""kwsysTerminal_Color_BackgroundCyan"", ""==""]], [[""int"", ""kwsysTerminal_Color_Normal"", ""=="", ""kwsysTerminal_Color_ForegroundWhite"", ""==""]]]","[[[""FILE *""], ""FILE *""]]",[]
