commit_sha,commit_message,file_name,change_type,log_statement,old_log_loc,old_store_name,new_log_loc,new_store_name
35ad12f99e71515f9cc65b1219160b88095a5f6b,"Merge topic 'source_group-tree'

b42330be source_group: Add options create groups matching directory tree",Tests/SourceGroups/main.c,+,"printf(""tree_foo: %d tree_bar: %d tree_foobar: %d tree_baz: %d\n"",",13,/data/download/CMake/CMake/Kitware_CMake_2_old.cpp,18,/data/download/CMake/CMake/Kitware_CMake_2_new.cpp
b42330be21c0d3046aa0e6fdf046a492bddef520,"source_group: Add options create groups matching directory tree

Add `TREE` and `PREFIX` arguments to enable this behavior.",Tests/SourceGroups/main.c,+,"printf(""tree_foo: %d tree_bar: %d tree_foobar: %d tree_baz: %d\n"",",13,/data/download/CMake/CMake/Kitware_CMake_3_old.cpp,18,/data/download/CMake/CMake/Kitware_CMake_3_new.cpp
788581883fef05820f3f83ec5d1456490bc2397f,"Merge topic 'rebuild-lexers'

c5df1f16 Regenerate lexer source code",Source/cmCommandArgumentLexer.cxx,-,"YY_FATAL_ERROR( ""input in flex scanner failed"" ); \",644,/data/download/CMake/CMake/Kitware_CMake_4_old.cpp,624,/data/download/CMake/CMake/Kitware_CMake_4_new.cpp
788581883fef05820f3f83ec5d1456490bc2397f,"Merge topic 'rebuild-lexers'

c5df1f16 Regenerate lexer source code",Source/cmCommandArgumentLexer.cxx,-,"YY_FATAL_ERROR( ""input in flex scanner failed"" ); \",654,/data/download/CMake/CMake/Kitware_CMake_4_old.cpp,624,/data/download/CMake/CMake/Kitware_CMake_4_new.cpp
788581883fef05820f3f83ec5d1456490bc2397f,"Merge topic 'rebuild-lexers'

c5df1f16 Regenerate lexer source code",Source/cmCommandArgumentLexer.cxx,+,"YY_FATAL_ERROR( ""input in flex scanner failed"" ); \",661,/data/download/CMake/CMake/Kitware_CMake_4_old.cpp,634,/data/download/CMake/CMake/Kitware_CMake_4_new.cpp
788581883fef05820f3f83ec5d1456490bc2397f,"Merge topic 'rebuild-lexers'

c5df1f16 Regenerate lexer source code",Source/cmCommandArgumentLexer.cxx,+,"YY_FATAL_ERROR( ""input in flex scanner failed"" ); \",661,/data/download/CMake/CMake/Kitware_CMake_4_old.cpp,644,/data/download/CMake/CMake/Kitware_CMake_4_new.cpp
788581883fef05820f3f83ec5d1456490bc2397f,"Merge topic 'rebuild-lexers'

c5df1f16 Regenerate lexer source code",Source/cmCommandArgumentLexer.cxx,-,YY_FATAL_ERROR(,1050,/data/download/CMake/CMake/Kitware_CMake_4_old.cpp,929,/data/download/CMake/CMake/Kitware_CMake_4_new.cpp
788581883fef05820f3f83ec5d1456490bc2397f,"Merge topic 'rebuild-lexers'

c5df1f16 Regenerate lexer source code",Source/cmCommandArgumentLexer.cxx,+,YY_FATAL_ERROR(,1055,/data/download/CMake/CMake/Kitware_CMake_4_old.cpp,1054,/data/download/CMake/CMake/Kitware_CMake_4_new.cpp
788581883fef05820f3f83ec5d1456490bc2397f,"Merge topic 'rebuild-lexers'

c5df1f16 Regenerate lexer source code",Source/cmCommandArgumentLexer.cxx,-,YY_FATAL_ERROR(,1073,/data/download/CMake/CMake/Kitware_CMake_4_old.cpp,1071,/data/download/CMake/CMake/Kitware_CMake_4_new.cpp
788581883fef05820f3f83ec5d1456490bc2397f,"Merge topic 'rebuild-lexers'

c5df1f16 Regenerate lexer source code",Source/cmCommandArgumentLexer.cxx,-,YY_FATAL_ERROR(,1141,/data/download/CMake/CMake/Kitware_CMake_4_old.cpp,1071,/data/download/CMake/CMake/Kitware_CMake_4_new.cpp
