func_a,func_b,similarity
Next_Field_On_Page,field_opts_on,0.5714285714285714
Next_Field_On_Page,Next_Page_Number,0.5714285714285714
Next_Field_On_Page,next_field,0.6666666666666666
Next_Field_On_Page,Previous_Field_On_Page,0.75
Next_Field_On_Page,Sorted_Next_Field,0.5714285714285714
Next_Field_On_Page,next_field_w,0.5714285714285714
uv_process_udp_send_req,uv_process_tty_read_line_req,0.5454545454545454
uv_process_udp_send_req,uv_process_tty_read_raw_req,0.5454545454545454
uv_process_udp_send_req,uv_process_signal_req,0.6666666666666666
uv_process_udp_send_req,uv__udp_send,0.75
uv_process_udp_send_req,uv_process_tcp_read_req,0.6
uv_process_udp_send_req,uv_process_tcp_accept_req,0.6
uv_process_udp_send_req,uv__fast_poll_process_poll_req,0.6
uv_process_udp_send_req,uv_process_pipe_write_req,0.6
uv_process_udp_send_req,uv_process_poll_req,0.6666666666666666
uv_process_udp_send_req,uv_process_pipe_read_req,0.6
uv_process_udp_send_req,uv_process_tty_connect_req,0.6
uv_process_udp_send_req,uv_udp_send,0.75
uv_process_udp_send_req,uv_udp_try_send,0.6666666666666666
uv_process_udp_send_req,uv_process_tty_read_req,0.6
uv_process_udp_send_req,uv_process_tty_write_req,0.6
uv_process_udp_send_req,uv_process_pipe_shutdown_req,0.6
uv_process_udp_send_req,uv__udp_try_send,0.6666666666666666
uv_process_udp_send_req,uv_process_udp_recv_req,0.8
uv_process_udp_send_req,uv__send,0.5714285714285714
uv_process_udp_send_req,uv_process_tty_accept_req,0.6
uv_process_udp_send_req,uv_process_pipe_connect_req,0.6
uv_process_udp_send_req,uv_process_fs_event_req,0.6
uv_process_udp_send_req,uv_process_tcp_write_req,0.6
uv_process_udp_send_req,uv_process_tcp_connect_req,0.6
uv_process_udp_send_req,uv_process_pipe_accept_req,0.6
uv_process_udp_send_req,uv__slow_poll_process_poll_req,0.6
uv_process_udp_send_req,uv_process_async_wakeup_req,0.6
grow_hash,hash,0.6666666666666666
gtls_connect_common,ossl_connect_common,0.6666666666666666
gtls_connect_common,darwinssl_connect_common,0.6666666666666666
gtls_connect_common,polarssl_connect_common,0.6666666666666666
gtls_connect_common,Curl_gtls_connect,0.6666666666666666
gtls_connect_common,schannel_connect_common,0.6666666666666666
gtls_connect_common,nss_connect_common,0.6666666666666666
gtls_connect_common,gtls_connect_step3,0.6666666666666666
gtls_connect_common,gtls_connect_step1,0.6666666666666666
gtls_connect_common,Curl_gtls_connect_nonblocking,0.5714285714285714
gtls_connect_common,gskit_connect_common,0.6666666666666666
gtls_connect_common,cyassl_connect_common,0.6666666666666666
gtls_connect_common,mbed_connect_common,0.6666666666666666
http2_perform_getsock,ssh_perform_getsock,0.6666666666666666
http2_perform_getsock,http2_getsock,0.8
lzma_crc32_init,crc32_init,0.8
lzma_crc32_init,xz_lzma_bidder_init,0.5714285714285714
lzma_crc32_init,lzma_lz_encoder_init,0.5714285714285714
lzma_crc32_init,lzma_index_iter_init,0.5714285714285714
lzma_crc32_init,lzma_delta_coder_init,0.5714285714285714
lzma_crc32_init,init_crc32_table,0.6666666666666666
lzma_crc32_init,compression_init_encoder_lzma,0.5714285714285714
lzma_crc32_init,lzma_index_hash_init,0.5714285714285714
lzma_crc32_init,lzma_next_filter_init,0.5714285714285714
lzma_crc32_init,lzma_raw_coder_init,0.5714285714285714
lzma_crc32_init,lzma_raw_encoder_init,0.5714285714285714
lzma_crc32_init,lzma_lz_decoder_init,0.5714285714285714
lzma_crc32_init,lzma_alone_decoder_init,0.5714285714285714
lzma_crc32_init,lzma_encoder_init,0.6666666666666666
lzma_crc32_init,lzma_raw_decoder_init,0.5714285714285714
lzma_crc32_init,lzma_block_encoder_init,0.5714285714285714
lzma_crc32_init,lzma_lzma2_decoder_init,0.5714285714285714
lzma_crc32_init,lzma_check_init,0.6666666666666666
lzma_crc32_init,lzma_lzma_decoder_init,0.6666666666666666
lzma_crc32_init,lzma_decoder_init,0.6666666666666666
lzma_crc32_init,lzma_sha256_init,0.6666666666666666
lzma_crc32_init,lzma_index_encoder_init,0.5714285714285714
lzma_crc32_init,lzma_lzma2_encoder_init,0.5714285714285714
lzma_crc32_init,lzma_index_init,0.6666666666666666
lzma_crc32_init,lzma_simple_coder_init,0.5714285714285714
lzma_crc32_init,lzma_delta_encoder_init,0.5714285714285714
lzma_crc32_init,lzma_crc32,0.8
lzma_crc32_init,lzma_strm_init,0.6666666666666666
lzma_crc32_init,rhash_crc32_init,0.6666666666666666
lzma_crc32_init,lzma_stream_decoder_init,0.5714285714285714
lzma_crc32_init,lzma_delta_decoder_init,0.5714285714285714
lzma_crc32_init,lzma_bidder_init,0.6666666666666666
lzma_crc32_init,lzma_stream_encoder_init,0.5714285714285714
lzma_crc32_init,lzma_block_decoder_init,0.5714285714285714
lzma_crc32_init,lzma_lzma_encoder_init,0.6666666666666666
header_ustar,__archive_write_format_header_ustar,0.5714285714285714
header_ustar,archive_write_ustar_header,0.6666666666666666
uv__pipe_getsockpeername,uv_pipe_init,0.6666666666666666
uv__pipe_getsockpeername,uv__pipe_unpause_read,0.5714285714285714
uv__pipe_getsockpeername,uv_pipe_write2,0.6666666666666666
uv__pipe_getsockpeername,uv_stdio_pipe_server,0.5714285714285714
uv__pipe_getsockpeername,uv_unique_pipe_name,0.5714285714285714
uv__pipe_getsockpeername,uv__make_pipe,0.6666666666666666
uv__pipe_getsockpeername,uv_pipe_listen,0.6666666666666666
uv__pipe_getsockpeername,uv_pipe_getpeername,0.6666666666666666
uv__pipe_getsockpeername,uv_pipe_queue_accept,0.5714285714285714
uv__pipe_getsockpeername,uv_pipe_read_start,0.5714285714285714
uv__pipe_getsockpeername,uv_pipe_cleanup,0.6666666666666666
uv__pipe_getsockpeername,uv_pipe_open,0.6666666666666666
uv__pipe_getsockpeername,uv__pipe_stop_read,0.5714285714285714
uv__pipe_getsockpeername,uv_pipe_endgame,0.6666666666666666
uv__pipe_getsockpeername,uv_pipe_getsockname,0.6666666666666666
uv__pipe_getsockpeername,uv_pipe_pending_instances,0.5714285714285714
uv__pipe_getsockpeername,uv_pipe_queue_read,0.5714285714285714
uv__pipe_getsockpeername,uv_set_pipe_handle,0.5714285714285714
uv__pipe_getsockpeername,uv_pipe_connect,0.6666666666666666
uv__pipe_getsockpeername,uv_pipe_read_error,0.5714285714285714
uv__pipe_getsockpeername,uv__pipe_close,0.6666666666666666
uv__pipe_getsockpeername,uv_pipe_write,0.6666666666666666
uv__pipe_getsockpeername,uv_pipe_accept,0.6666666666666666
uv__pipe_getsockpeername,uv_pipe_read_eof,0.5714285714285714
uv__pipe_getsockpeername,uv__pipe_pause_read,0.5714285714285714
uv__pipe_getsockpeername,uv_pipe_connection_init,0.5714285714285714
uv__pipe_getsockpeername,uv_pipe_pending_type,0.5714285714285714
uv__pipe_getsockpeername,uv_pipe_bind,0.6666666666666666
uv__pipe_getsockpeername,uv_pipe_write_impl,0.5714285714285714
uv__pipe_getsockpeername,uv_pipe_pending_count,0.5714285714285714
uv__pipe_getsockpeername,uv__pipe_getname,0.6666666666666666
uv__pipe_getsockpeername,uv_pipe_close,0.6666666666666666
 asUInt, asLargestUInt,0.8571428571428571
 asUInt, isUInt,0.6666666666666666
 asUInt, asUInt64,0.6666666666666666
 asUInt, asLargestInt,0.6666666666666666
 asUInt, asInt,0.8
lzma_index_hash_end,compression_end_lzma,0.5714285714285714
lzma_index_hash_end,lzma_index_hash_append,0.75
lzma_index_hash_end,lzma_index_dup,0.5714285714285714
lzma_index_hash_end,lzma_index_end,0.8571428571428571
lzma_index_hash_end,lzma_index_decoder,0.5714285714285714
lzma_index_hash_end,lzma_index_hash_size,0.75
lzma_index_hash_end,lzma_index_hash_decode,0.75
lzma_index_hash_end,lzma_index_memused,0.5714285714285714
lzma_index_hash_end,lzma_index_hash_init,0.75
lzma_index_hash_end,index_stream_end,0.5714285714285714
lzma_index_hash_end,index_tree_end,0.5714285714285714
lzma_index_hash_end,lzma_index_size,0.5714285714285714
lzma_index_hash_end,lzma_end,0.6666666666666666
lzma_index_hash_end,lzma_index_memusage,0.5714285714285714
lzma_index_hash_end,index_encoder_end,0.5714285714285714
lzma_index_hash_end,index_decoder_end,0.5714285714285714
lzma_index_hash_end,lzma_index_encoder,0.5714285714285714
lzma_index_hash_end,lzma_index_init,0.5714285714285714
lzma_index_hash_end,lzma_index_append,0.5714285714285714
lzma_index_hash_end,lzma_index_checks,0.5714285714285714
lzma_index_hash_end,lzma_next_end,0.5714285714285714
lzma_index_hash_end,lzma_index_prealloc,0.5714285714285714
SetOutputPrefix,SetErrorPrefix,0.6666666666666666
SetOutputPrefix,SetOutputStream,0.6666666666666666
SetOutputPrefix,SetDebugPrefix,0.6666666666666666
SetOutputPrefix,SetPrefix,0.8
SetOutputPrefix,HasOutputPathPrefix,0.5714285714285714
SetOutputPrefix,SetDebugOutputOn,0.5714285714285714
SetOutputPrefix,setElementTypePrefix,0.5714285714285714
SetOutputPrefix,SetVerbosePrefix,0.6666666666666666
SetOutputPrefix,SetWarningPrefix,0.6666666666666666
Curl_auth_ntlm_cleanup,Curl_unencode_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,curl_easy_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_auth_create_ntlm_type3_message,0.6
Curl_auth_ntlm_cleanup,Curl_nss_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,curl_global_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_gskit_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_axtls_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_resolver_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_gtls_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_output_ntlm,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_cookie_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_sasl_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_auth_gssapi_cleanup,0.75
Curl_auth_ntlm_cleanup,Curl_ossl_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,curl_multi_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_input_ntlm,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_ntlm_wb_cleanup,0.75
Curl_auth_ntlm_cleanup,Curl_auth_decode_ntlm_type2_message,0.6
Curl_auth_ntlm_cleanup,curl_share_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_ssl_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_auth_create_ntlm_type1_message,0.6
Curl_auth_ntlm_cleanup,Curl_polarssl_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_auth_spnego_cleanup,0.75
Curl_auth_ntlm_cleanup,Curl_http_ntlm_cleanup,0.75
Curl_auth_ntlm_cleanup,Curl_amiga_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_auth_digest_cleanup,0.75
Curl_auth_ntlm_cleanup,Curl_auth_is_ntlm_supported,0.6666666666666666
Curl_auth_ntlm_cleanup,Curl_schannel_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_digest_cleanup,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_cleanup_negotiate,0.5714285714285714
Curl_auth_ntlm_cleanup,Curl_mbedtls_cleanup,0.5714285714285714
