sha,message,issue,file_name,old_file,new_file,patch_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_log_loc,new_log_loc
202c2ebec4d47d6f8cfbb6c91dd4486dd62aebf6,"Merge pull request #4191 from jybaek/unstable

Add missing fclose()",[u'https://gitlab.kitware.com/cmake/cmake/issues/4191'],src/redis-cli.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_0.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_0.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_0.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_1.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_1.cpp,1807,1807,[3],[4]
a8c08b9b7668f784cfd24ecd2afb2fdd2ae65312,Add missing fclose(),[],src/redis-cli.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_1.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_1.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_1.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_2.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_2.cpp,1807,1807,[3],[4]
34a79c353f15900f004057858f0d57a29d68b63c,"Merge pull request #3935 from itamarhaber/module-cmdstats

Changes command stats iteration to being dict-based",[u'https://gitlab.kitware.com/cmake/cmake/issues/3935'],src/server.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_2.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_2.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_2.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_3.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_3.cpp,3255,3258,"[6, 12]","[6, 15]"
964224b77fb4361e337d2f679fd4e6ccb2fa33c0,"Merge pull request #4124 from lamby/proceding-proceeding-typo

Correct proceding -> proceeding typo.",[u'https://gitlab.kitware.com/cmake/cmake/issues/4124'],src/redis-check-aof.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_3.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_3.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_3.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_4.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_4.cpp,194,194,"[0, 3]","[0, 3]"
d9565379da0adf97caec12e9b88c17da51900e40,"Merge pull request #4128 from leonchen83/unstable

fix mismatch argument and return wrong value of clusterDelNodeSlots",[u'https://gitlab.kitware.com/cmake/cmake/issues/4128'],src/cluster.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_4.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_4.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_4.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_5.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_5.cpp,4195,4197,[2],[2]
7c3c472b5e5861787055c74b189e6a8b590e9e81,"Merge pull request #4154 from liangsijian/unstable

Fix lua ldb command log",[u'https://gitlab.kitware.com/cmake/cmake/issues/4154'],src/scripting.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_5.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_5.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_5.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_6.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_6.cpp,443,443,[1],[1]
ffbbe5a720a723148ee364066f08e63528a57376,Fix lua ldb command log,[],src/scripting.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_6.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_6.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_6.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_7.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_7.cpp,443,443,[1],[1]
314043552b3e0ce5f080d0fd2169d5c32f94a222,"Modules: don't crash when Lua calls a module blocking command.

Lua scripting does not support calling blocking commands, however all
the native Redis commands are flagged as ""s"" (no scripting flag), so
this is not possible at all. With modules there is no such mechanism in
order to flag a command as non callable by the Lua scripting engine,
moreover we cannot trust the modules users from complying all the times:
it is likely that modules will be released to have blocking commands
without such commands being flagged correctly, even if we provide a way to
signal this fact.

This commit attempts to address the problem in a short term way, by
detecting that a module is trying to block in the context of the Lua
scripting engine client, and preventing to do this. The module will
actually believe to block as usually, but what happens is that the Lua
script receives an error immediately, and the background call is ignored
by the Redis engine (if not for the cleanup callbacks, once it
unblocks).

Long term, the more likely solution, is to introduce a new call called
RedisModule_GetClientFlags(), so that a command can detect if the caller
is a Lua script, and return an error, or avoid blocking at all.

Being the blocking API experimental right now, more work is needed in
this regard in order to reach a level well blocking module commands and
all the other Redis subsystems interact peacefully.

Now the effect is like the following:

    127.0.0.1:6379> eval ""redis.call('hello.block',1,5000)"" 0
    (error) ERR Error running script (call to
    f_b5ba35ff97bc1ef23debc4d6e9fd802da187ed53): @user_script:1: ERR
    Blocking module command called from Lua script

This commit fixes issue #4127 in the short term.",[u'https://gitlab.kitware.com/cmake/cmake/issues/4127'],src/module.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_7.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_7.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_7.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_8.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_8.cpp,3346,3351,[],[5]
a3778f3b0f0aacbb34ecc77541615a9eda251443,"Make representClusterNodeFlags() more robust.

This function failed when an internal-only flag was set as an only flag
in a node: the string was trimmed expecting a final comma before
exiting the function, causing a crash. See issue #4142.
Moreover generation of flags representation only needed at DEBUG log
level was always performed: a waste of CPU time. This is fixed as well
by this commit.",[u'https://gitlab.kitware.com/cmake/cmake/issues/4142'],src/cluster.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_8.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_8.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_8.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_9.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_9.cpp,1323,1323,[4],[5]
2cdf4cc656cd74aa7c29360b13cf07d3e0e72afb,fix mismatch argument,[],src/cluster.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_9.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_9.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_9.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_10.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_10.cpp,4194,4194,[2],[2]
7560d347da90dad0ff8b13872aeb48de609d3c9f,Correct proceding -> proceeding typo.,[],src/redis-check-aof.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_10.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_10.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_10.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_11.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_11.cpp,194,194,"[0, 3]","[0, 3]"
