class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit
144,6,collectd-4.10.7_diff_collectd-4.10.8,635,"PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", type, ds->ds_num, size);","PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", value_list.type, ds->ds_num, size);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_94.cpp,38,"[""PySequence_Length_ret"", ""plugin_get_ds_ret"", null]","[null, ""plugin_get_ds_arg_ret"", ""plugin_get_ds_ret"", null, ""PySequence_Length_ret""]","[[], [""value_list""]]"
145,6,collectd-4.10.7_diff_collectd-4.10.8,672,"PyErr_Format(PyExc_RuntimeError, ""unknown data type %d for %s"", ds->ds->type, type);","PyErr_Format(PyExc_RuntimeError, ""unknown data type %d for %s"", ds->ds->type, value_list.type);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_95.cpp,75,"[""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", null]","[null, ""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", ""plugin_get_ds_arg_ret""]","[[], [""value_list""]]"
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]"
110,2,collectd-4.1.0_diff_collectd-4.1.1,-1,,"fprintf (stderr, ""lt_dlopen failed: %s\n"", error);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_118.cpp,15,"[""lt_dlopen_ret"", ""lt_dlopen_ret"", null]","[null, ""ERROR_arg_ret""]","[[], [""fprintf"", ""stderr"", ""lt_dlopen"", ""failed"", ""%s\\n"", ""error""]]"
111,2,collectd-4.1.0_diff_collectd-4.1.1,-1,,"fprintf (stderr, ""Unable to load plugin %s.\n"", type);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_119.cpp,65,"[""plugin_load_file_ret""]","[null, ""WARNING_arg_ret""]","[[], [""fprintf"", ""stderr"", ""Unable"", ""to"", ""load"", ""plugin"", ""%s"", ""\\n"", ""type""]]"
147,8,collectd-4.2.4_diff_collectd-4.2.5,-1,,"YY_FATAL_ERROR( ""out of dynamic memory in yyensure_buffer_stack()"" );",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_123.cpp,35,"[""memset_arg""]",[],"[[], [""YY_FATAL_ERROR"", ""out"", ""of"", ""dynamic"", ""memory"", ""in"", ""yyensure_buffer_stack""]]"
143,6,collectd-4.2.5_diff_collectd-4.2.6,1642,"YY_FATAL_ERROR( ""out of dynamic memory in yyensure_buffer_stack()"" );",,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_127.cpp,35,"[""memset_arg""]",[],"[[""YY_FATAL_ERROR"", ""out"", ""of"", ""dynamic"", ""memory"", ""in"", ""yyensure_buffer_stack""], []]"
142,4,collectd-4.3.0_diff_collectd-4.3.1,-1,,"YY_FATAL_ERROR( ""out of dynamic memory in yy_get_next_buffer()"" );",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_150.cpp,120,"[null, null]",[],"[[], [""YY_FATAL_ERROR"", ""out"", ""of"", ""dynamic"", ""memory"", ""in"", ""yy_get_next_buffer""]]"
124,3,collectd-4.3.1_diff_collectd-4.3.2,1194,"YY_FATAL_ERROR( ""out of dynamic memory in yy_get_next_buffer()"" );",,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_154.cpp,120,"[null, null]",[],"[[""YY_FATAL_ERROR"", ""out"", ""of"", ""dynamic"", ""memory"", ""in"", ""yy_get_next_buffer""], []]"
122,2,collectd-4.3.2_diff_collectd-4.3.3,-1,,"fprintf (stderr, ""Could not find plugin %s.\n"", type);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_163.cpp,72,[null],"[null, ""WARNING_arg_ret""]","[[], [""fprintf"", ""stderr"", ""Could"", ""not"", ""find"", ""plugin"", ""%s"", ""\\n"", ""type""]]"
125,2,collectd-4.3.4_diff_collectd-4.4.0,149,"fprintf (fh, ""-1 Option `time' missing.\n"");","print_to_socket (fh, ""-1 Option `time' missing.\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_190.cpp,50,"[""parse_option_ret"", ""parse_option_arg_ret"", null]","[""fflush_arg_ret""]","[[""fprintf""], [""print_to_socket""]]"
123,2,collectd-4.4.2_diff_collectd-4.4.3,151,"fprintf (stderr, ""lt_dlopen failed: %s\n"", error);","fprintf (stderr, ""lt_dlopen (%s) failed: %s\n"", file, error);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_204.cpp,15,"[""lt_dlopen_ret"", ""lt_dlopen_ret"", null]","[null, ""ERROR_arg_ret""]","[[], [""%s"", ""file""]]"
126,2,collectd-4.5.0_diff_collectd-4.5.1,-1,,"fprintf (stderr, ""Cannot parse line: %s\n"", buffer);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_233.cpp,111,"[""strchr_ret"", null]","[null, null]","[[], [""fprintf"", ""stderr"", ""Cannot"", ""parse"", ""line"", ""%s\\n"", ""buffer""]]"
127,2,collectd-4.5.1_diff_collectd-4.5.2,539,"fprintf (stderr, ""ERROR: %s:%i: ksp == NULL\n"", __FILE__, __LINE__);","ERROR (""ERROR: %s:%i: ksp == NULL\n"", __FILE__, __LINE__);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_236.cpp,11,"[""assert_arg_ret"", null]","[null, null, null]","[[""fprintf"", ""stderr""], [""ERROR""]]"
128,2,collectd-4.5.1_diff_collectd-4.5.2,544,"fprintf (stderr, ""ERROR: %s:%i: ksp->ks_type != KSTAT_TYPE_NAMED\n"", __FILE__, __LINE__);","ERROR (""ERROR: %s:%i: ksp->ks_type != KSTAT_TYPE_NAMED\n"", __FILE__, __LINE__);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_237.cpp,16,"[""assert_arg_ret"", null, null]","[null, null, null]","[[""fprintf"", ""stderr""], [""ERROR""]]"
129,2,collectd-4.5.1_diff_collectd-4.5.2,563,"fprintf (stderr, ""ipmi plugin: thread_init failed.\n"");","ERROR (""ipmi plugin: thread_init failed.\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_244.cpp,8,"[""thread_init_ret""]",[null],"[[""fprintf"", ""stderr""], [""ERROR""]]"
130,2,collectd-4.5.1_diff_collectd-4.5.2,688,"fprintf (stderr, ""unsupported data link type %d\n"",
		    pcap_datalink(pcap_obj));","ERROR (""handle_pcap: unsupported data link type %d\n"",
		    pcap_datalink(pcap_obj));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_250.cpp,41,"[""pcap_datalink_ret""]","[""pcap_datalink_ret"", null]","[[""fprintf"", ""stderr""], [""ERROR"", ""handle_pcap""]]"
