patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,function,function_loc,edit_types,edit_words,edit_feature,check,variable,ddg_codes,ddg_locs
collectd-2.1.0_diff_collectd-3.0.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-2.1.0/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.0.0/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_4.cpp,-133,137,-1,227,,"fprintf (stderr, ""Maximum of %i ping hosts reached.\n"", MAX_PINGHOSTS);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_4.cpp,49,"[""addLog""]","[[], [""fprintf"", ""stderr"", ""Maximum"", ""of"", ""%i"", ""ping"", ""hosts"", ""reached"", ""\\n"", ""MAX_PINGHOSTS""]]",[-14163467735914568348],"[null, null]","[null, null]",set([]),set([])
collectd-2.1.0_diff_collectd-3.0.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-2.1.0/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.0.0/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_4.cpp,-133,160,-1,250,,"fprintf (stderr, ""Error: No plugins found.\n"");",10,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_5.cpp,72,"[""addLog""]","[[], [""fprintf"", ""stderr"", ""Error"", ""No"", ""plugins"", ""found"", ""\\n""]]",[3607512822464264368],"[""plugin_load_all_ret""]",[null],set([]),set([158])
collectd-2.1.0_diff_collectd-3.0.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-2.1.0/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.0.0/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_4.cpp,-133,166,-1,256,,"fprintf (stderr, ""Unable to change to directory `%s'.\n"", basedir);",10,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_6.cpp,78,"[""addLog""]","[[], [""fprintf"", ""stderr"", ""Unable"", ""to"", ""change"", ""to"", ""directory"", ""%s"", ""\\n"", ""basedir""]]",[-6095011190240267402],"[""change_basedir_ret""]","[null, ""change_basedir_arg_ret""]",set([]),set([164])
collectd-3.0.0_diff_collectd-3.1.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.0.0/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.1.0/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_6.cpp,15,16,256,258,"fprintf (stderr, ""Unable to change to directory `%s'.\n"", basedir);","fprintf (stderr, ""Error: Unable to change to directory `%s'.\n"", basedir);",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_9.cpp,78,"[""updateContent""]","[[], [""Error""]]",[8285138784999380343],"[""change_basedir_ret""]","[null, ""change_basedir_arg_ret""]",set([]),set([])
collectd-3.0.0_diff_collectd-3.1.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.0.0/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.1.0/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_7.cpp,-271,6,-1,278,,"fprintf (stderr, ""fork: %s"", strerror (errno));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_10.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_10.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_10.cpp,99,"[""addLog""]","[[], [""fprintf"", ""stderr"", ""fork"", ""%s"", ""strerror"", ""errno""]]",[-1690042240200481730],"[""fork_ret"", ""fork_ret""]","[""strerror_ret"", null]",set([]),set([3])
collectd-3.0.0_diff_collectd-3.1.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.0.0/src/multicast.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.1.0/src/multicast.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_8.cpp,6,6,170,172,"fprintf (stderr, ""Output truncated.."");","syslog (LOG_WARNING, ""multicast_send: Output truncated.."");",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_11.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_11.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_11.cpp,13,"[""updateVariable"", ""updateLog"", ""updateContent""]","[[""fprintf"", ""stderr""], [""syslog"", ""LOG_WARNING"", ""multicast_send""]]",[22334689575470509808],"[""snprintf_ret"", ""snprintf_ret"", null]",[null],set([]),set([])
collectd-3.0.0_diff_collectd-3.1.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.0.0/src/plugin.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.1.0/src/plugin.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_9.cpp,6,6,97,97,"fprintf (stderr, ""Cannot read plugin directory `%s'\n"", dir);","fprintf (stderr, ""Error: Cannot read plugin directory `%s'\n"", dir);",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_12.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_12.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_12.cpp,12,"[""updateContent""]","[[], [""Error""]]",[8285138784999380343],"[""opendir_ret"", ""opendir_ret"", null]","[null, ""opendir_arg_ret""]",set([]),set([])
collectd-3.11.7_diff_collectd-4.0.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.11.7/src/apcups.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.0.0/src/apcups.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_14.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_14.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_14.cpp,43,-322,404,-1,"printf(""apcups: Failed...\n"");",,10,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_13.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_13.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_13.cpp,12,"[""removeLog""]","[[""printf"", ""apcups"", ""Failed"", ""\\n""], []]",[-6517545720927913590],"[""apc_query_server_ret""]",[],set([]),set([41])
collectd-3.11.7_diff_collectd-4.0.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.11.7/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.0.0/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_15.cpp,-20,45,-1,63,,"fprintf (stderr, ""`gethostname' failed and no ""
					""hostname was configured.\n"");",10,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_14.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_14.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_14.cpp,13,"[""addLog""]","[[], [""fprintf"", ""stderr"", ""gethostname"", ""failed"", ""and"", ""no"", ""hostname"", ""was"", ""configured"", ""\\n""]]",[-21920385146758764945],"[""gethostname_ret""]",[null],set([]),set([43])
collectd-3.11.7_diff_collectd-4.0.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.11.7/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.0.0/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_15.cpp,-20,58,-1,76,,"fprintf (stderr, ""Cannot set the interval to a correct value.\n""
				""Please check your settings.\n"");",10,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_15.cpp,26,"[""addLog""]","[[], [""fprintf"", ""stderr"", ""Cannot"", ""set"", ""the"", ""interval"", ""to"", ""a"", ""correct"", ""value"", ""\\n"", ""Please"", ""check"", ""your"", ""settings"", ""\\n""]]",[-17594316145618307138],"[""atoi_ret""]",[null],set([]),set([55])
