file,function,calls,types
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/dbi.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_0_last_repos.cpp,"[""sstrncpy"", ""dbi_conn_error"", ""snprintf""]","[""char"", ""dbi_conn"", ""int"", ""size_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/dbi.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_1_last_repos.cpp,"[""dbi_result_get_field_name"", ""dbi_result_get_double_idx"", ""sstrncpy"", ""snprintf"", ""dbi_result_get_longlong_idx"", ""dbi_result_get_field_type_idx"", ""dbi_result_get_string_idx"", ""ERROR"", ""strcmp""]","[""dbi_result"", ""int"", ""double"", ""char"", ""unsigned short"", ""long long"", ""size_t"", ""unsigned int""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/dbi.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_2_last_repos.cpp,"[""sfree"", ""udb_query_delete_preparation_area""]","[""size_t"", ""void"", ""cdbi_database_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/dbi.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_3_last_repos.cpp,"[""int"", ""realloc"", ""memset"", ""assert"", ""WARNING"", ""ERROR"", ""sfree"", ""strdup""]","[""int"", ""cdbi_driver_option_t"", ""oconfig_item_t"", ""cdbi_database_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/dbi.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_4_last_repos.cpp,"[""cdbi_config_add_database_driver_option"", ""cf_util_get_string"", ""udb_query_allocate_preparation_area"", ""udb_query_pick_from_list"", ""realloc"", ""sfree"", ""WARNING"", ""cdbi_database_free"", ""cf_util_get_cdtime"", ""ERROR"", ""calloc"", ""plugin_register_complex_read"", ""ssnprintf_alloc"", ""strcasecmp""]","[""int"", ""size_t"", ""oconfig_item_t"", ""cdbi_database_t"", ""char""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/dbi.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_5_last_repos.cpp,"[""udb_query_create"", ""WARNING"", ""strcasecmp"", ""cdbi_config_add_database""]","[""int"", ""oconfig_item_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/dbi.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_6_last_repos.cpp,"[""DEBUG"", ""dbi_initialize_r"", ""ERROR""]","[""int"", ""void""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/dbi.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_7_last_repos.cpp,"[""dbi_result_get_field_name"", ""WARNING"", ""udb_query_get_statement"", ""dbi_result_first_row"", ""sstrncpy"", ""cdbi_strerror"", ""dbi_result_get_numfields"", ""dbi_result_next_row"", ""dbi_conn_error"", ""udb_query_handle_result"", ""dbi_conn_query"", ""udb_query_finish_result"", ""assert"", ""calloc"", ""cdbi_result_get_field"", ""udb_query_prepare_result"", ""ERROR"", ""DEBUG"", ""BAIL_OUT"", ""unsigned int"", ""udb_query_get_name""]","[""status"", ""dbi_result"", ""int"", ""udb_query_t"", ""char"", ""udb_query_preparation_area_t"", ""size_t"", ""cdbi_database_t"", ""unsigned int""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/dbi.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_8_last_repos.cpp,"[""INFO"", ""dbi_conn_set_option_numeric"", ""dbi_conn_set_option"", ""dbi_conn_open"", ""dbi_conn_close"", ""dbi_conn_connect"", ""dbi_driver_list_r"", ""dbi_driver_get_name"", ""dbi_conn_get_option_list"", ""WARNING"", ""dbi_conn_select_db"", ""dbi_conn_ping"", ""ERROR"", ""dbi_driver_open_r"", ""cdbi_strerror""]","[""int"", ""char"", ""size_t"", ""dbi_conn"", ""cdbi_database_t"", ""dbi_driver""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/dbi.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_9_last_repos.cpp,"[""dbi_conn_get_engine_version"", ""cdbi_read_database_query"", ""assert"", ""udb_query_check_version"", ""ERROR"", ""cdbi_connect_database""]","[""int"", ""size_t"", ""cdbi_database_t"", ""unsigned int"", ""user_data_t""]"
