file,function,loc,log,check,variable,cluster
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/collectdctl.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_56_last_repos.cpp,7,"fprintf(stderr, ""ERROR: Failed to allocate memory.\n"")","[""realloc_ret"", null]",[null],149
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/collectdctl.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_57_last_repos.cpp,14,"fprintf(stderr, ""ERROR: Failed to get local hostname: %s"",
              strerror(errno))","[""gethostname_ret""]","[""strerror_ret"", null]",0
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/collectdctl.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_57_last_repos.cpp,29,"fprintf(stderr, ""ERROR: Failed to parse identifier ``%s'': %s.\n"",
            ident_str, lcc_strerror(c))","[""lcc_string_to_identifier_ret""]","[""lcc_strerror_ret"", null, null]",1
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/collectdctl.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_58_last_repos.cpp,12,"fprintf(stderr, ""ERROR: getval: Missing identifier.\n"")","[""int""]",[null],152
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/collectdctl.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_58_last_repos.cpp,36,"fprintf(stderr, ""ERROR: %s\n"", lcc_strerror(c))","[""lcc_getval_ret""]","[""lcc_strerror_ret"", null]",2
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/collectdctl.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_58_last_repos.cpp,41,"printf(""%s=%e\n"", ret_values_names[i], ret_values[i])","[""lcc_getval_ret""]","[""lcc_getval_arg_ret"", ""size_t"", ""lcc_getval_arg_ret"", ""size_t""]",3
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/collectdctl.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_59_last_repos.cpp,31,"fprintf(stderr, ""ERROR: flush: Invalid option ``%s''.\n"", argv[i])","[""strchr_ret""]","[null, ""char"", ""int""]",4
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/collectdctl.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_59_last_repos.cpp,44,"fprintf(stderr, ""ERROR: Failed to parse timeout as number: %s.\n"",
                value)","[""strtol_arg_ret"", ""strtol_arg_ret""]","[null, ""strtol_arg_ret""]",168
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/collectdctl.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_59_last_repos.cpp,48,"fprintf(stderr, ""WARNING: Ignoring trailing garbage after timeout: ""
                        ""%s.\n"",
                endptr)","[""strtol_arg_ret"", ""lcc_flush_arg"", ""strtol_arg_ret""]","[null, ""strtol_arg_ret""]",5
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/collectdctl.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_59_last_repos.cpp,69,"fprintf(stderr, ""ERROR: flush: Unknown option `%s'.\n"", key)","[""strcasecmp_ret""]","[null, ""strcasecmp_arg_ret""]",150
