class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,calls,types,necessity
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/utils_rrdcreate.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_41_last_repos.cpp,"[""CDTIME_T_TO_TIME_T"", ""isnan"", ""sstrncpy"", ""snprintf"", ""sstrdup"", ""assert"", ""sfree"", ""ERROR"", ""calloc"", ""ds_free"", ""sstrerror""]","[""int"", ""data_set_t"", ""data_source_t"", ""char"", ""value_list_t"", ""size_t"", ""rrdcreate_config_t""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/write_riemann_threshold.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_148_last_repos.cpp,"[""isnan"", ""WARNING"", ""memcpy"", ""ut_check_one_data_source""]","[""int"", ""data_set_t"", ""value_list_t"", ""gauge_t"", ""size_t"", ""threshold_t""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/cpu.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_227_last_repos.cpp,"[""isnan"", ""submit_value""]","[""int"", ""void"", ""gauge_t""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/cpu.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_232_last_repos.cpp,"[""isnan"", ""get_cpu_state"", ""defined"", ""total_rate"", ""WARNING"", ""cdtime"", ""perfstat_cpu_total"", ""RATE_ADD"", ""sstrerror""]","[""cpu_state_t"", ""cdtime_t"", ""void"", ""char"", ""gauge_t"", ""size_t"", ""perfstat_cpu_total_t""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/apcups.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_313_last_repos.cpp,"[""isnan"", ""sstrncpy"", ""plugin_dispatch_values""]","[""char"", ""void"", ""value_list_t"", ""gauge_t""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/battery.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_322_last_repos.cpp,"[""isnan"", ""IOPSCopyPowerSourcesInfo"", ""CFArrayGetValueAtIndex"", ""CFDictionaryGetTypeID"", ""dict_get_double"", ""CFArrayGetCount"", ""CFGetTypeID"", ""IOPSGetPowerSourceDescription"", ""DEBUG"", ""CFRelease"", ""IOPSCopyPowerSourcesList""]","[""CFDictionaryRef"", ""int"", ""double"", ""void"", ""CFArrayRef"", ""CFTypeRef""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/battery.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_323_last_repos.cpp,"[""IORegistryEntryCreateCFProperties"", ""IOIteratorNext"", ""CFArrayGetValueAtIndex"", ""IOServiceGetMatchingServices"", ""IOObjectRelease"", ""isnan"", ""dict_get_double"", ""CFDictionaryGetValue"", ""CFArrayGetCount"", ""DEBUG"", ""CFRelease"", ""IOServiceNameMatching"", ""CFSTR""]","[""CFDictionaryRef"", ""io_object_t"", ""double"", ""void"", ""io_iterator_t"", ""CFArrayRef"", ""CFIndex"", ""kern_return_t""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/battery.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_324_last_repos.cpp,"[""isnan"", ""battery_submit"", ""battery_read_statefs"", ""get_via_generic_iokit"", ""get_via_io_power_sources"", ""submit_capacity""]","[""int"", ""void"", ""gauge_t""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/barometer.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_528_last_repos.cpp,"[""isnan"", ""uc_get_history_by_name"", ""free"", ""uc_get_rate_by_name"", ""ERROR"", ""DEBUG""]","[""int"", ""double"", ""size_t"", ""temperature_list_t"", ""gauge_t""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.8.0/src/barometer.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_549_last_repos.cpp,"[""BMP085_read_coeffs"", ""isnan"", ""BMP085_adjust_oversampling"", ""MPL3115_adjust_oversampling"", ""averaging_create"", ""plugin_register_read"", ""MPL3115_init_sensor"", ""MPL115_read_coeffs"", ""ERROR"", ""DEBUG"", ""detect_sensor_type"", ""open"", ""sstrerror""]","[""int"", ""char"", ""void""]",accpept-true
