class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,calls,types,necessity
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.10.9/src/utils_rrdcreate.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_201_collectd-4.10.9.cpp,"[""malloc"", ""sstrncpy"", ""ssnprintf"", ""memset"", ""isnan"", ""sstrdup"", ""ERROR"", ""ds_free"", ""sstrerror""]","[""int"", ""data_set_t"", ""data_source_t"", ""char"", ""value_list_t"", ""rrdcreate_config_t""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.10.9/src/utils_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_399_collectd-4.10.9.cpp,"[""isnan""]","[""int"", ""void"", ""cache_entry_t"", ""data_set_t""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.10.9/src/common.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_549_collectd-4.10.9.cpp,"[""FP_CONVERT"", ""isnan""]","[""double"", ""uint64_t"", ""uint8_t""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.10.9/src/utils_cmd_getthreshold.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_591_collectd-4.10.9.cpp,"[""parse_identifier"", ""isnan"", ""sstrncpy"", ""sstrdup"", ""memset"", ""print_to_socket"", ""parse_string"", ""assert"", ""sfree"", ""ut_search_threshold"", ""DEBUG"", ""strcasecmp""]","[""int"", ""char"", ""value_list_t"", ""FILE"", ""size_t"", ""threshold_t""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.10.9/src/memcached.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_687_collectd-4.10.9.cpp,"[""strncmp"", ""isnan"", ""atof"", ""submit_gauge"", ""strtok_r"", ""submit_counter"", ""submit_gauge2"", ""memcached_query_daemon"", ""strsplit"", ""FIELD_IS"", ""strlen"", ""strcmp"", ""submit_counter2"", ""atoll""]","[""cnst"", ""int"", ""void"", ""counter_t"", ""char"", ""gauge_t""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.10.9/src/perl.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_744_collectd-4.10.9.cpp,"[""hv_store"", ""newHV"", ""isnan"", ""newSVpv"", ""av_extend"", ""newSViv"", ""av_store"", ""newSVnv"", ""newRV_noinc""]","[""int"", ""HV"", ""pTHX_ data_set_t"", ""AV""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.10.9/src/collectd-nagios.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_810_collectd-4.10.9.cpp,"[""isnan""]","[""int"", ""double"", ""range_t""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.10.9/src/collectd-nagios.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_812_collectd-4.10.9.cpp,"[""isnan"", ""match_range"", ""printf""]","[""int"", ""size_t"", ""char"", ""double""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.10.9/src/collectd-nagios.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_813_collectd-4.10.9.cpp,"[""isnan"", ""match_range"", ""printf""]","[""int"", ""size_t"", ""char"", ""double""]",accpept-true
114,3,collectd-4.10.9_diff_collectd-5.0.0,-1,,"printf (""CRITICAL: Data source \""%s\"" is NaN\n"",
					values_names[i]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_103.cpp,18,"[""isnan_ret""]","[""char"", ""size_t""]","[[], [""printf"", ""CRITICAL"", ""Data"", ""source"", ""\\"", ""%s\\"", ""is"", ""NaN\\n"", ""values_names[i]""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.10.9/src/collectd-nagios.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_814_collectd-4.10.9.cpp,"[""isnan"", ""match_range"", ""printf""]","[""int"", ""size_t"", ""char"", ""double""]",accpept-true
