class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,loc,log,check,variable,necessity
144,6,collectd-4.10.7_diff_collectd-4.10.8,635,"PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", type, ds->ds_num, size);","PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", value_list.type, ds->ds_num, size);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_94.cpp,38,"[""PySequence_Length_ret"", ""plugin_get_ds_ret"", null]","[null, ""plugin_get_ds_arg_ret"", ""plugin_get_ds_ret"", null, ""PySequence_Length_ret""]","[[], [""value_list""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.10.7/src/pyvalues.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_664_collectd-4.10.7.cpp,41,"PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", type, ds->ds_num, size)","[""PySequence_Length_ret"", ""plugin_get_ds_ret"", null]","[null, ""plugin_get_ds_arg_ret"", ""plugin_get_ds_ret"", null, ""PySequence_Length_ret""]",accept-true
144,6,collectd-4.10.7_diff_collectd-4.10.8,635,"PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", type, ds->ds_num, size);","PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", value_list.type, ds->ds_num, size);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_94.cpp,38,"[""PySequence_Length_ret"", ""plugin_get_ds_ret"", null]","[null, ""plugin_get_ds_arg_ret"", ""plugin_get_ds_ret"", null, ""PySequence_Length_ret""]","[[], [""value_list""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.10.7/src/pyvalues.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_665_collectd-4.10.7.cpp,38,"PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", type, ds->ds_num, size)","[""PySequence_Length_ret"", ""plugin_get_ds_ret"", null]","[null, ""plugin_get_ds_arg_ret"", ""plugin_get_ds_ret"", null, ""PySequence_Length_ret""]",accept-true
144,6,collectd-4.10.7_diff_collectd-4.10.8,635,"PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", type, ds->ds_num, size);","PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", value_list.type, ds->ds_num, size);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_94.cpp,38,"[""PySequence_Length_ret"", ""plugin_get_ds_ret"", null]","[null, ""plugin_get_ds_arg_ret"", ""plugin_get_ds_ret"", null, ""PySequence_Length_ret""]","[[], [""value_list""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.0.4/src/pyvalues.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_709_collectd-5.0.4.cpp,40,"PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", type, ds->ds_num, size)","[""PySequence_Length_ret"", ""plugin_get_ds_ret"", null]","[null, ""plugin_get_ds_arg_ret"", ""plugin_get_ds_ret"", null, ""PySequence_Length_ret""]",accept-true
144,6,collectd-4.10.7_diff_collectd-4.10.8,635,"PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", type, ds->ds_num, size);","PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", value_list.type, ds->ds_num, size);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_94.cpp,38,"[""PySequence_Length_ret"", ""plugin_get_ds_ret"", null]","[null, ""plugin_get_ds_arg_ret"", ""plugin_get_ds_ret"", null, ""PySequence_Length_ret""]","[[], [""value_list""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.0.4/src/pyvalues.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_710_collectd-5.0.4.cpp,37,"PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", type, ds->ds_num, size)","[""PySequence_Length_ret"", ""plugin_get_ds_ret"", null]","[null, ""plugin_get_ds_arg_ret"", ""plugin_get_ds_ret"", null, ""PySequence_Length_ret""]",accept-true
144,6,collectd-4.10.7_diff_collectd-4.10.8,635,"PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", type, ds->ds_num, size);","PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", value_list.type, ds->ds_num, size);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_94.cpp,38,"[""PySequence_Length_ret"", ""plugin_get_ds_ret"", null]","[null, ""plugin_get_ds_arg_ret"", ""plugin_get_ds_ret"", null, ""PySequence_Length_ret""]","[[], [""value_list""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.1.0/src/pyvalues.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_718_collectd-5.1.0.cpp,40,"PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", type, ds->ds_num, size)","[""PySequence_Length_ret"", ""plugin_get_ds_ret"", null]","[null, ""plugin_get_ds_arg_ret"", ""plugin_get_ds_ret"", null, ""PySequence_Length_ret""]",accept-true
144,6,collectd-4.10.7_diff_collectd-4.10.8,635,"PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", type, ds->ds_num, size);","PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", value_list.type, ds->ds_num, size);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_94.cpp,38,"[""PySequence_Length_ret"", ""plugin_get_ds_ret"", null]","[null, ""plugin_get_ds_arg_ret"", ""plugin_get_ds_ret"", null, ""PySequence_Length_ret""]","[[], [""value_list""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.1.0/src/pyvalues.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_719_collectd-5.1.0.cpp,37,"PyErr_Format(PyExc_RuntimeError, ""type %s needs %d values, got %i"", type, ds->ds_num, size)","[""PySequence_Length_ret"", ""plugin_get_ds_ret"", null]","[null, ""plugin_get_ds_arg_ret"", ""plugin_get_ds_ret"", null, ""PySequence_Length_ret""]",accept-true
145,6,collectd-4.10.7_diff_collectd-4.10.8,672,"PyErr_Format(PyExc_RuntimeError, ""unknown data type %d for %s"", ds->ds->type, type);","PyErr_Format(PyExc_RuntimeError, ""unknown data type %d for %s"", ds->ds->type, value_list.type);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_95.cpp,75,"[""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", null]","[null, ""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", ""plugin_get_ds_arg_ret""]","[[], [""value_list""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.10.7/src/pyvalues.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_664_collectd-4.10.7.cpp,78,"PyErr_Format(PyExc_RuntimeError, ""unknown data type %d for %s"", ds->ds->type, type)","[""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", null]","[null, ""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", ""plugin_get_ds_arg_ret""]",accept-true
145,6,collectd-4.10.7_diff_collectd-4.10.8,672,"PyErr_Format(PyExc_RuntimeError, ""unknown data type %d for %s"", ds->ds->type, type);","PyErr_Format(PyExc_RuntimeError, ""unknown data type %d for %s"", ds->ds->type, value_list.type);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_95.cpp,75,"[""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", null]","[null, ""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", ""plugin_get_ds_arg_ret""]","[[], [""value_list""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.10.7/src/pyvalues.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_665_collectd-4.10.7.cpp,75,"PyErr_Format(PyExc_RuntimeError, ""unknown data type %d for %s"", ds->ds->type, type)","[""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", null]","[null, ""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", ""plugin_get_ds_arg_ret""]",accept-true
145,6,collectd-4.10.7_diff_collectd-4.10.8,672,"PyErr_Format(PyExc_RuntimeError, ""unknown data type %d for %s"", ds->ds->type, type);","PyErr_Format(PyExc_RuntimeError, ""unknown data type %d for %s"", ds->ds->type, value_list.type);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_95.cpp,75,"[""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", null]","[null, ""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", ""plugin_get_ds_arg_ret""]","[[], [""value_list""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.0.4/src/pyvalues.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_709_collectd-5.0.4.cpp,77,"PyErr_Format(PyExc_RuntimeError, ""unknown data type %d for %s"", ds->ds->type, type)","[""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", null]","[null, ""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", ""plugin_get_ds_arg_ret""]",accept-true
145,6,collectd-4.10.7_diff_collectd-4.10.8,672,"PyErr_Format(PyExc_RuntimeError, ""unknown data type %d for %s"", ds->ds->type, type);","PyErr_Format(PyExc_RuntimeError, ""unknown data type %d for %s"", ds->ds->type, value_list.type);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_95.cpp,75,"[""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", null]","[null, ""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", ""plugin_get_ds_arg_ret""]","[[], [""value_list""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-5.0.4/src/pyvalues.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_repos_function_710_collectd-5.0.4.cpp,74,"PyErr_Format(PyExc_RuntimeError, ""unknown data type %d for %s"", ds->ds->type, type)","[""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", null]","[null, ""plugin_get_ds_ret"", ""plugin_get_ds_ret"", ""plugin_get_ds_arg_ret"", ""plugin_get_ds_arg_ret""]",accept-true
