patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_log_loc,new_log_loc
curl-7.10.1_diff_curl-7.10.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.1/lib/krb4.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.4/lib/krb4.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_1.cpp,243,249,"[2, 15]","[2, 17]"
curl-7.10.1_diff_curl-7.10.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.1/lib/krb4.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.4/lib/krb4.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_2.cpp,296,304,"[36, 44, 53]","[37, 45, 54]"
curl-7.10.1_diff_curl-7.10.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.1/lib/sendf.h,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.4/lib/sendf.h,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_3.cpp,4,4,"[24, 27]","[24, 27]"
curl-7.10.1_diff_curl-7.10.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.1/src/hugehelp.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.4/src/hugehelp.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_4.cpp,6,6,"[15, 29, 45, 59, 74, 86, 96, 107, 120, 133, 147, 157, 170, 185, 196, 205, 217, 234, 246, 259, 273, 283, 298, 309, 323, 334, 347, 358, 369, 381, 395, 406, 421, 430, 443, 459, 471, 484, 496, 509, 519, 534, 547, 561, 574, 587, 602, 611, 626, 639, 653, 668, 681, 691, 707, 718, 730, 744, 762, 776, 792, 806, 823, 832, 848, 861, 875, 890, 903, 918, 928, 938, 952, 964, 977, 988, 1002, 1017, 1029, 1043, 1056, 1072, 1082, 1095, 1111, 1130, 1146, 1162, 1180, 1195, 1212, 1227, 1244, 1260, 1279, 1297, 1320, 1339, 1365]","[15, 29, 45, 59, 73, 85, 97, 106, 117, 130, 143, 156, 165, 177, 189, 205, 214, 224, 235, 251, 263, 276, 289, 300, 313, 326, 338, 351, 364, 375, 386, 397, 406, 418, 430, 443, 456, 465, 478, 494, 506, 517, 527, 540, 553, 565, 578, 590, 603, 616, 628, 641, 651, 663, 676, 688, 705, 718, 730, 742, 756, 767, 779, 791, 809, 822, 836, 852, 865, 881, 890, 903, 917, 929, 943, 958, 970, 985, 995, 1006, 1020, 1031, 1042, 1053, 1069, 1081, 1094, 1107, 1119, 1133, 1148, 1159, 1171, 1186, 1203, 1221, 1236, 1253, 1270, 1285, 1302, 1317, 1333, 1348, 1365, 1382, 1402, 1420, 1445]"
curl-7.10.1_diff_curl-7.10.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.1/src/hugehelp.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.4/src/hugehelp.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_5.cpp,1380,1468,"[15, 35, 53, 73, 91, 108]","[7, 27, 46, 63, 82, 101]"
curl-7.10.1_diff_curl-7.10.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.1/src/hugehelp.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.4/src/hugehelp.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_6.cpp,1497,1585,"[12, 28, 43, 55, 67, 83, 98, 112, 127, 136, 147, 157, 173, 187, 203, 214, 226, 237, 252, 266, 278, 289, 301, 314, 328, 341, 356, 372, 386, 399, 415, 431, 444, 459]","[7, 21, 41, 52, 68, 80, 97, 109, 126, 140, 149, 160, 170, 188, 202, 216, 230, 238, 254, 268, 281, 292, 305, 316, 327, 341, 354, 372, 385, 396, 411, 426, 444, 459, 476, 487, 499]"
curl-7.10.1_diff_curl-7.10.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.1/src/hugehelp.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.4/src/hugehelp.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_7.cpp,1965,2100,"[15, 23, 32, 44, 59, 78, 97, 111, 125, 143, 159, 173, 191, 207, 217, 231, 246, 261, 276, 290, 301, 314]","[7, 20, 28, 40, 53, 69, 87, 105, 118, 136, 155, 168, 184, 202, 213, 228, 243, 257, 272, 289, 300, 313]"
curl-7.10.1_diff_curl-7.10.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.1/src/hugehelp.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.4/src/hugehelp.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_8.cpp,2301,2436,[13],[13]
curl-7.10.1_diff_curl-7.10.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.1/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.4/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_9.cpp,348,358,"[3, 9, 15]","[3, 9, 16]"
curl-7.10.1_diff_curl-7.10.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.1/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.4/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_10.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_10.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_10.cpp,369,380,"[5, 11]","[5, 13]"
