class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit
192,4,curl-7.10.4_diff_curl-7.10.8,-1,,"puts("""");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_581.cpp,813,"[null, null]",[],"[[], [""puts""]]"
179,2,curl-7.14.0_diff_curl-7.15.0,-1,,"warnf(config, ""curl_formadd failed!\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1922.cpp,208,"[""curl_formadd_ret""]","["" struct Configurable""]","[[], [""warnf"", ""config"", ""curl_formadd"", ""failed"", ""\\n""]]"
180,2,curl-7.18.1_diff_curl-7.18.2,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [""fputs"", ""stringp"", ""stream""]]"
181,2,curl-7.41.0_diff_curl-7.42.0,63,"warnf(config, ""Data size exceeds single call write limit!\n"");","warnf(config->global, ""Data size exceeds single call write limit!\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_10417.cpp,26,"[""fwrite_arg"", ""fwrite_arg"", null, null]","["" struct OperationConfig""]","[[], [""global""]]"
182,2,curl-7.41.0_diff_curl-7.42.0,345,"warnf(config, ""curl_formadd failed!\n"");","warnf(config->global, ""curl_formadd failed!\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_10427.cpp,203,"[""curl_formadd_ret""]","["" struct OperationConfig""]","[[], [""global""]]"
183,2,curl-7.41.0_diff_curl-7.42.0,534,"warnf(config,
                ""--trace-ascii overrides an earlier trace/verbose option\n"");","warnf(global,
                ""--trace-ascii overrides an earlier trace/verbose option\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_10430.cpp,158,"[""parseconfig_arg"", null, ""parseconfig_arg"", null, null]","[""new_getout_arg""]","[[""config""], [""global""]]"
184,2,curl-7.41.0_diff_curl-7.42.0,977,"warnf(config, ""--test-event is ignored unless a debug build!\n"");","warnf(global, ""--test-event is ignored unless a debug build!\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_10437.cpp,601,"[""char""]","[""delegation_arg_ret""]","[[""config""], [""global""]]"
185,2,curl-7.51.0_diff_curl-7.52.0,117,"puts(""Reading response."");","printf(""Reading response.\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_13671.cpp,59,"[""curl_easy_init_ret""]",[],"[[""puts""], [""printf"", ""\\n""]]"
193,4,curl-7.55.1_diff_curl-7.56.0,-1,,"warnf(config->global, ""curl_mime_headers failed!\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_16152.cpp,145,"[""curl_mime_headers_ret""]","[""get_param_part_arg_ret"", null]","[[], [""warnf"", ""config"", ""global"", ""curl_mime_headers"", ""failed"", ""\\n""]]"
190,3,curl-7.55.1_diff_curl-7.56.0,-1,,"warnf(config->global, ""curl_mime_type failed!\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_16155.cpp,172,"[""curl_mime_type_ret""]","[""get_param_part_arg_ret"", null]","[[], [""warnf"", ""config"", ""global"", ""curl_mime_type"", ""failed"", ""\\n""]]"
186,2,curl-7.55.1_diff_curl-7.56.0,-1,,"warnf(config->global, ""curl_mime_subparts failed!\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_16157.cpp,199,"[""curl_mime_subparts_ret""]","[""get_param_part_arg_ret"", null]","[[], [""warnf"", ""config"", ""global"", ""curl_mime_subparts"", ""failed"", ""\\n""]]"
187,2,curl-7.55.1_diff_curl-7.56.0,-1,,"warnf(config->global, ""curl_mime_addpart failed!\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_16158.cpp,210,"[""curl_mime_addpart_ret""]","[""get_param_part_arg_ret"", null]","[[], [""warnf"", ""config"", ""global"", ""curl_mime_addpart"", ""failed"", ""\\n""]]"
188,2,curl-7.55.1_diff_curl-7.56.0,-1,,"warnf(config->global, ""setting file %s failed!\n"", data);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_16160.cpp,235,"[""file_or_stdin_ret""]","[""get_param_part_arg_ret"", null, ""file_or_stdin_arg_ret""]","[[], [""warnf"", ""config"", ""global"", ""setting"", ""file"", ""%s"", ""failed"", ""\\n"", ""data""]]"
189,2,curl-7.55.1_diff_curl-7.56.0,-1,,"warnf(config->global, ""curl_mime_encoder failed!\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_16165.cpp,288,"[""curl_mime_encoder_ret""]","[""get_param_part_arg_ret"", null]","[[], [""warnf"", ""config"", ""global"", ""curl_mime_encoder"", ""failed"", ""\\n""]]"
191,2,curl-7.9_diff_curl-7.9.8,-1,,"Curl_failf(conn->data, ""Bad reply from server"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_17249.cpp,47,"[""strstr_ret""]","[""Curl_set_command_prot_arg_ret"", null]","[[], [""Curl_failf"", ""conn"", ""data"", ""Bad"", ""reply"", ""from"", ""server""]]"
