patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,function,function_loc,edit_types,edit_words,edit_feature,check,variable,ddg_codes,ddg_locs,cluster
curl-7.10.4_diff_curl-7.10.8,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.4/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.8/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_45.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_45.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_45.cpp,-1646,60,-1,1896,,"puts("""");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_580.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_580.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_580.cpp,789,"[""addLog""]","[[], [""puts""]]",[4142537773861848358],"[null, null]",[],set([]),set([]),77
curl-7.10.4_diff_curl-7.10.8,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.4/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.8/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_45.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_45.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_45.cpp,-1646,84,-1,1920,,"puts("""");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_581.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_581.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_581.cpp,813,"[""addLog""]","[[], [""puts""]]",[4142537773861848358],"[null, null]",[],set([]),set([]),77
curl-7.11.2_diff_curl-7.12.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.11.2/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.12.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_99.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_99.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_99.cpp,16,20,1062,1077,"curl_msnprintf(prompt, sizeof(prompt),
                   ""Enter %s password for user '%s':"",
                   kind, *userpwd);","curlx_msnprintf(prompt, sizeof(prompt),
                   ""Enter %s password for user '%s':"",
                   kind, *userpwd);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1357.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1357.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1357.cpp,13,"[""updateLog""]","[[""curl_msnprintf""], [""curlx_msnprintf""]]",[2881189011128542941],"[""strchr_ret""]","[""getpass_r_arg"", ""getpass_r_arg"", ""char"", ""strlen_arg_ret""]",set([]),set([]),0
curl-7.12.0_diff_curl-7.13.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.12.0/lib/mprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.13.0/lib/mprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_113.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_113.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_113.cpp,-927,6,-1,925,,"curl_msnprintf(fptr, left, ""%ld"", width);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1358.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1358.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1358.cpp,344,"[""addLog""]","[[], [""curl_msnprintf"", ""fptr"", ""left"", ""%ld"", ""width""]]",[-6093681853013891464],"[""long""]","[""strlen_ret"", ""strlen_ret"", ""long""]",set([]),set([-298]),1
curl-7.12.0_diff_curl-7.13.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.12.0/lib/mprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.13.0/lib/mprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_113.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_113.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_113.cpp,-927,12,-1,931,,"curl_msnprintf(fptr, left, "".%ld"", prec);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1359.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1359.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1359.cpp,350,"[""addLog""]","[[], [""curl_msnprintf"", ""fptr"", ""left"", ""%ld"", ""prec""]]",[246217325280413813],"[""long""]","[""strlen_ret"", ""strlen_ret"", ""long""]",set([]),set([-295]),2
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_155.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_155.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_155.cpp,-887,6,-1,939,,"warnf(config, ""Illegally formatted content-type field!\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1918.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1918.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1918.cpp,77,"[""addLog""]","[[], [""warnf"", ""config"", ""Illegally"", ""formatted"", ""content"", ""type"", ""field"", ""\\n""]]",[11979621213510809823],"[""sscanf_ret""]","["" struct Configurable""]",set([]),set([4]),3
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_156.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_156.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_156.cpp,-936,6,-1,988,,"warnf(config, ""Error building form post!\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1919.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1919.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1919.cpp,126,"[""addLog""]","[[], [""warnf"", ""config"", ""Error"", ""building"", ""form"", ""post"", ""\\n""]]",[30380399961860547658],"[""AddMultiFiles_ret""]","["" struct Configurable""]",set([]),set([4]),4
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_157.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_157.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_157.cpp,-973,6,-1,1025,,"warnf(config, ""curl_formadd failed!\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1920.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1920.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1920.cpp,163,"[""addLog""]","[[], [""warnf"", ""config"", ""curl_formadd"", ""failed"", ""\\n""]]",[-243909951715594044],"[""curl_formadd_ret""]","["" struct Configurable""]",set([]),set([3]),70
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_158.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_158.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_158.cpp,-1005,6,-1,1057,,"warnf(config, ""curl_formadd failed, possibly the file %s is bad!\n"",
                contp+1);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1921.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1921.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1921.cpp,195,"[""addLog""]","[[], [""warnf"", ""config"", ""curl_formadd"", ""failed"", ""possibly"", ""the"", ""file"", ""%s"", ""is"", ""bad"", ""\\n"", ""contp"", ""1""]]",[-1314383751683019868],"[""curl_formadd_ret""]","["" struct Configurable"", ""strstr_arg_ret""]",set([]),set([4]),5
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_158.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_158.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_158.cpp,-1005,19,-1,1070,,"warnf(config, ""curl_formadd failed!\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1922.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1922.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1922.cpp,208,"[""addLog""]","[[], [""warnf"", ""config"", ""curl_formadd"", ""failed"", ""\\n""]]",[-243909951715594044],"[""curl_formadd_ret""]","["" struct Configurable""]",set([]),set([17]),70
