patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,function,function_loc,edit_words,edit_feature,check,variable,ddg_codes,ddg_locs,cluster
curl-7.10.4_diff_curl-7.10.8,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.4/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.8/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_44.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_44.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_44.cpp,-987,36,-1,1085,,"curl_msnprintf(prompt, sizeof(prompt),
                   ""Enter %s password for user '%s':"",
                   kind, *userpwd);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_579.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_579.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_579.cpp,13,"[[], [u'curl_msnprintf', u'prompt', u'sizeof', u'prompt', u'Enter', u'%s', u'password', u'for', u'user', u'%s', u'kind', u'*userpwd']]",[-12101460507035574233],"[""strchr_ret""]","[""sizeof_arg"", ""getpass_r_arg"", ""char"", ""realloc_arg""]",set([]),set([]),123
curl-7.10.4_diff_curl-7.10.8,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.4/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.8/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_45.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_45.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_45.cpp,-1646,60,-1,1896,,"puts("""");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_580.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_580.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_580.cpp,789,"[[], [u'puts']]",[4142537773861848358],"[null, null]",[],set([]),set([]),163
curl-7.10.4_diff_curl-7.10.8,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.4/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.8/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_45.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_45.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_45.cpp,-1646,84,-1,1920,,"puts("""");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_581.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_581.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_581.cpp,813,"[[], [u'puts']]",[4142537773861848358],"[null, null]",[],set([]),set([]),163
curl-7.10.8_diff_curl-7.11.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.10.8/lib/netrc.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.11.0/lib/netrc.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_48.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_48.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_48.cpp,-68,61,-1,131,,"curl_maprintf(""%s%s%s"", home, DIR_CHAR, NETRC);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_582.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_582.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_582.cpp,54,"[[], [u'curl_maprintf', u'%s%s%s', u'home', u'DIR_CHAR', u'NETRC']]",[10224400421523091031],"[""fopen_arg""]","[""curl_getenv_ret"", null, null]",set([]),set([]),0
curl-7.11.2_diff_curl-7.12.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.11.2/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.12.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_99.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_99.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_99.cpp,16,20,1062,1077,"curl_msnprintf(prompt, sizeof(prompt),
                   ""Enter %s password for user '%s':"",
                   kind, *userpwd);","curlx_msnprintf(prompt, sizeof(prompt),
                   ""Enter %s password for user '%s':"",
                   kind, *userpwd);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1357.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1357.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1357.cpp,13,"[[u'curl_msnprintf'], [u'curlx_msnprintf']]",[2881189011128542941],"[""strchr_ret""]","[""sizeof_arg"", ""getpass_r_arg"", ""char"", ""realloc_arg""]",set([]),set([]),123
curl-7.12.0_diff_curl-7.13.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.12.0/lib/mprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.13.0/lib/mprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_113.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_113.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_113.cpp,-927,6,-1,925,,"curl_msnprintf(fptr, left, ""%ld"", width);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1358.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1358.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1358.cpp,344,"[[], [u'curl_msnprintf', u'fptr', u'left', u'%ld', u'width']]",[-6093681853013891464],[null],"[""OUTCHAR_arg"", ""strlen_ret"", null]",set([]),set([]),124
curl-7.12.0_diff_curl-7.13.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.12.0/lib/mprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.13.0/lib/mprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_113.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_113.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_113.cpp,-927,12,-1,931,,"curl_msnprintf(fptr, left, "".%ld"", prec);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1359.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1359.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1359.cpp,350,"[[], [u'curl_msnprintf', u'fptr', u'left', u'%ld', u'prec']]",[246217325280413813],[null],"[""OUTCHAR_arg"", ""strlen_ret"", null]",set([]),set([]),124
curl-7.12.0_diff_curl-7.13.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.12.0/src/getpass.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.13.0/src/getpass.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_119.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_119.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_119.cpp,-217,87,-1,204,,"fputs(""\n"", stderr);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1364.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1364.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1364.cpp,21,"[[], [u'fputs', u'\\n', u'stderr']]",[-12210362594644536545],"[""ttyecho_ret""]",[null],set([]),set([]),1
curl-7.12.0_diff_curl-7.13.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.12.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.13.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_133.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_133.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_133.cpp,-713,12,-1,761,,"puts (""  <none>"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1573.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1573.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1573.cpp,4,"[[], [u'puts', u'none']]",[-24046713280850296],"["" struct curl_slist""]",[],set([]),set([]),125
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_153.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_153.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_153.cpp,-240,142,-1,381,,"fputs(WARN_PREFIX, config->errors);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1914.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1914.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1914.cpp,15,"[[], [u'fputs', u'WARN_PREFIX', u'config', u'errors']]",[-8695703876298579548],"["" struct Configurable"", null, null]","[null, "" struct Configurable"", null]",set([]),set([]),2
