file,function,calls,types
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/imap-list.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_0.cpp,"[""curl_easy_init"", ""curl_easy_strerror"", ""curl_easy_setopt"", ""fprintf"", ""curl_easy_perform"", ""curl_easy_cleanup""]","[""int"", ""void"", ""CURL"", ""CURLcode""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/postinmemory.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_1.cpp,"[""realloc"", ""memcpy"", ""printf""]","[""size_t"", ""void"", "" struct MemoryStruct""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/postinmemory.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_2.cpp,"[""malloc"", ""curl_global_init"", ""curl_easy_init"", ""curl_easy_strerror"", ""free"", ""curl_easy_setopt"", ""fprintf"", ""curl_global_cleanup"", ""printf"", ""curl_easy_perform"", ""strlen"", ""curl_easy_cleanup""]","["" struct MemoryStruct"", ""int"", ""void"", ""char"", ""CURLcode"", ""CURL""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/https.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_3.cpp,"[""curl_global_init"", ""curl_easy_init"", ""curl_easy_strerror"", ""curl_global_cleanup"", ""curl_easy_setopt"", ""fprintf"", ""curl_easy_perform"", ""curl_easy_cleanup""]","[""int"", ""void"", ""CURL"", ""CURLcode""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/persistant.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_4.cpp,"[""curl_global_init"", ""curl_easy_init"", ""curl_easy_strerror"", ""curl_easy_setopt"", ""fprintf"", ""curl_easy_perform"", ""curl_easy_cleanup""]","[""int"", ""void"", ""CURL"", ""CURLcode""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/anyauthput.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_5.cpp,"[""lseek""]","[""CURL"", ""intptr_t"", ""void"", ""curlioerr"", ""curliocmd""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/anyauthput.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_6.cpp,"[""read"", ""fprintf""]","[""size_t"", ""void"", ""intptr_t"", ""curl_off_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/anyauthput.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_7.cpp,"[""curl_global_init"", ""curl_easy_init"", ""curl_easy_strerror"", ""curl_global_cleanup"", ""curl_easy_setopt"", ""fprintf"", ""curl_easy_perform"", ""close"", ""open"", ""fstat"", ""curl_easy_cleanup""]","[""intptr_t"", ""int"", ""char"", ""CURLcode"", "" struct stat"", ""CURL""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/multithread.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_8.cpp,"[""curl_easy_perform"", ""curl_easy_setopt"", ""curl_easy_init"", ""curl_easy_cleanup""]","[""void"", ""CURL""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/multithread.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_9.cpp,"[""pthread_create"", ""fprintf"", ""curl_global_init"", ""pthread_join""]","[""int"", ""char"", ""pthread_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/imap-tls.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_10.cpp,"[""curl_easy_init"", ""curl_easy_strerror"", ""curl_easy_setopt"", ""fprintf"", ""curl_easy_perform"", ""curl_easy_cleanup""]","[""int"", ""void"", ""CURL"", ""CURLcode""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/chkspeed.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_11.cpp,"[""size_t""]","[""size_t"", ""void""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/chkspeed.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_12.cpp,"[""strncasecmp"", ""strtol"", ""ctime"", ""curl_easy_init"", ""curl_easy_strerror"", ""curl_version"", ""curl_global_cleanup"", ""curl_easy_setopt"", ""exit"", ""time"", ""printf"", ""curl_easy_perform"", ""fprintf"", ""curl_easy_getinfo"", ""curl_easy_cleanup"", ""curl_global_init""]","[""time_t"", ""int"", ""double"", ""long"", ""char"", ""CURLcode"", ""CURL""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/ftpupload.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_13.cpp,"[""fread"", ""fprintf""]","[""size_t"", ""void"", ""curl_off_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/ftpupload.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_14.cpp,"[""stat"", ""curl_global_init"", ""curl_easy_init"", ""curl_easy_strerror"", ""curl_slist_free_all"", ""fclose"", ""strerror"", ""curl_slist_append"", ""curl_easy_setopt"", ""fprintf"", ""curl_global_cleanup"", ""printf"", ""curl_easy_perform"", ""fopen"", ""curl_easy_cleanup""]","["" struct curl_slist"", ""int"", ""void"", ""curl_off_t"", ""char"", ""CURLcode"", ""FILE"", "" struct stat"", ""CURL""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/smtp-mail.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_15.cpp,"[""strlen"", ""memcpy""]","[""size_t"", ""char"", ""void"", "" struct upload_status""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/smtp-mail.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_16.cpp,"[""curl_easy_init"", ""curl_easy_strerror"", ""curl_slist_free_all"", ""curl_slist_append"", ""curl_easy_setopt"", ""fprintf"", ""curl_easy_perform"", ""curl_easy_cleanup""]","["" struct upload_status"", ""int"", ""void"", "" struct curl_slist"", ""CURLcode"", ""CURL""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/multi-uv.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_17.cpp,"[""malloc"", ""uv_poll_init_socket""]","[""curl_context_t"", ""curl_socket_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/multi-uv.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_18.cpp,"[""free""]","[""uv_handle_t"", ""curl_context_t"", ""void""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/multi-uv.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_19.cpp,"[""uv_close""]","[""curl_context_t"", ""void""]"
