class,class_size,check,variable
72,3,"[""size_t"", ""size_t"", ""size_t""]","[""fprintf_arg""]"
87,4,"[""size_t"", ""size_t"", ""size_t""]","[""fprintf_arg_ret""]"
0,1,"[null, null, null, null, null, null, null, null]",[null]
1,1,"[""int""]",[]
2,1,"[null, ""(_ret"", null]",[]
3,1,"[null, ""(_ret"", null]","[""ssl_version_ret""]"
4,1,"[""strcmp_ret""]","[null, null]"
88,5,"[""strcmp_ret""]",[]
5,1,"[""getaddrinfo_arg""]",[null]
6,1,[null],[]
7,1,"["" struct GlobalConfig"", null]","[""strlen_arg_ret"", "" struct GlobalConfig"", null]"
8,1,"[""vsnprintf_ret"", ""strlen_ret""]","["" struct GlobalConfig"", null]"
9,1,"[""vsnprintf_ret"", ""strlen_ret""]","[""fwrite_arg_ret"", "" struct GlobalConfig"", null]"
10,1,"["" struct GlobalConfig"", null]","["" struct GlobalConfig"", null, ""va_start_arg_ret"", ""va_end_arg""]"
11,1,"[""va_start_arg""]","[""vfprintf_arg""]"
12,1,"[""fwrite_arg"", ""fwrite_arg"", null, null]","["" struct OutStruct"", null, null]"
13,1,"["" struct sprotos"", ""char""]","["" struct OperationConfig"", null, ""curl_strequal_arg_ret""]"
73,2,"[""parseconfig_arg"", null, ""parseconfig_arg"", null, null]","[""parseconfig_arg""]"
14,1,"[""curlx_strtoofft_ret""]","[""parseconfig_arg""]"
15,1,"[""strlen_arg_ret""]","[""parseconfig_arg""]"
74,2,"[""fopen_ret""]","[""parseconfig_arg"", ""fopen_arg_ret""]"
16,1,"[""ftpfilemethod_arg_ret"", null]","[""parseconfig_arg""]"
75,3,"[""char""]","[""parseconfig_arg""]"
17,1,"[""metalink_get_version_arg_ret"", ""metalink_get_version_arg_ret"", ""metalink_get_version_arg_ret"", null]","[""parseconfig_arg"", null, null, null, ""metalink_get_version_arg_ret"", ""metalink_get_version_arg_ret"", ""metalink_get_version_arg_ret""]"
18,1,"[""fopen_ret""]","[""parseconfig_arg"", ""strchr_arg_ret""]"
19,1,"[""fopen_ret""]","[""parseconfig_arg"", ""GetStr_arg_ret""]"
20,1,"[""SetHTTPrequest_arg_ret"", null]","[""parseconfig_arg""]"
21,1,"[""parseconfig_ret""]","[""parseconfig_arg_ret"", ""parseconfig_arg_ret""]"
22,1,"[""bool""]","[""parseconfig_arg_ret""]"
23,1,"[""curlx_strtoofft_ret""]","[""parseconfig_arg_ret""]"
24,1,"[""ISDIGIT_ret"", ""strchr_ret""]","[""parseconfig_arg_ret""]"
25,1,"[""ISDIGIT_ret"", ""ISDIGIT_arg_ret"", ""ISDIGIT_arg_ret""]","[""parseconfig_arg_ret""]"
26,1,"[""parseconfig_arg_ret"", null, ""parseconfig_arg_ret"", null, null]","[""parseconfig_arg_ret""]"
27,1,"[""new_getout_arg_ret"", null]","[""parseconfig_arg_ret"", ""char""]"
28,1,"[""stat_ret""]","[""parseconfig_arg_ret""]"
29,1,"[""fopen_ret""]","[""SetHTTPrequest_arg_ret"", ""metalink_check_hash_arg"", ""SetHTTPrequest_arg_ret"", null]"
30,1,"[""glob_match_url_ret""]","[""SetHTTPrequest_arg_ret"", ""metalink_check_hash_arg""]"
31,1,"[""SetHTTPrequest_arg_ret"", null, ""int""]","[""SetHTTPrequest_arg_ret"", ""metalink_check_hash_arg""]"
32,1,"[""curlx_nonblock_ret""]","[""strerror_ret"", ""SetHTTPrequest_arg_ret"", ""metalink_check_hash_arg"", ""open_ret""]"
33,1,"[""res_setopt_str_ret"", null]","[""SetHTTPrequest_arg_ret"", ""metalink_check_hash_arg"", ""bool""]"
34,1,"[""SetHTTPrequest_arg_ret"", null]","[""SetHTTPrequest_arg_ret"", ""metalink_check_hash_arg""]"
35,1,"[""SetHTTPrequest_arg_ret"", null, ""SetHTTPrequest_arg_ret"", null, ""SetHTTPrequest_arg_ret"", null]","[""SetHTTPrequest_arg_ret"", ""metalink_check_hash_arg""]"
36,1,[null],"[""my_setopt_arg_ret"", ""metalink_check_hash_arg"", null, null, ""tool_go_sleep_arg"", ""long""]"
37,1,"[""metalink_check_hash_arg"", null, null, ""my_setopt_arg_ret"", null]","[""my_setopt_arg_ret"", null]"
38,1,"[""curl_easy_perform_ret"", null]","[null, ""metalink_check_hash_arg"", null]"
39,1,"[""fwrite_xattr_ret""]","[""strerror_ret"", ""my_setopt_arg_ret"", ""metalink_check_hash_arg""]"
40,1,"["" struct OutStruct"", null, "" struct OutStruct"", null]","["" struct GlobalConfig""]"
76,2,"[""fopen_ret""]","[""strerror_ret"", "" struct GlobalConfig"", "" struct OutStruct"", null]"
77,2,"[""memchr_arg"", null, null]","["" struct OperationConfig"", null]"
41,1,"[""bool""]","["" struct OperationConfig"", null]"
42,1,"[""memchr_ret""]","["" struct OperationConfig"", null]"
78,2,"[null, null]",[]
43,1,"[""curl_easy_getinfo_arg_ret""]",[]
44,1,"[""ISSPACE_arg_ret""]","[""getparameter_arg"", ""getparameter_arg"", ""fopen_arg_ret"", ""int"", ""fprintf_arg_ret""]"
45,1,"[""getparameter_ret"", null, ""getparameter_ret"", null, ""getparameter_ret"", null, ""getparameter_ret"", null]","[""getparameter_arg_ret"", ""getparameter_arg_ret"", ""strcmp_arg_ret"", ""int"", ""getparameter_arg_ret"", ""param2text_ret""]"
46,1,"[""fopen_ret""]","["" struct GlobalConfig"", ""fopen_arg_ret""]"
47,1,"[""fprintf_arg""]","["" struct GlobalConfig""]"
48,1,"[""size_t"", null]","["" struct OperationConfig"", null, ""fprintf_arg_ret"", ""int""]"
49,1,"[""sscanf_ret""]","[""read_field_headers_arg"", null]"
50,1,"[""fopen_ret""]","[""strerror_ret"", ""read_field_headers_arg"", null, ""fopen_arg_ret""]"
79,3,"[""get_param_word_ret""]","[""read_field_headers_arg_ret"", null, ""get_param_word_ret""]"
51,1,"[""strlen_arg_ret""]","[""read_field_headers_arg_ret"", null, ""strlen_arg_ret""]"
52,1,"[""curl_slist_free_all_arg_ret""]","[""read_field_headers_arg_ret"", null, ""curl_slist_free_all_arg_ret"", null]"
53,1,"[""curl_mime_init_ret""]","[""get_param_part_arg"", null]"
80,2,"[""curl_mime_init_ret""]","[""get_param_part_arg_ret"", null]"
89,4,"[""curl_mime_addpart_ret""]","[""get_param_part_arg_ret"", null]"
81,2,"[""curl_mime_subparts_ret""]","[""get_param_part_arg_ret"", null]"
90,4,"[""curl_mime_headers_ret""]","[""get_param_part_arg_ret"", null]"
84,3,"[""curl_mime_type_ret""]","[""get_param_part_arg_ret"", null]"
54,1,"[""curl_mime_addpart_arg_ret"", ""curl_mime_init_ret""]","[""get_param_part_arg_ret"", null]"
