file,function,loc,log,check,variable,cluster
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/debug.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_91.cpp,28,"fputs(""   "", stream)","[""size_t"", ""size_t"", ""size_t""]","[""fprintf_arg_ret""]",67
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/multi-debugcallback.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_94.cpp,28,"fputs(""   "", stream)","[""size_t"", ""size_t"", ""size_t""]","[""fprintf_arg_ret""]",67
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/sendrecv.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_238.cpp,46,"puts(""Sending request."")","[""curl_easy_init_ret""]",[],58
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/sendrecv.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_238.cpp,56,"puts(""Reading response."")","[""curl_easy_init_ret""]",[],58
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/packages/OS400/ccsidcurl.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_350.cpp,25,"curl_mfprintf(stderr,
       ""*** WARNING: curl_easy_setopt_ccsid() should be reworked ***\n"")","[null, null, null, null, null, null, null, null]",[null],0
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/packages/vms/report_openssl_version.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_352.cpp,9,"puts(""report_openssl_version filename"")","[""int""]",[],1
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/packages/vms/report_openssl_version.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_352.cpp,26,"puts(""Unable to lookup version of OpenSSL"")","[null, ""(_ret"", null]",[],2
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/packages/vms/report_openssl_version.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_352.cpp,32,puts(version),"[null, ""(_ret"", null]","[""ssl_version_ret""]",3
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/libtest/lib552.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_445.cpp,27,"fputs(""   "", stream)","[""size_t"", ""size_t"", ""size_t""]","[""fprintf_arg_ret""]",67
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/server/sws.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_610.cpp,30,"puts(""sws IPv4""
#ifdef ENABLE_IPV6
             ""/IPv6""
#endif
#ifdef USE_UNIX_SOCKETS
             ""/unix""
#endif
          )","[""strcmp_ret""]","[null, null]",4
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/server/sws.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_610.cpp,121,"puts(""Usage: sws [option]\n""
           "" --version\n""
           "" --logfile [file]\n""
           "" --pidfile [file]\n""
           "" --ipv4\n""
           "" --ipv6\n""
           "" --unix-socket [file]\n""
           "" --port [port]\n""
           "" --srcdir [path]\n""
           "" --connect [ip4-addr]\n""
           "" --gopher"")","[""strcmp_ret""]",[],68
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/server/tftpd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_625.cpp,76,"puts(""Usage: tftpd [option]\n""
           "" --version\n""
           "" --logfile [file]\n""
           "" --pidfile [file]\n""
           "" --ipv4\n""
           "" --ipv6\n""
           "" --port [port]\n""
           "" --srcdir [path]"")","[""strcmp_ret""]",[],68
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/server/resolve.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_632.cpp,34,"puts(""Usage: resolve [option] <host>\n""
         "" --version\n""
         "" --ipv4""
#ifdef ENABLE_IPV6
         ""\n --ipv6""
#endif
         )","[""gethostbyname_arg""]",[null],5
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/server/resolve.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_632.cpp,85,"puts(""IPv6 support has been disabled in this program"")",[null],[],6
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/server/rtspd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_650.cpp,76,"puts(""Usage: rtspd [option]\n""
           "" --version\n""
           "" --logfile [file]\n""
           "" --pidfile [file]\n""
           "" --ipv4\n""
           "" --ipv6\n""
           "" --port [port]\n""
           "" --srcdir [path]"")","[""strcmp_ret""]",[],68
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/server/sockfilt.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_666.cpp,100,"puts(""Usage: sockfilt [option]\n""
           "" --version\n""
           "" --verbose\n""
           "" --logfile [file]\n""
           "" --pidfile [file]\n""
           "" --ipv4\n""
           "" --ipv6\n""
           "" --bindonly\n""
           "" --port [port]\n""
           "" --connect [port]\n""
           "" --addr [address]"")","[""strcmp_ret""]",[],68
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/server/fake_ntlm.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_668.cpp,42,"puts(""Usage: fake_ntlm [option]\n""
           "" --use-cached-creds\n""
           "" --helper-protocol [protocol]\n""
           "" --username [username]\n""
           "" --domain [domain]"")","[""strcmp_ret""]",[],68
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_msgs.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_752.cpp,15,"fputs(WARN_PREFIX, config->global->errors)","["" struct OperationConfig"", null, null]","[null, "" struct OperationConfig"", null, null]",7
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_msgs.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_752.cpp,29,"fputs(""\n"", config->global->errors)","[""vsnprintf_ret"", null, null]","["" struct OperationConfig"", null, null]",8
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_msgs.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_752.cpp,34,"fputs(ptr, config->global->errors)","[""vsnprintf_ret"", null, null]","[""fwrite_arg_ret"", "" struct OperationConfig"", null, null]",9
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_msgs.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_753.cpp,6,"fputs(""curl: "", errors)","[""va_start_arg""]","[""vfprintf_arg""]",10
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_cb_hdr.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_754.cpp,23,"warnf(heads->config, ""Header data exceeds single call write limit!\n"")","[""fwrite_arg"", ""fwrite_arg"", null, null]","["" struct OutStruct"", null]",11
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_paramhlp.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_770.cpp,91,"warnf(config, ""unrecognized protocol '%s'\n"", token)","["" struct sprotos"", ""char""]","["" struct OperationConfig"", ""curlx_raw_equal_arg_ret""]",12
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_781.cpp,150,"warnf(config, ""--trace overrides an earlier trace/verbose option\n"")","[""parseconfig_arg"", null, ""parseconfig_arg"", null, null]","[""new_getout_arg""]",59
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_781.cpp,159,"warnf(config,
                ""--trace-ascii overrides an earlier trace/verbose option\n"")","[""parseconfig_arg"", null, ""parseconfig_arg"", null, null]","[""new_getout_arg""]",59
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_781.cpp,195,"warnf(config, ""unsupported rate unit. Use G, M, K or B!\n"")","[""strlen_arg_ret""]","[""new_getout_arg""]",13
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_781.cpp,305,"warnf(config, ""Failed to open %s!\n"", nextarg)","[""fopen_ret""]","[""new_getout_arg"", ""fopen_arg_ret""]",14
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_781.cpp,457,"warnf(config, ""bad range input\n"")","[""ftpfilemethod_arg_ret"", null]","[""ftpfilemethod_arg_ret""]",15
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_781.cpp,489,"warnf(config,
              ""--libcurl option was disabled at build-time!\n"")","[""char""]","[""ftpcccmethod_arg_ret""]",16
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_781.cpp,577,"warnf(config,
                  ""--metalink option cannot be used because the version of ""
                  ""the linked libmetalink library is too old. ""
                  ""Required: %d.%d.%d, found %d.%d.%d\n"",
                  CURL_REQ_LIBMETALINK_MAJOR,
                  CURL_REQ_LIBMETALINK_MINOR,
                  CURL_REQ_LIBMETALINK_PATCH,
                  mlmaj, mlmin, mlpatch)","[""metalink_get_version_arg_ret"", ""metalink_get_version_arg_ret"", ""metalink_get_version_arg_ret"", null]","[""delegation_arg_ret"", null, null, null, ""metalink_get_version_arg_ret"", ""metalink_get_version_arg_ret"", ""metalink_get_version_arg_ret""]",17
