class,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,calls,types
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/chkspeed.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_12.cpp,"[""strncasecmp"", ""strtol"", ""ctime"", ""curl_easy_init"", ""curl_easy_strerror"", ""curl_version"", ""curl_global_cleanup"", ""curl_easy_setopt"", ""exit"", ""time"", ""printf"", ""curl_easy_perform"", ""fprintf"", ""curl_easy_getinfo"", ""curl_easy_cleanup"", ""curl_global_init""]","[""time_t"", ""int"", ""double"", ""long"", ""char"", ""CURLcode"", ""CURL""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/multi-uv.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_21.cpp,"[""curl_multi_info_read"", ""fclose"", ""fprintf"", ""printf"", ""curl_multi_remove_handle"", ""curl_easy_getinfo"", ""curl_easy_cleanup""]","[""int"", ""char"", ""void"", ""CURLMsg"", ""FILE""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/sessioninfo.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_28.cpp,"[""gnutls_x509_crt_deinit"", ""gnutls_certificate_get_peers"", ""gnutls_x509_crt_init"", ""gnutls_x509_crt_import"", ""gnutls_free"", ""fprintf"", ""curl_easy_getinfo"", ""gnutls_x509_crt_print""]","[""gnutls_x509_crt_t"", "" struct curl_tlssessioninfo"", ""void"", ""gnutls_datum_t"", ""unsigned"", ""CURLcode"", ""size_t""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/evhiperfifo.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_60.cpp,"[""curl_multi_info_read"", ""free"", ""fprintf"", ""curl_multi_remove_handle"", ""curl_easy_getinfo"", ""curl_easy_cleanup""]","[""CURLMsg"", ""int"", ""void"", ""ConnInfo"", ""char"", ""CURLcode"", ""CURL"", ""GlobalInfo""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/fileupload.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_90.cpp,"[""fileno"", ""curl_easy_getinfo"", ""curl_easy_init"", ""curl_easy_strerror"", ""curl_easy_setopt"", ""fprintf"", ""curl_easy_perform"", ""fopen"", ""fstat"", ""curl_easy_cleanup""]","[""int"", ""double"", ""void"", ""CURLcode"", ""FILE"", "" struct stat"", ""CURL""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/cookie_interface.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_97.cpp,"[""curl_easy_strerror"", ""curl_slist_free_all"", ""fprintf"", ""printf"", ""exit"", ""curl_easy_getinfo""]","[""int"", ""void"", "" struct curl_slist"", ""CURL"", ""CURLcode""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/ftpgetinfo.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_132.cpp,"[""curl_global_init"", ""curl_easy_init"", ""curl_easy_cleanup"", ""curl_global_cleanup"", ""curl_easy_setopt"", ""fprintf"", ""printf"", ""curl_easy_perform"", ""strrchr"", ""curl_easy_getinfo"", ""ctime""]","[""time_t"", ""int"", ""double"", ""void"", ""long"", ""char"", ""CURLcode"", ""CURL""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/hiperfifo.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_181.cpp,"[""curl_multi_info_read"", ""free"", ""fprintf"", ""curl_multi_remove_handle"", ""curl_easy_getinfo"", ""curl_easy_cleanup""]","[""CURLMsg"", ""int"", ""void"", ""ConnInfo"", ""char"", ""CURLcode"", ""CURL"", ""GlobalInfo""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/10-at-a-time.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_197.cpp,"[""curl_multi_cleanup"", ""curl_multi_perform"", ""curl_global_init"", ""curl_multi_info_read"", ""curl_multi_setopt"", ""curl_multi_timeout"", ""curl_easy_cleanup"", ""strerror"", ""curl_multi_init"", ""curl_global_cleanup"", ""init"", ""FD_ZERO"", ""select"", ""curl_easy_strerror"", ""curl_multi_remove_handle"", ""fprintf"", ""curl_easy_getinfo"", ""Sleep"", ""sleep"", ""curl_multi_fdset""]","[""CURLMsg"", "" struct timeval"", ""int"", ""fd_set"", ""void"", ""unsigned"", ""long"", ""char"", ""CURLM"", ""CURL""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/progressfunc.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_204.cpp,"[""curl_easy_getinfo"", ""fprintf""]","[""int"", ""double"", ""void"", ""curl_off_t"", ""CURL"", "" struct myprogress""]"
