class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,calls,types,necessity
180,2,curl-7.18.1_diff_curl-7.18.2,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [""fputs"", ""stringp"", ""stream""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/docs/examples/fileupload.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_26_curl-7.15.0.cpp,"[""stat"", ""curl_easy_getinfo"", ""curl_easy_init"", ""curl_easy_setopt"", ""fprintf"", ""curl_easy_perform"", ""fopen"", ""curl_easy_cleanup""]","[""int"", ""double"", ""void"", "" struct stat"", ""CURLcode"", ""FILE"", ""curl_off_t"", ""CURL""]",accept-true
180,2,curl-7.18.1_diff_curl-7.18.2,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [""fputs"", ""stringp"", ""stream""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/docs/examples/cookie_interface.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_33_curl-7.15.0.cpp,"[""curl_easy_strerror"", ""curl_slist_free_all"", ""fprintf"", ""printf"", ""exit"", ""curl_easy_getinfo""]","[""int"", ""void"", "" struct curl_slist"", ""CURL"", ""CURLcode""]",accept-true
180,2,curl-7.18.1_diff_curl-7.18.2,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [""fputs"", ""stringp"", ""stream""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/writeout.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_170_curl-7.15.0.cpp,"[""strchr"", ""fputc"", ""fputs"", ""curl_strequal"", ""fprintf"", ""curl_easy_getinfo""]","[""int"", ""double"", ""void"", ""long"", ""char"", ""bool"", ""FILE"", ""CURL""]",accept-false
180,2,curl-7.18.1_diff_curl-7.18.2,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [""fputs"", ""stringp"", ""stream""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_208_curl-7.15.0.cpp,"[""create_dir_hierarchy"", ""malloc"", ""fseek"", ""glob_match_url"", ""snprintf"", ""setlocale"", ""defined"", ""memset"", ""curlx_strequal"", ""SetComment"", ""ourWriteEnv"", ""list_engines"", ""curl_free"", ""curl_version"", ""rename_if_dos_device_name"", ""curl_easy_getinfo"", ""strlen"", ""main_init"", ""warnf"", ""helpf"", ""fopen"", ""fprintf"", ""FindWin32CACert"", ""printf"", ""GetStr"", ""fputs"", ""curl_memdebug"", ""sprintf"", ""curlx_tvdiff"", ""curl_memlimit"", ""strrchr"", ""clean_getout"", ""glob_cleanup"", ""ftruncate"", ""glob_url"", ""strchr"", ""stat"", ""curl_escape"", ""isatty"", ""SetHTTPrequest"", ""curl_version_info"", ""fclose"", ""curlx_strnequal"", ""getparameter"", ""free"", ""ourWriteOut"", ""curl_easy_setopt"", ""atoi"", ""fileno"", ""output_expected"", ""curl_easy_perform"", ""param2text"", ""curlx_tvnow"", ""strdup"", ""utime"", ""glob_next_url"", ""parseconfig"", ""progressbarinit"", ""curl_easy_init"", ""curl_easy_strerror"", ""curl_slist_free_all"", ""go_sleep"", ""curlx_getenv"", ""strstr"", ""strcpy"", ""setmode"", ""main_free"", ""fflush"", ""msdosify"", ""strcmp"", ""curl_easy_cleanup""]","["" struct ProgressData"", "" struct InStruct"", "" struct timeval"", "" struct Configurable"", "" struct curl_slist"", ""int"", "" struct getout"", ""long"", ""char"", "" struct utimbuf"", ""struct_stat"", ""bool"", ""FILE"", ""curl_off_t"", "" struct OutStruct"", ""URLGlob"", ""CURL""]",accept-true
180,2,curl-7.18.1_diff_curl-7.18.2,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [""fputs"", ""stringp"", ""stream""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.18.1/docs/examples/fileupload.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_31_curl-7.18.1.cpp,"[""stat"", ""curl_easy_getinfo"", ""curl_easy_init"", ""curl_easy_setopt"", ""fprintf"", ""curl_easy_perform"", ""fopen"", ""curl_easy_cleanup""]","[""int"", ""double"", ""void"", ""CURLcode"", ""FILE"", "" struct stat"", ""CURL""]",accept-true
180,2,curl-7.18.1_diff_curl-7.18.2,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [""fputs"", ""stringp"", ""stream""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.18.1/docs/examples/cookie_interface.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_38_curl-7.18.1.cpp,"[""curl_easy_strerror"", ""curl_slist_free_all"", ""fprintf"", ""printf"", ""exit"", ""curl_easy_getinfo""]","[""int"", ""void"", "" struct curl_slist"", ""CURL"", ""CURLcode""]",accept-true
180,2,curl-7.18.1_diff_curl-7.18.2,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [""fputs"", ""stringp"", ""stream""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.18.1/docs/examples/hiperfifo.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_88_curl-7.18.1.cpp,"[""curl_multi_info_read"", ""free"", ""fprintf"", ""curl_multi_remove_handle"", ""curl_easy_getinfo"", ""curl_easy_cleanup""]","[""CURLMsg"", ""int"", ""void"", ""ConnInfo"", ""char"", ""CURLcode"", ""CURL"", ""GlobalInfo""]",accept-true
180,2,curl-7.18.1_diff_curl-7.18.2,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [""fputs"", ""stringp"", ""stream""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.18.1/docs/examples/10-at-a-time.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_103_curl-7.18.1.cpp,"[""curl_multi_cleanup"", ""curl_multi_perform"", ""curl_global_init"", ""curl_multi_info_read"", ""curl_multi_setopt"", ""curl_multi_timeout"", ""curl_easy_cleanup"", ""strerror"", ""curl_multi_init"", ""curl_global_cleanup"", ""init"", ""FD_ZERO"", ""select"", ""curl_easy_strerror"", ""curl_multi_remove_handle"", ""fprintf"", ""curl_easy_getinfo"", ""Sleep"", ""sleep"", ""curl_multi_fdset""]","[""CURLMsg"", "" struct timeval"", ""int"", ""fd_set"", ""void"", ""long"", ""char"", ""CURLM"", ""CURL"", ""unsigned int""]",accept-true
180,2,curl-7.18.1_diff_curl-7.18.2,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [""fputs"", ""stringp"", ""stream""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.18.1/src/writeout.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_310_curl-7.18.1.cpp,"[""strchr"", ""fputc"", ""fputs"", ""curl_strequal"", ""fprintf"", ""curl_easy_getinfo""]","[""int"", ""double"", ""void"", ""long"", ""char"", ""bool"", ""FILE"", ""CURL""]",accept-false
180,2,curl-7.18.1_diff_curl-7.18.2,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [""fputs"", ""stringp"", ""stream""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.18.1/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_361_curl-7.18.1.cpp,"[""create_dir_hierarchy"", ""malloc"", ""fseek"", ""glob_match_url"", ""snprintf"", ""setlocale"", ""defined"", ""memset"", ""curlx_strequal"", ""SetComment"", ""curl_slist_append"", ""ourWriteEnv"", ""list_engines"", ""curl_free"", ""curl_version"", ""close"", ""rename_if_dos_device_name"", ""curl_easy_getinfo"", ""strlen"", ""main_init"", ""warnf"", ""helpf"", ""fopen"", ""open"", ""fprintf"", ""FindWin32CACert"", ""main_free"", ""printf"", ""GetStr"", ""fputs"", ""curl_memdebug"", ""sprintf"", ""curl_memlimit"", ""strrchr"", ""strdup"", ""glob_cleanup"", ""ftruncate"", ""glob_url"", ""strchr"", ""stat"", ""curlx_strnequal"", ""isatty"", ""SetHTTPrequest"", ""curl_version_info"", ""fclose"", ""cutil_tvnow"", ""getparameter"", ""free"", ""curl_easy_escape"", ""atoi"", ""fileno"", ""output_expected"", ""curl_easy_perform"", ""param2text"", ""ourWriteOut"", ""clean_getout"", ""my_setopt"", ""utime"", ""glob_next_url"", ""parseconfig"", ""progressbarinit"", ""curl_easy_init"", ""SET_BINMODE"", ""cutil_tvdiff"", ""curl_slist_free_all"", ""dumpeasycode"", ""go_sleep"", ""curlx_getenv"", ""strstr"", ""strcpy"", ""curl_easy_strerror"", ""fflush"", ""msdosify"", ""strcmp"", ""curl_easy_cleanup""]","["" struct ProgressData"", "" struct InStruct"", "" struct timeval"", "" struct Configurable"", "" struct curl_slist"", ""int"", "" struct getout"", ""long"", ""char"", "" struct utimbuf"", ""struct_stat"", ""bool"", ""FILE"", ""curl_off_t"", "" struct OutStruct"", ""URLGlob"", ""CURL"", ""argv_item_t""]",accept-true
