file,function,loc,log,check,variable
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/docs/examples/debug.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_24.cpp,27," fputs(  ""   ""  stream","['size_t', 'size_t', 'size_t']","[None, 'fprintf_arg_ret']"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/docs/examples/multi-debugcallback.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_27.cpp,27," fputs(  ""   ""  stream","['size_t', 'size_t', 'size_t']","[None, 'fprintf_arg_ret']"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/tests/server/sockfilt.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_134.cpp,66," puts(  ""Usage: sockfilt [option]\n"""" --version\n"""" --logfile [file]\n"""" --pidfile [file]\n"""" --ipv4\n"""" --ipv6\n"""" --port [port]""",['strcmp_ret'],[None]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/writeout.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_148.cpp,32, fputs(  stringp  stream,"['curl_easy_getinfo_ret', None, 'curl_easy_getinfo_arg_ret']","[None, 'curl_easy_getinfo_arg_ret', 'fputc_arg_ret']"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/writeout.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_148.cpp,120, fputs(  stringp  stream,"['curl_easy_getinfo_ret', None, 'curl_easy_getinfo_arg_ret']","[None, 'curl_easy_getinfo_arg_ret', 'fprintf_arg_ret']"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_155.cpp,6," fputs(  ""curl: ""  stderr",['va_start_arg'],"[None, 'vfprintf_arg']"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_164.cpp,5," puts(  ""  <none>""",[' struct curl_slist'],[None]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_172.cpp,911," puts(  """"","[None, None]",[None]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_172.cpp,938," puts(  """"","[None, None]",[None]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_180.cpp,27," fputs(  ""   ""  stream","['size_t', 'size_t', 'size_t']","[None, 'fprintf_arg_ret']"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_185.cpp,932," fputs(  ""\n""   progressbar.out","['curl_easy_setopt_arg_ret', None, None, 'curl_easy_setopt_arg_ret', None]","[None, 'curl_easy_setopt_arg_ret', None]"
