class,old_loc,old_log,new_log,check,variable,edit,file,function,loc,log,check,variable,cluster
189,1746,"puts("""");",,"[null, null]",[],"[[u'puts'], []]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_827.cpp,11,"puts("""")","[null, null]",[],63
189,1746,"puts("""");",,"[null, null]",[],"[[u'puts'], []]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_827.cpp,23,"puts("""")","[null, null]",[],63
190,63,"warnf(config, ""Data size exceeds single call write limit!\n"");","warnf(config->global, ""Data size exceeds single call write limit!\n"");","[""fwrite_arg"", ""fwrite_arg"", null, null]","["" struct OperationConfig""]","[[], [u'global']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_cb_wrt.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_790.cpp,21,"warnf(config, ""Header data size exceeds single call write limit!\n"")","[""fwrite_arg"", ""fwrite_arg"", null, null]","["" struct OperationConfig""]",61
190,63,"warnf(config, ""Data size exceeds single call write limit!\n"");","warnf(config->global, ""Data size exceeds single call write limit!\n"");","[""fwrite_arg"", ""fwrite_arg"", null, null]","["" struct OperationConfig""]","[[], [u'global']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_cb_wrt.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_790.cpp,27,"warnf(config, ""Data size exceeds single call write limit!\n"")","[""fwrite_arg"", ""fwrite_arg"", null, null]","["" struct OperationConfig""]",61
191,345,"warnf(config, ""curl_formadd failed!\n"");","warnf(config->global, ""curl_formadd failed!\n"");","[""curl_formadd_ret""]","["" struct OperationConfig""]","[[], [u'global']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_formparse.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_851.cpp,152,"warnf(config, ""curl_formadd failed!\n"")","[""curl_formadd_ret""]","["" struct OperationConfig""]",64
191,345,"warnf(config, ""curl_formadd failed!\n"");","warnf(config->global, ""curl_formadd failed!\n"");","[""curl_formadd_ret""]","["" struct OperationConfig""]","[[], [u'global']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_formparse.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_851.cpp,204,"warnf(config, ""curl_formadd failed!\n"")","[""curl_formadd_ret""]","["" struct OperationConfig""]",64
192,534,"warnf(config,
                ""--trace-ascii overrides an earlier trace/verbose option\n"");","warnf(global,
                ""--trace-ascii overrides an earlier trace/verbose option\n"");","[""parseconfig_arg"", null, ""parseconfig_arg"", null, null]","[""new_getout_arg""]","[[u'config'], [u'global']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_781.cpp,150,"warnf(config, ""--trace overrides an earlier trace/verbose option\n"")","[""parseconfig_arg"", null, ""parseconfig_arg"", null, null]","[""new_getout_arg""]",59
192,534,"warnf(config,
                ""--trace-ascii overrides an earlier trace/verbose option\n"");","warnf(global,
                ""--trace-ascii overrides an earlier trace/verbose option\n"");","[""parseconfig_arg"", null, ""parseconfig_arg"", null, null]","[""new_getout_arg""]","[[u'config'], [u'global']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_781.cpp,159,"warnf(config,
                ""--trace-ascii overrides an earlier trace/verbose option\n"")","[""parseconfig_arg"", null, ""parseconfig_arg"", null, null]","[""new_getout_arg""]",59
193,977,"warnf(config, ""--test-event is ignored unless a debug build!\n"");","warnf(global, ""--test-event is ignored unless a debug build!\n"");","[""char""]","[""delegation_arg_ret""]","[[u'config'], [u'global']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_781.cpp,590,"warnf(config, ""--metalink option is ignored because the binary is ""
                ""built without the Metalink support.\n"")","[""char""]","[""delegation_arg_ret""]",60
193,977,"warnf(config, ""--test-event is ignored unless a debug build!\n"");","warnf(global, ""--test-event is ignored unless a debug build!\n"");","[""char""]","[""delegation_arg_ret""]","[[u'config'], [u'global']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_781.cpp,602,"warnf(config, ""--test-event is ignored unless a debug build!\n"")","[""char""]","[""delegation_arg_ret""]",60
