class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,loc,log,check,variable,necessity
116,2,curl-7.35.0_diff_curl-7.36.0,1746,"puts("""");",,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_8807.cpp,1346,"[null, null]",[],"[[""puts""], []]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.35.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_743_curl-7.35.0.cpp,1334,"puts("""")","[null, null]",[],accept-true
116,2,curl-7.35.0_diff_curl-7.36.0,1746,"puts("""");",,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_8807.cpp,1346,"[null, null]",[],"[[""puts""], []]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.35.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_743_curl-7.35.0.cpp,1346,"puts("""")","[null, null]",[],accept-true
117,2,curl-7.41.0_diff_curl-7.42.0,63,"warnf(config, ""Data size exceeds single call write limit!\n"");","warnf(config->global, ""Data size exceeds single call write limit!\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_10421.cpp,26,"[""fwrite_arg"", ""fwrite_arg"", null, null]","["" struct OperationConfig""]","[[], [""global""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_cb_wrt.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_790_curl-7.41.0.cpp,20,"warnf(config, ""Header data size exceeds single call write limit!\n"")","[""fwrite_arg"", ""fwrite_arg"", null, null]","["" struct OperationConfig""]",accept-true
117,2,curl-7.41.0_diff_curl-7.42.0,63,"warnf(config, ""Data size exceeds single call write limit!\n"");","warnf(config->global, ""Data size exceeds single call write limit!\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_10421.cpp,26,"[""fwrite_arg"", ""fwrite_arg"", null, null]","["" struct OperationConfig""]","[[], [""global""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_cb_wrt.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_790_curl-7.41.0.cpp,26,"warnf(config, ""Data size exceeds single call write limit!\n"")","[""fwrite_arg"", ""fwrite_arg"", null, null]","["" struct OperationConfig""]",accept-true
118,2,curl-7.41.0_diff_curl-7.42.0,345,"warnf(config, ""curl_formadd failed!\n"");","warnf(config->global, ""curl_formadd failed!\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_10433.cpp,203,"[""curl_formadd_ret""]","["" struct OperationConfig""]","[[], [""global""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_formparse.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_851_curl-7.41.0.cpp,151,"warnf(config, ""curl_formadd failed!\n"")","[""curl_formadd_ret""]","["" struct OperationConfig""]",accept-true
118,2,curl-7.41.0_diff_curl-7.42.0,345,"warnf(config, ""curl_formadd failed!\n"");","warnf(config->global, ""curl_formadd failed!\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_10433.cpp,203,"[""curl_formadd_ret""]","["" struct OperationConfig""]","[[], [""global""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_formparse.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_851_curl-7.41.0.cpp,203,"warnf(config, ""curl_formadd failed!\n"")","[""curl_formadd_ret""]","["" struct OperationConfig""]",accept-true
119,2,curl-7.41.0_diff_curl-7.42.0,534,"warnf(config,
                ""--trace-ascii overrides an earlier trace/verbose option\n"");","warnf(global,
                ""--trace-ascii overrides an earlier trace/verbose option\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_10436.cpp,158,"[""parseconfig_arg"", null, ""parseconfig_arg"", null, null]","[""new_getout_arg""]","[[""config""], [""global""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_781_curl-7.41.0.cpp,149,"warnf(config, ""--trace overrides an earlier trace/verbose option\n"")","[""parseconfig_arg"", null, ""parseconfig_arg"", null, null]","[""new_getout_arg""]",accept-true
119,2,curl-7.41.0_diff_curl-7.42.0,534,"warnf(config,
                ""--trace-ascii overrides an earlier trace/verbose option\n"");","warnf(global,
                ""--trace-ascii overrides an earlier trace/verbose option\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_10436.cpp,158,"[""parseconfig_arg"", null, ""parseconfig_arg"", null, null]","[""new_getout_arg""]","[[""config""], [""global""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_781_curl-7.41.0.cpp,158,"warnf(config,
                ""--trace-ascii overrides an earlier trace/verbose option\n"")","[""parseconfig_arg"", null, ""parseconfig_arg"", null, null]","[""new_getout_arg""]",accept-true
120,2,curl-7.41.0_diff_curl-7.42.0,977,"warnf(config, ""--test-event is ignored unless a debug build!\n"");","warnf(global, ""--test-event is ignored unless a debug build!\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_10443.cpp,601,"[""char""]","[""delegation_arg_ret""]","[[""config""], [""global""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_781_curl-7.41.0.cpp,589,"warnf(config, ""--metalink option is ignored because the binary is ""
                ""built without the Metalink support.\n"")","[""char""]","[""delegation_arg_ret""]",accept-true
120,2,curl-7.41.0_diff_curl-7.42.0,977,"warnf(config, ""--test-event is ignored unless a debug build!\n"");","warnf(global, ""--test-event is ignored unless a debug build!\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_10443.cpp,601,"[""char""]","[""delegation_arg_ret""]","[[""config""], [""global""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_getparam.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_781_curl-7.41.0.cpp,601,"warnf(config, ""--test-event is ignored unless a debug build!\n"")","[""char""]","[""delegation_arg_ret""]",accept-true
