sha,message,issue,file_name,old_file,new_file,patch_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_log_loc,new_log_loc
0e06d1805d06fab063ee5f39563a6c6ad7510345,"[WIP] Extract prediction into separate interface (#2531)

* [WIP] Extract prediction into separate interface

* Add copyright, fix linter errors

* Add predictor to amalgamation

* Fix documentation

* Move prediction cache into predictor, add GBTreeModel

* Updated predictor doc comments",[u'https://gitlab.kitware.com/cmake/cmake/issues/2531'],src/gbm/gbtree.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_0.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_0.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_0.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_1.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_1.cpp,121,120,[28],[]
2d9052bc7dfc4d40e915820e0bede05c626b588d,"libxgboost4j is now part of the CMake build (#2373)

* [jvm-packages] Added libxgboost4j to CMake build

* [jvm-packages] Wired CMake build into create_jni.sh

* User newer CMake version on Travis

* Lowered CMake version constraints

* Fixed various quirks in the new CMake build",[u'https://gitlab.kitware.com/cmake/cmake/issues/2373'],jvm-packages/xgboost4j/src/native/xgboost4j.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_1.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_1.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_1.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_2.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_2.cpp,103,104,[1],[1]
d45cf240a96836b00dd122d828384b9527cbd185,"Remove xgboost's thread_local and switch to dmlc::ThreadLocalStore (#2121)

* Remove xgboost's own version of thread_local and switch to dmlc::ThreadLocalStore (#2109)

* Update dmlc-core","[u'https://gitlab.kitware.com/cmake/cmake/issues/2121', u'https://gitlab.kitware.com/cmake/cmake/issues/2109']",src/c_api/c_api_error.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_2.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_2.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_2.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_3.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_3.cpp,3,3,[12],[12]
6f16f0ef5829965ba420ef6937617600d286820a,"Use bst_float consistently throughout (#1824)

* Fix various typos

* Add override to functions that are overridden

gcc gives warnings about functions that are being overridden by not
being marked as oveirridden. This fixes it.

* Use bst_float consistently

Use bst_float for all the variables that involve weight,
leaf value, gradient, hessian, gain, loss_chg, predictions,
base_margin, feature values.

In some cases, when due to additions and so on the value can
take a larger value, double is used.

This ensures that type conversions are minimal and reduces loss of
precision.",[u'https://gitlab.kitware.com/cmake/cmake/issues/1824'],include/xgboost/c_api.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_3.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_3.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_3.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_4.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_4.cpp,86,87,[9],[9]
6f16f0ef5829965ba420ef6937617600d286820a,"Use bst_float consistently throughout (#1824)

* Fix various typos

* Add override to functions that are overridden

gcc gives warnings about functions that are being overridden by not
being marked as oveirridden. This fixes it.

* Use bst_float consistently

Use bst_float for all the variables that involve weight,
leaf value, gradient, hessian, gain, loss_chg, predictions,
base_margin, feature values.

In some cases, when due to additions and so on the value can
take a larger value, double is used.

This ensures that type conversions are minimal and reduces loss of
precision.",[u'https://gitlab.kitware.com/cmake/cmake/issues/1824'],src/c_api/c_api_error.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_4.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_4.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_4.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_5.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_5.cpp,28,28,[1],[1]
24e3c5773ec1bde76d4ff879d284d7e94df84a45,Merge branch 'master' into seed_in_configure,[],src/metric/elementwise_metric.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_5.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_5.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_5.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_6.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_6.cpp,99,99,[],[3]
24e3c5773ec1bde76d4ff879d284d7e94df84a45,Merge branch 'master' into seed_in_configure,[],src/metric/elementwise_metric.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_5.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_5.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_5.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_7.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_7.cpp,133,149,[3],[3]
5d7a69663b6ca9e4c2fd20ef9ffa16e89de62bde,"Merge pull request #1145 from khotilov/error_at_threshold

ability to specify threshold for the error metric",[u'https://gitlab.kitware.com/cmake/cmake/issues/1145'],src/metric/elementwise_metric.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_6.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_6.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_6.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_8.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_8.cpp,99,99,[],[3]
5d7a69663b6ca9e4c2fd20ef9ffa16e89de62bde,"Merge pull request #1145 from khotilov/error_at_threshold

ability to specify threshold for the error metric",[u'https://gitlab.kitware.com/cmake/cmake/issues/1145'],src/metric/elementwise_metric.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_6.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_6.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_6.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_9.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_9.cpp,133,149,[3],[3]
1160d0bf25661ca1bc4951368347a7fd4bcf7afa,ability to specify threshold for the error metric,[],src/metric/elementwise_metric.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_7.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_7.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_7.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_10.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_10.cpp,99,99,[],[3]
