class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit
1376,2,git-2.0.5_diff_git-2.1.0,1356,"status_printf_ln(s, color(WT_STATUS_HEADER, s), """");","status_printf_ln(s, color(WT_STATUS_HEADER, s), ""%s"", """");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_197.cpp,48,"[""wt_status_print_state_arg_ret"", null]","[""color_ret"", ""color_arg_ret""]","[[], [""%s""]]"
1377,2,git-2.10.0_diff_git-2.10.1,1233,"fprintf(ecbdata->opt->file, ""%s%s+++ %s%s%s\n"",
			line_prefix, meta, ecbdata->label_path[1], reset, name_b_tab);","fprintf(o->file, ""%s%s+++ %s%s%s\n"",
			line_prefix, meta, ecbdata->label_path[1], reset, name_b_tab);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_205.cpp,24,"[""diff_words_flush_arg"", null]","[""diff_words_flush_arg"", null, null, ""diff_line_prefix_ret"", ""diff_get_color_ret"", ""diff_words_flush_arg"", null, ""diff_get_color_ret"", ""strchr_ret""]","[[""opt"", ""ecbdata""], [""o""]]"
1378,2,git-2.10.5_diff_git-2.11.0,2033,"error(_(""Could not parse object '%s'.""), sha1_to_hex(remote));","error(_(""Could not parse object '%s'.""), oid_to_hex(remote));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_227.cpp,11,"[""parse_tree_indirect_ret""]","[""sha1_to_hex_ret""]","[[""sha1_to_hex""], [""oid_to_hex""]]"
1487,6,git-2.10.5_diff_git-2.11.0,499,"error(_(""Could not read object %s""), sha1_to_hex(sha1));","error(_(""Could not read object %s""), oid_to_hex(oid));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_404.cpp,8,"[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]","[[""sha1_to_hex"", ""sha1""], [""oid_to_hex"", ""oid""]]"
1383,2,git-2.10.5_diff_git-2.11.0,67,"die(""Could not resolve ref '%s'"", o.branch2);","die(_(""could not resolve ref '%s'""), o.branch2);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_416.cpp,46,"[""get_oid_ret""]","[""parse_merge_opt_arg_ret"", null]","[[""Could""], [""_"", ""could""]]"
1384,2,git-2.10.5_diff_git-2.11.0,306,"die(_(""Failed to resolve '%s' as a valid ref.""), split[1]->buf);","die(_(""failed to resolve '%s' as a valid ref.""), split[1]->buf);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_425.cpp,30,"[""get_sha1_ret""]","[""strbuf_split_ret"", ""strbuf_split_arg_ret""]","[[""Failed""], [""failed""]]"
1481,5,git-2.10.5_diff_git-2.11.0,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_430.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[""Failed""], [""failed""]]"
1385,2,git-2.10.5_diff_git-2.11.0,510,"die(_(""Failed to resolve '%s' as a valid ref.""), argv[0]);","die(_(""failed to resolve '%s' as a valid ref.""), argv[0]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_431.cpp,39,"[""get_sha1_ret""]","[""parse_options_arg_ret""]","[[""Failed""], [""failed""]]"
1386,3,git-2.10.5_diff_git-2.11.0,534,"error(_(""Missing notes on source object %s. Cannot ""
			       ""copy.""), sha1_to_hex(from_obj));","error(_(""missing notes on source object %s. Cannot ""
			       ""copy.""), sha1_to_hex(from_obj));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_433.cpp,63,"[""get_note_ret""]","[""sha1_to_hex_ret""]","[[""Missing""], [""missing""]]"
1387,2,git-2.10.5_diff_git-2.11.0,684,"error(""Failed to delete ref NOTES_MERGE_REF"");","error(_(""failed to delete ref NOTES_MERGE_REF""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_438.cpp,12,"[""delete_ref_ret""]",[],"[[""Failed""], [""_"", ""failed""]]"
1381,2,git-2.10.5_diff_git-2.11.0,-1,,"die(_(""pack exceeds maximum allowed size""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_477.cpp,12,"[null, null, null]",[],"[[], [""die"", ""_"", ""pack"", ""exceeds"", ""maximum"", ""allowed"", ""size""]]"
1389,2,git-2.10.5_diff_git-2.11.0,1129,"warning(""core.untrackedCache is set to false; ""
				""remove or change it, if you really want to ""
				""enable the untracked cache"");","warning(_(""core.untrackedCache is set to false; ""
				  ""remove or change it, if you really want to ""
				  ""enable the untracked cache""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_479.cpp,229,"[""git_config_get_untracked_cache_ret""]",[],"[[], [""_""]]"
1390,2,git-2.10.5_diff_git-2.11.0,1207,"printf("" %s "", diff_unique_abbrev(p->oid.hash, opt->abbrev));","printf("" %s "", diff_aligned_abbrev(&p->oid, opt->abbrev));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_484.cpp,31,"[""diff_line_prefix_arg_ret"", null, null]","[""diff_unique_abbrev_ret""]","[[""diff_unique_abbrev"", ""p"", ""hash""], [""diff_aligned_abbrev"", ""&p""]]"
1482,4,git-2.10.5_diff_git-2.11.0,50,"die(""Could not read from remote repository.\n\n""
		    ""Please make sure you have the correct access rights\n""
		    ""and the repository exists."");","die(_(""Could not read from remote repository.\n\n""
		      ""Please make sure you have the correct access rights\n""
		      ""and the repository exists.""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_487.cpp,5,"[""int""]",[],"[[], [""_""]]"
1391,2,git-2.10.5_diff_git-2.11.0,207,"warning(""LF will be replaced by CRLF in %s.\nThe file will have its original line endings in your working directory."", path);","warning(_(""LF will be replaced by CRLF in %s.\n""
				  ""The file will have its original line""
				  "" endings in your working directory.""), path);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_498.cpp,17,"["" enum safe_crlf"", null]","[""char""]","[[""\\nThe""], [""_"", ""\\n"", ""The""]]"
1392,2,git-2.10.5_diff_git-2.11.0,209,"die(""LF would be replaced by CRLF in %s"", path);","die(_(""LF would be replaced by CRLF in %s""), path);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_499.cpp,19,"["" enum safe_crlf"", null]","[""char""]","[[], [""_""]]"
1483,4,git-2.10.5_diff_git-2.11.0,3519,"die(""Option '--stat-name-width' requires a value"");","die_want_option(""--stat-name-width"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_519.cpp,29,"[""strtoul_arg_ret"", ""char""]",[],"[[""die"", ""Option"", ""requires"", ""a"", ""value""], [""die_want_option""]]"
1484,4,git-2.10.5_diff_git-2.11.0,4628,warning(rename_limit_warning);,warning(_(rename_limit_warning));,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_526.cpp,5,"[""int""]",[null],"[[], [""_""]]"
