patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,function,function_loc,edit_types,edit_words,edit_feature,check,variable,ddg_codes,ddg_locs,cluster
git-2.0.0_diff_git-2.0.1,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.0/builtin/commit.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.1/builtin/commit.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_patch_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_hunk_2.cpp,7,-647,653,-1,"die(_(""commit has empty message""));",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_log_0.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_log_0.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_0.cpp,57,"[""removeLog""]","[[""die"", ""_"", ""commit"", ""has"", ""empty"", ""message""], []]",[11140150214877748013],"[""run_commit_hook_arg"", ""strstr_ret"", ""strstr_ret""]",[],set([]),"set([5, 229])",0
git-2.0.0_diff_git-2.0.1,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.0/builtin/index-pack.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.1/builtin/index-pack.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_patch_hunk_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_hunk_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_hunk_6.cpp,7,10,203,213,"die(_(""object of unexpected type""));","die(_(""object %s: expected type %s, found %s""),
			    sha1_to_hex(obj->sha1),
			    typename(obj->type), typename(type));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_log_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_log_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_6.cpp,12,"[""updateContent"", ""addVariable""]","[[""of"", ""unexpected""], [""%s"", ""expected"", ""%s"", ""found"", ""%s"", ""sha1_to_hex"", ""obj"", ""sha1"", ""typename"", ""obj"", ""type"", ""typename"", ""type""]]",[33915738070528176596],"[""sha1_object_info_ret"", "" struct object"", ""sha1_object_info_ret"", ""sha1_object_info_ret""]",[],set([]),set([]),1
git-2.0.0_diff_git-2.0.1,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.0/builtin/index-pack.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.1/builtin/index-pack.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_patch_hunk_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_hunk_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_hunk_6.cpp,-197,7,-1,210,,"die(_(""did not receive expected object %s""),
			      sha1_to_hex(obj->sha1));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_log_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_log_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_7.cpp,12,"[""addLog""]","[[], [""die"", ""_"", ""did"", ""not"", ""receive"", ""expected"", ""object"", ""%s"", ""sha1_to_hex"", ""obj"", ""sha1""]]",[4361632527989453959],"[""sha1_object_info_ret""]","[""sha1_to_hex_ret""]",set([]),set([5]),2
git-2.0.1_diff_git-2.0.2,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.1/pretty.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.2/pretty.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_patch_hunk_39.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_hunk_39.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_hunk_39.cpp,22,13,624,615,"die(""Cannot read commit object %s"",
			    sha1_to_hex(commit->object.sha1));","get_commit_buffer(commit, NULL);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_log_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_log_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_15.cpp,16,"[""updateLog"", ""removeVariable"", ""removeContent"", ""addVariable""]","[[""die"", ""Cannot"", ""read"", ""object"", ""%s"", ""sha1_to_hex"", ""commit"", ""object"", ""sha1""], [""get_commit_buffer"", ""NULL""]]",[19895835160448252999],"[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]",set([]),set([]),3
git-2.0.3_diff_git-2.0.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.3/blob.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.4/blob.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_patch_hunk_48.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_hunk_48.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_hunk_48.cpp,10,7,13,10,"error(""Object %s is a %s, not a blob"",
		      sha1_to_hex(sha1), typename(obj->type));","object_as_type(obj, OBJ_BLOB, 0);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_log_17.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_log_17.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_17.cpp,8,"[""updateVariable"", ""updateLog"", ""removeVariable"", ""addContent"", ""removeContent"", ""addVariable""]","[[""error"", ""Object"", ""%s"", ""is"", ""a"", ""%s"", ""not"", ""a"", ""blob"", ""sha1_to_hex"", ""sha1"", ""typename"", ""type""], [""object_as_type"", ""OBJ_BLOB"", ""0""]]",[-14929104751250907892],"[""lookup_object_ret"", null, null]","[""sha1_to_hex_ret"", ""lookup_object_ret"", null]",set([]),set([]),4
git-2.0.3_diff_git-2.0.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.3/object.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.4/object.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_patch_hunk_51.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_hunk_51.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_hunk_51.cpp,-138,35,-1,172,,"error(""object %s is a %s, not a %s"",
			      sha1_to_hex(obj->sha1),
			      typename(obj->type), typename(type));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_log_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_log_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_19.cpp,12,"[""addLog""]","[[], [""error"", ""object"", ""%s"", ""is"", ""a"", ""%s"", ""not"", ""a"", ""%s"", ""sha1_to_hex"", ""obj"", ""sha1"", ""typename"", ""obj"", ""type"", ""typename"", ""type""]]",[20516259860353638003],"[""int""]","[""sha1_to_hex_ret"", "" struct object"", "" enum object_type"", "" enum object_type""]",set([]),set([23]),5
git-2.0.3_diff_git-2.0.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.3/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.4/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_patch_hunk_53.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_hunk_53.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_hunk_53.cpp,10,7,46,43,"error(""Object %s is a %s, not a tag"",
		      sha1_to_hex(sha1), typename(obj->type));","object_as_type(obj, OBJ_TAG, 0);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_log_20.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_log_20.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_20.cpp,8,"[""updateVariable"", ""updateLog"", ""removeVariable"", ""addContent"", ""removeContent"", ""addVariable""]","[[""error"", ""Object"", ""%s"", ""is"", ""a"", ""%s"", ""not"", ""a"", ""tag"", ""sha1_to_hex"", ""sha1"", ""typename"", ""type""], [""object_as_type"", ""OBJ_TAG"", ""0""]]",[-14181359805067725812],"[""lookup_object_ret"", null, null]","[""sha1_to_hex_ret"", ""lookup_object_ret"", null]",set([]),set([]),6
git-2.0.3_diff_git-2.0.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.3/tree.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.4/tree.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_patch_hunk_54.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_hunk_54.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_hunk_54.cpp,10,7,189,186,"error(""Object %s is a %s, not a tree"",
		      sha1_to_hex(sha1), typename(obj->type));","object_as_type(obj, OBJ_TREE, 0);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_log_21.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_log_21.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_21.cpp,8,"[""updateVariable"", ""updateLog"", ""removeVariable"", ""addContent"", ""removeContent"", ""addVariable""]","[[""error"", ""Object"", ""%s"", ""is"", ""a"", ""%s"", ""not"", ""a"", ""tree"", ""sha1_to_hex"", ""sha1"", ""typename"", ""type""], [""object_as_type"", ""OBJ_TREE"", ""0""]]",[-15477512731404073564],"[""lookup_object_ret"", null, null]","[""sha1_to_hex_ret"", ""lookup_object_ret"", null]",set([]),set([]),7
git-2.0.5_diff_git-2.1.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.5/builtin/blame.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.1.0/builtin/blame.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_patch_hunk_64.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_hunk_64.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_hunk_64.cpp,-173,21,-1,227,,"die(""internal error in blame::origin_decref"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_log_23.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_log_23.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_23.cpp,18,"[""addLog""]","[[], [""die"", ""internal"", ""error"", ""in"", ""blame"", ""origin_decref""]]",[3277600847522880181],"[""free_arg"", ""free_arg"", null]",[],set([]),set([17]),8
git-2.0.5_diff_git-2.1.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.0.5/builtin/blame.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.1.0/builtin/blame.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_patch_hunk_66.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_hunk_66.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_hunk_66.cpp,-699,142,-1,943,,"die(""internal error in blame::blame_chunk_cb"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_old_log_26.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_new_log_26.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_26.cpp,5,"[""addLog""]","[[], [""die"", ""internal"", ""error"", ""in"", ""blame"", ""blame_chunk_cb""]]",[-14453168386529522163],"[""blame_chunk_arg"", ""blame_chunk_arg"", "" struct blame_chunk_cb_data"", null]",[],set([]),"set([140, 143])",9
