file,function,calls,types
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_0.cpp,"[""parse_object"", ""strlen"", ""error""]","[""char"", ""int"", "" struct object""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_1.cpp,"[""parse_object""]","["" struct object""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_2.cpp,"[""object_as_type"", ""alloc_tag_node"", ""lookup_object"", ""create_object""]","["" struct tag"", ""unsigned"", "" struct object""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_3.cpp,"[""strtoul""]","[""char"", ""unsigned""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_4.cpp,"[""error"", ""parse_tag_date"", ""lookup_tree"", ""lookup_blob"", ""lookup_tag"", ""lookup_commit"", ""starts_with"", ""xmemdupz"", ""get_sha1_hex"", ""memchr"", ""memcmp"", ""strcmp"", ""strncpy""]","[""int"", "" struct tag"", ""void"", ""char"", ""unsigned""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_5.cpp,"[""sha1_to_hex"", ""parse_tag_buffer"", ""error"", ""free"", ""read_sha1_file""]","[""int"", "" struct tag"", "" enum object_type"", ""void"", ""unsigned""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_6.cpp,"[""check_refname_format"", ""starts_with"", ""skip_prefix""]","[""int"", ""char"", ""unsigned""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_7.cpp,"[""check_ref""]","[""int"", "" struct ref""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_8.cpp,"[""die""]","[""int"", ""void""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_9.cpp,"[""xmemdupz"", ""strchr"", ""string_list_append"", ""free"", ""check_refname_format""]","[""char"", ""int"", ""void"", "" struct string_list"", "" struct string_list_item""]"
