file,function,calls,types
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.11.2/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_0_git-2.11.2.cpp,"[""check_signature"", ""print_signature_buffer"", ""write_in_full"", ""memset"", ""parse_signature"", ""signature_check_clear"", ""error""]","[""int"", ""unsigned"", ""char"", ""unsigned long"", ""size_t"", "" struct signature_check""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.11.2/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_1_git-2.11.2.cpp,"[""run_gpg_verify"", ""sha1_object_info"", ""error"", ""find_unique_abbrev"", ""free"", ""read_sha1_file""]","[""int"", ""unsigned char"", ""unsigned"", ""char"", "" enum object_type"", ""unsigned long""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.11.2/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_2_git-2.11.2.cpp,"[""parse_object"", ""strlen"", ""error""]","[""char"", ""int"", "" struct object""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.11.2/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_3_git-2.11.2.cpp,"[""parse_object""]","["" struct object""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.11.2/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_4_git-2.11.2.cpp,"[""object_as_type"", ""alloc_tag_node"", ""lookup_object"", ""create_object""]","["" struct tag"", ""unsigned char"", "" struct object""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.11.2/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_5_git-2.11.2.cpp,"[""strtoul""]","[""char"", ""unsigned long""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.11.2/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_6_git-2.11.2.cpp,"[""error"", ""parse_tag_date"", ""lookup_tree"", ""lookup_blob"", ""lookup_tag"", ""lookup_commit"", ""memcpy"", ""xmemdupz"", ""get_sha1_hex"", ""memcmp"", ""starts_with"", ""strcmp"", ""memchr""]","[""int"", ""void"", ""char"", "" struct tag"", ""unsigned long"", ""unsigned char""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.11.2/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_7_git-2.11.2.cpp,"[""oid_to_hex"", ""parse_tag_buffer"", ""error"", ""free"", ""read_sha1_file""]","[""int"", "" struct tag"", "" enum object_type"", ""unsigned long"", ""void""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.11.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_8_git-2.11.2.cpp,"[""check_refname_format"", ""starts_with"", ""skip_prefix""]","[""int"", ""char"", ""unsigned int""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.11.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_9_git-2.11.2.cpp,"[""check_ref""]","[""int"", "" struct ref""]"
