class,check,variable
0,"[""parse_object_ret"", ""strlen_arg""]","[""strlen_ret"", ""strlen_arg_ret""]"
3057,"[""strcmp_ret""]",[null]
3094,"[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]"
3033,"[""read_sha1_file_arg_ret"", null]","[""sha1_to_hex_ret""]"
3101,"[""int""]",[]
1,"[""skip_prefix_ret"", ""packet_read_ret""]","[""skip_prefix_arg_ret""]"
2990,"[""get_sha1_hex_ret""]","[""get_sha1_hex_arg_ret""]"
2,"[""sha1_array_append_arg""]",[]
3,"[""get_sha1_hex_ret"", ""packet_read_ret"", ""get_sha1_hex_arg_ret""]","[""get_sha1_hex_arg_ret""]"
4,"[""setsockopt_ret""]","[""strerror_ret"", null]"
2550,"[""int"", null]","[null, ""get_host_and_port_arg_ret""]"
5,"[""getaddrinfo_ret""]","[""gai_strerror_ret"", ""getaddrinfo_arg_ret"", ""get_host_and_port_arg_ret""]"
6,"[""int"", null]","[null, ""getaddrinfo_arg_ret"", ""get_host_and_port_arg_ret""]"
7,"[""int"", null]","[""ai_name_ret"", null]"
2551,"[""socket_ret""]","[""strbuf_addf_arg_ret"", ""strbuf_addf_arg_ret"", null]"
2552,"[""int"", null]",[null]
8,"[""gethostbyname_ret""]","[""hstrerror_ret"", ""gethostbyname_arg_ret""]"
9,"[""getservbyname_ret""]","[""get_host_and_port_arg_ret""]"
10,"[""int"", null]","[null, ""gethostbyname_arg_ret"", ""get_host_and_port_arg_ret""]"
11,"[""int"", null]","[""inet_ntoa_ret"", null]"
2748,"[""start_command_ret""]",[null]
2553,"[""strchr_ret"", ""strchr_ret""]",[]
2554,"[""git_tcp_connect_arg"", null, ""parse_connect_url_ret"", null]","[""parse_connect_url_arg_ret"", ""parse_connect_url_arg_ret""]"
12,"[""git_tcp_connect_arg"", null, ""parse_connect_url_ret"", null]","[""prot_name_ret""]"
13,"[""parse_connect_url_ret"", null]","[null, ""strbuf_addstr_arg"", ""parse_connect_url_arg_ret"", ""xstrdup_ret""]"
14,"[""int"", null]","[""parse_connect_url_arg_ret"", ""parse_connect_url_arg_ret""]"
15,"[""int"", null]","[""prot_name_ret""]"
16,"[""int"", null]","[""get_port_arg_ret"", ""get_port_arg_ret""]"
17,"[""int"", null]","[""get_port_ret"", ""get_port_ret""]"
18,"[""int"", null]","[""sq_quote_buf_arg_ret"", ""sq_quote_buf_arg_ret""]"
3091,"[""start_command_ret""]",[]
3097,"[""open_ret""]","[""open_arg_ret""]"
19,"[""hashcmp_ret"", ""need_large_offset_arg_ret"", null, null, ""int""]","[""sha1_to_hex_ret""]"
2555,"[""lseek_ret""]","[""fsync_or_die_arg""]"
20,"[""read_in_full_ret"", ""read_in_full_arg_ret""]","[""fsync_or_die_arg""]"
21,"[""xread_ret""]","[""fsync_or_die_arg""]"
22,"[""hashcmp_ret""]","[""fsync_or_die_arg""]"
23,"["" enum object_type"", null, "" enum object_type"", null]","["" enum object_type""]"
2661,"[""adjust_shared_perm_ret""]",[]
2556,"[""rename_ret""]",[]
24,"[""pretty_print_cmdnames_arg"", null]","[""git_exec_path_ret""]"
25,"[""pretty_print_cmdnames_arg"", null]",[]
26,"[null, ""int"", null, ""int""]",[]
27,"[null, ""int"", null, ""int""]","[null, ""int"", ""strlen_arg""]"
2557,"[""strcmp_ret""]","[""strcmp_arg_ret"", ""strcmp_arg_ret""]"
28,"[""uniq_arg_ret"", null]",[]
29,"[""SIMILAR_ENOUGH_ret"", ""sleep_millisec_arg"", ""Q__arg""]","[null, ""levenshtein_arg_ret"", ""char""]"
30,"[""sleep_millisec_arg""]","[null, null, ""sleep_millisec_arg""]"
31,"[""sleep_millisec_arg""]","[null, ""levenshtein_arg_ret""]"
32,"[""SIMILAR_ENOUGH_ret""]","[""Q__ret"", null]"
33,"[""SIMILAR_ENOUGH_ret""]","[null, ""clean_cmdnames_arg_ret"", null, ""int"", null]"
34,"[""guess_refs_ret"", null]","[""Q__ret"", null]"
35,"[""guess_refs_ret"", null]","[null, ""guess_refs_ret"", null, ""int"", null]"
36,"[""find_commit_format_recursive_arg"", null]","[""find_commit_format_recursive_arg""]"
37,"[""find_commit_format_ret""]","[""find_commit_format_arg_ret""]"
38,"[""color_parse_mem_ret""]",[]
39,"[""get_one_line_ret""]",[]
40,"[""pack_revindex_ix_ret""]",[]
41,"[""int"", ""int"", null]","[""int""]"
2558,"[""strerror_arg"", null, ""strerror_arg"", null]","[""strerror_ret""]"
42,"[""close_ret""]","[""strerror_ret""]"
43,"["" struct commit_graft"", null]","[""oid_to_hex_ret"", ""FILE""]"
