class,class_size,check,variable
0,1,"[""check_signature_arg"", ""parse_signature_ret""]",[]
1,1,"[""sha1_object_info_ret"", null]","[""find_unique_abbrev_ret"", ""char"", ""char"", ""sha1_object_info_ret""]"
2,1,"[""read_sha1_file_ret""]","[""find_unique_abbrev_ret"", ""char"", ""char""]"
3,1,"[""parse_object_ret"", ""strlen_arg""]","[""strlen_ret"", ""strlen_arg_ret""]"
3190,6,"[""strcmp_ret""]",[null]
3236,15,"[""read_sha1_file_ret""]","[""oid_to_hex_ret""]"
3140,5,"[""read_sha1_file_arg_ret"", null]","[""oid_to_hex_ret""]"
3248,52,"[""int""]",[]
4,1,"[""skip_prefix_ret"", ""packet_read_ret""]","[""skip_prefix_arg_ret""]"
3203,6,"[""get_oid_hex_ret""]","[""get_oid_hex_arg_ret""]"
5,1,"[""oid_array_append_arg""]",[]
6,1,"[""get_oid_hex_ret"", ""packet_read_ret"", ""alloc_ref_arg"", ""get_oid_hex_arg_ret"", ""alloc_ref_arg""]","[""get_oid_hex_arg_ret""]"
7,1,"[""setsockopt_ret""]","[""strerror_ret"", null]"
2669,2,"[""int"", null]","[null, ""get_host_and_port_arg_ret""]"
8,1,"[""getaddrinfo_ret""]","[""gai_strerror_ret"", ""getaddrinfo_arg_ret"", ""getaddrinfo_arg_ret""]"
9,1,"[""int"", null]","[null, ""getaddrinfo_arg_ret"", ""getaddrinfo_arg_ret""]"
10,1,"[""int"", null]","[""ai_name_ret"", null]"
2670,2,"[""socket_ret""]","[""strbuf_addf_arg_ret"", ""strbuf_addf_arg_ret"", null]"
3189,6,"[""int"", null]",[null]
11,1,"[""gethostbyname_ret""]","[""hstrerror_ret"", ""gethostbyname_arg_ret""]"
12,1,"[""getservbyname_ret""]","[""getservbyname_arg_ret""]"
13,1,"[""int"", null]","[null, ""gethostbyname_arg_ret"", ""getservbyname_arg_ret""]"
14,1,"[""int"", null]","[""inet_ntoa_ret"", null]"
3130,4,"[""looks_like_command_line_option_ret""]","[""looks_like_command_line_option_arg_ret""]"
2895,3,"[""start_command_ret""]",[null]
2671,2,"[""strchr_ret"", ""strchr_ret""]",[]
2672,3,"[""git_tcp_connect_arg"", null, ""parse_connect_url_ret"", null]","[""parse_connect_url_arg_ret"", ""parse_connect_url_arg_ret""]"
15,1,"[""git_tcp_connect_arg"", null, ""parse_connect_url_ret"", null]","[""prot_name_ret""]"
16,1,"[""int"", null]","[""parse_connect_url_arg_ret"", ""parse_connect_url_arg_ret""]"
17,1,"[""int"", null]","[""prot_name_ret""]"
18,1,"[""int"", null]","[""get_port_arg_ret"", ""get_port_arg_ret""]"
19,1,"[""int"", null]","[""get_port_ret"", ""get_port_ret""]"
20,1,"[""int"", null]","[""sq_quote_buf_arg_ret"", ""sq_quote_buf_arg_ret""]"
3235,14,"[""start_command_ret""]",[]
3237,17,"[""open_ret""]","[""open_arg_ret""]"
21,1,"[""oidcmp_ret"", ""need_large_offset_arg_ret"", null, null, ""int""]","[""oid_to_hex_ret""]"
2673,2,"[""lseek_ret""]","[""fsync_or_die_arg""]"
22,1,"[""read_in_full_ret"", ""read_in_full_arg_ret""]","[""fsync_or_die_arg""]"
23,1,"[""xread_ret""]","[""fsync_or_die_arg""]"
24,1,"[""hashcmp_ret""]","[""fsync_or_die_arg""]"
25,1,"["" enum object_type"", null, "" enum object_type"", null]","["" enum object_type""]"
3217,8,"[""int"", ""int""]",[]
2806,3,"[""adjust_shared_perm_ret""]",[]
2674,2,"[""rename_ret""]",[]
26,1,"[""pretty_print_cmdnames_arg"", null]","[""git_exec_path_ret""]"
27,1,"[""pretty_print_cmdnames_arg"", null]",[]
28,1,"[null, ""int"", null, ""int""]",[]
29,1,"[null, ""int"", null, ""int""]","[null, ""int"", ""strlen_arg""]"
2675,2,"[""strcmp_ret""]","[""strcmp_arg_ret"", ""strcmp_arg_ret""]"
30,1,"[""uniq_arg_ret"", null]",[]
31,1,"[""SIMILAR_ENOUGH_ret"", ""sleep_millisec_arg"", ""Q__arg""]","[null, ""levenshtein_arg_ret""]"
32,1,"[""sleep_millisec_arg""]","[null, ""char""]"
33,1,"[""sleep_millisec_arg""]","[null, null, ""sleep_millisec_arg"", ""char""]"
34,1,"[""sleep_millisec_arg""]","[null, ""levenshtein_arg_ret""]"
35,1,"[""SIMILAR_ENOUGH_ret""]","[""Q__ret"", null]"
36,1,"[""SIMILAR_ENOUGH_ret""]","[null, ""clean_cmdnames_arg_ret"", null, ""int"", null]"
37,1,"[""OPT_BOOL_arg_ret""]","[null, null]"
38,1,"[""guess_refs_ret"", null]","[""Q__ret"", null]"
39,1,"[""guess_refs_ret"", null]","[null, ""guess_refs_ret"", null, ""int"", null]"
40,1,"[""find_commit_format_recursive_arg"", null]","[""find_commit_format_recursive_arg""]"
41,1,"[""find_commit_format_ret""]","[""find_commit_format_arg_ret""]"
42,1,"[""color_parse_mem_ret""]",[]
43,1,"[""get_one_line_ret""]",[]
44,1,"[""int"", ""int"", null]","[""int""]"
45,1,"["" struct commit_graft"", null]","[""oid_to_hex_ret"", ""FILE""]"
2677,3,"[""start_command_ret""]","[""oid_to_hex_ret"", ""for_each_commit_graft_arg_ret""]"
2676,2,"[""start_command_ret""]","[""for_each_commit_graft_arg_ret""]"
3218,8,"[""finish_command_ret""]",[]
3238,17,"[""int""]",[null]
3146,5,"[""parse_object_ret""]","[""oid_to_hex_ret""]"
46,1,"[""is_our_ref_ret""]","[""oid_to_hex_ret""]"
2939,3,"[""get_oid_hex_ret""]","[""skip_prefix_arg_ret""]"
47,1,"[""parse_object_ret"", null, null]","[""oid_to_hex_ret""]"
48,1,"[""strtol_arg_ret"", ""strtol_arg_ret"", ""strtol_ret""]","[""skip_prefix_arg_ret""]"
49,1,"[""parse_timestamp_arg_ret"", ""parse_timestamp_arg_ret"", ""parse_timestamp_ret"", ""parse_timestamp_ret""]","[""skip_prefix_arg_ret""]"
50,1,"[""expand_ref_ret"", ""strlen_ret""]","[""skip_prefix_arg_ret""]"
51,1,"[""skip_prefix_ret"", ""get_oid_hex_ret""]","[""skip_prefix_arg_ret""]"
52,1,"[""strtol_ret"", ""int""]",[]
53,1,"[""resolve_ref_unsafe_ret"", ""resolve_ref_unsafe_arg_ret"", null]","[""resolve_ref_unsafe_arg_ret""]"
2678,2,"[""enter_repo_ret""]","[""enter_repo_arg_ret""]"
2679,2,"[""int""]","[""git_config_maybe_bool_arg_ret"", ""strcmp_arg_ret""]"
2680,2,"[""int""]","[""git_config_maybe_bool_arg_ret"", ""git_config_maybe_bool_arg_ret""]"
54,1,"[""strcmp_ret"", ""strcmp_ret"", ""strcmp_ret"", ""strcmp_ret""]","[""strcmp_arg_ret"", ""name_and_item_from_var_arg_ret"", null]"
55,1,"[""parse_submodule_update_strategy_ret""]","[""config_error_nonbool_arg_ret""]"
56,1,"[""xdi_diff_outf_ret""]","[""oid_to_hex_ret""]"
57,1,"[""int""]","[""diff_get_color_ret"", ""diff_get_color_ret"", ""diff_get_color_ret"", ""diff_get_color_ret""]"
58,1,"[""int""]","[""diff_get_color_ret""]"
59,1,"[""int""]","[""char"", ""diff_get_color_ret""]"
60,1,"[""int""]","[""char"", null]"
2681,2,"["" struct sline"", null, ""unsigned long""]","[""diff_get_color_ret"", null]"
61,1,"[""int""]","[""dump_quoted_path_arg_ret"", ""dump_quoted_path_arg_ret"", "" struct combine_diff_path"", null]"
62,1,"[""int""]","[""dump_quoted_path_arg_ret"", ""dump_quoted_path_arg_ret""]"
63,1,"[""int""]","[""int"", "" struct combine_diff_path"", null, ""int"", null]"
64,1,"["" struct combine_diff_path"", null]","["" struct combine_diff_path"", null]"
65,1,"[""int""]","[""dump_quoted_path_arg_ret""]"
66,1,"[""read_in_full_ret""]","[""show_combined_header_arg"", null]"
67,1,"[""read_in_full_ret"", ""xsize_t_ret""]","[""show_combined_header_arg"", null]"
68,1,"[""buffer_is_binary_ret""]",[]
69,1,"[""diff_line_prefix_arg_ret"", null, null]","[""diff_line_prefix_ret""]"
70,1,"[""diff_line_prefix_arg_ret"", null, null]","["" struct combine_diff_path"", null, ""int"", null]"
71,1,"[""diff_line_prefix_arg_ret"", null, null]","["" struct combine_diff_path"", null]"
2682,2,"[""diff_line_prefix_arg_ret"", null, null]","[""diff_aligned_abbrev_ret""]"
72,1,"[""commit_format_is_empty_ret"", ""show_log_arg_ret"", null, ""diff_line_prefix_arg"", null, ""diff_line_prefix_arg"", null, null]","[""diff_line_prefix_ret"", ""diff_line_prefix_arg_ret"", null]"
73,1,"[""int""]","[""diff_line_prefix_ret"", ""diff_line_prefix_arg_ret"", null]"
2905,3,"[""ewah_read_mmap_ret""]",[]
74,1,"["" struct bitmap_index"", null, ""sizeof_arg_ret""]",[]
3131,4,"[""memcmp_ret""]",[]
75,1,"["" struct bitmap_index"", null]","["" struct bitmap_index"", null]"
76,1,"[""ntohs_ret"", null]",[]
77,1,"[""kh_put_sha1_arg_ret""]","[""sha1_to_hex_ret""]"
78,1,"[""read_u8_ret"", null, ""read_u8_ret"", ""uint32_t""]",[]
79,1,"[""store_bitmap_arg"", null]",[]
2811,3,"[""strip_suffix_ret""]",[]
80,1,"[""load_bitmap_header_arg"", null]","[""pack_bitmap_filename_arg_ret"", null]"
3243,29,"[""prepare_revision_walk_ret""]",[]
2683,2,"["" struct tag"", null]",[]
81,1,"[""find_objects_ret"", null]",[]
82,1,"[""find_objects_ret""]",[]
2684,2,"[""bitmap_position_ret""]","[""oid_to_hex_ret""]"
83,1,"[""prepare_bitmap_git_ret""]",[]
84,1,"[""prepare_revision_walk_arg"", null, null]",[]
85,1,"[""prepare_revision_walk_arg"", null, null]","[null, null, null, null, null]"
86,1,"[""kh_end_ret"", ""kh_get_sha1_ret""]","[""oid_to_hex_ret"", ""ewah_checksum_ret"", null, null, ""ewah_checksum_arg_ret"", null]"
87,1,"[""ewah_to_bitmap_ret"", null]","[""oid_to_hex_ret""]"
2685,2,"[""bitmap_equals_ret""]",[null]
3132,4,"[""mkdir_ret""]","[""mkdir_arg_ret""]"
88,1,"[""opendir_ret""]","[""strbuf_addch_arg"", null]"
89,1,"[""lstat_ret""]","[""strbuf_addstr_arg_ret"", null]"
90,1,"[""unlink_ret""]","[""remove_subtree_arg_ret"", null]"
91,1,"[""rmdir_ret""]","[""strbuf_setlen_arg_ret"", null]"
92,1,"["" struct string_list_item"", null]","["" struct string_list_item"", null, "" struct string_list_item"", null]"
93,1,"["" struct string_list_item"", null]","["" struct string_list_item"", null]"
94,1,"[""write_in_full_ret"", ""read_blob_entry_arg_ret""]","[""error_errno_arg_ret""]"
95,1,"[""int""]","[""error_errno_arg_ret""]"
96,1,"[""unsigned int""]","[""mkdir_arg_ret""]"
97,1,"[""lstat_ret""]","[""submodule_from_ce_arg_ret"", null]"
98,1,"[""write_entry_arg_ret"", null]","[null, ""strbuf_add_arg_ret"", null]"
99,1,"[""write_entry_arg_ret"", null]","[""strbuf_add_arg_ret"", null]"
2686,3,"[""fread_ret""]",[]
100,1,"[""ntohl_ret"", ""ntohl_ret""]",[]
101,1,"[""ntohl_ret"", ""ALLOC_ARRAY_arg""]",[]
102,1,"[""fread_ret""]","[""int"", ""ALLOC_ARRAY_arg""]"
103,1,"[""ntohl_ret""]","[""sha1_to_hex_ret"", ""ntohl_ret""]"
2687,3,"[""fread_ret""]","[""int"", ""unsigned""]"
104,1,"[""ntohl_ret"", ""unsigned""]",[]
105,1,"[""fread_ret""]","[""unsigned""]"
106,1,"[""ntohl_ret""]","[""sha1_to_hex_ret"", ""ntohl_ret"", null, null, null, ""ntohl_ret""]"
3176,5,"[""write_in_full_ret""]",[]
2716,3,"[""read_in_full_ret""]",[]
107,1,"[""memcmp_ret"", ""read_in_full_ret""]","[""read_in_full_ret"", null]"
3230,10,"[""strbuf_read_ret""]",[]
3200,7,"[null, null, null, null]",[]
108,1,"[""send_request_ret""]",[]
109,1,"[""get_socket_path_ret""]",[]
110,1,"[""write_notes_tree_ret""]",[]
111,1,"[""parse_commit_ret""]","[""write_notes_tree_arg_ret"", null]"
3133,4,"[""commit_tree_ret""]",[]
112,1,"[""create_notes_commit_arg"", null, ""create_notes_commit_arg"", null, ""create_notes_commit_arg"", null]",[]
113,1,"["" struct notes_rewrite_cfg"", null]","[""parse_combine_notes_fn_arg_ret""]"
114,1,"[""starts_with_ret""]","[""string_list_add_refs_by_glob_arg_ret""]"
