class,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,calls,types
1973,-1,,"die(""%s"", err.buf);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_93.cpp,25,"[""ref_transaction_update_ret""]","[""ref_transaction_update_arg_ret"", null]","[[], [u'die', u'%s', u'err', u'buf']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/walker.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_286.cpp,"[""free"", ""ref_transaction_free"", ""interpret_target"", ""process"", ""xstrfmt"", ""lookup_unknown_object"", ""ref_transaction_begin"", ""commit_list_sort_by_date"", ""strbuf_release"", ""strbuf_addf"", ""strbuf_reset"", ""for_each_ref"", ""ref_transaction_commit"", ""error"", ""ref_transaction_update"", ""xmalloc"", ""loop""]","[""int"", ""unsigned"", ""char"", "" struct ref_transaction"", "" struct walker"", "" struct strbuf""]"
1973,-1,,"die(""%s"", err.buf);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_93.cpp,25,"[""ref_transaction_update_ret""]","[""ref_transaction_update_arg_ret"", null]","[[], [u'die', u'%s', u'err', u'buf']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/fast-import.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_1336.cpp,"[""delete_ref"", ""ref_transaction_free"", ""in_merge_bases"", ""read_ref"", ""ref_transaction_commit"", ""ref_transaction_begin"", ""strbuf_release"", ""sha1_to_hex"", ""warning"", ""ref_transaction_update"", ""error"", ""hashclr"", ""is_null_sha1"", ""lookup_commit_reference_gently""]","[""int"", ""unsigned"", ""char"", "" struct commit"", "" struct ref_transaction"", "" struct strbuf"", "" struct branch""]"
1973,-1,,"die(""%s"", err.buf);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_93.cpp,25,"[""ref_transaction_update_ret""]","[""ref_transaction_update_arg_ret"", null]","[[], [u'die', u'%s', u'err', u'buf']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/fast-import.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_1338.cpp,"[""ref_transaction_free"", ""strbuf_release"", ""ref_transaction_commit"", ""ref_transaction_begin"", ""strbuf_addf"", ""ref_transaction_update"", ""error"", ""strbuf_reset""]","[""char"", "" struct tag"", ""void"", "" struct ref_transaction"", "" struct strbuf""]"
1973,-1,,"die(""%s"", err.buf);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_93.cpp,25,"[""ref_transaction_update_ret""]","[""ref_transaction_update_arg_ret"", null]","[[], [u'die', u'%s', u'err', u'buf']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/branch.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_1428.cpp,"[""free"", ""validate_new_branchname"", ""lookup_commit_reference"", ""snprintf"", ""dwim_ref"", ""die"", ""validate_remote_tracking_branch"", ""ref_transaction_commit"", ""ref_transaction_begin"", ""setup_tracking"", ""strbuf_release"", ""get_sha1"", ""ref_transaction_free"", ""exit"", ""hashcpy"", ""error"", ""ref_transaction_update"", ""advise"", ""strlen"", ""starts_with"", ""_""]","["" enum branch_track"", ""int"", ""void"", ""unsigned"", ""char"", "" struct commit"", "" struct ref_transaction"", "" struct strbuf""]"
1973,-1,,"die(""%s"", err.buf);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_93.cpp,25,"[""ref_transaction_update_ret""]","[""ref_transaction_update_arg_ret"", null]","[[], [u'die', u'%s', u'err', u'buf']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/sequencer.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_2371.cpp,"[""read_cache"", ""ref_transaction_free"", ""checkout_fast_forward"", ""strbuf_release"", ""ref_transaction_commit"", ""ref_transaction_begin"", ""action_name"", ""strbuf_addf"", ""exit"", ""error"", ""ref_transaction_update""]","[""int"", "" struct ref_transaction"", ""unsigned"", "" struct replay_opts"", "" struct strbuf""]"
1973,-1,,"die(""%s"", err.buf);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_93.cpp,25,"[""ref_transaction_update_ret""]","[""ref_transaction_update_arg_ret"", null]","[[], [u'die', u'%s', u'err', u'buf']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/refs.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_2854.cpp,"[""die"", ""ref_transaction_update"", ""is_null_sha1""]","[""int"", ""char"", "" struct ref_transaction"", ""unsigned"", "" struct strbuf""]"
1973,-1,,"die(""%s"", err.buf);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_93.cpp,25,"[""ref_transaction_update_ret""]","[""ref_transaction_update_arg_ret"", null]","[[], [u'die', u'%s', u'err', u'buf']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/refs.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_2855.cpp,"[""die"", ""ref_transaction_update"", ""is_null_sha1""]","[""int"", ""char"", "" struct ref_transaction"", ""unsigned"", "" struct strbuf""]"
1973,-1,,"die(""%s"", err.buf);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_93.cpp,25,"[""ref_transaction_update_ret""]","[""ref_transaction_update_arg_ret"", null]","[[], [u'die', u'%s', u'err', u'buf']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/refs.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_2856.cpp,"[""die"", ""ref_transaction_update""]","[""int"", ""char"", "" struct ref_transaction"", ""unsigned"", "" struct strbuf""]"
1973,-1,,"die(""%s"", err.buf);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_93.cpp,25,"[""ref_transaction_update_ret""]","[""ref_transaction_update_arg_ret"", null]","[[], [u'die', u'%s', u'err', u'buf']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/refs.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_2857.cpp,"[""ref_transaction_free"", ""die"", ""write_pseudoref"", ""ref_transaction_commit"", ""ref_transaction_begin"", ""strbuf_release"", ""ref_transaction_update"", ""error"", ""ref_type""]","[""int"", ""unsigned"", ""char"", "" struct ref_transaction"", "" enum action_on_err"", "" struct strbuf""]"
1973,-1,,"die(""%s"", err.buf);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_93.cpp,25,"[""ref_transaction_update_ret""]","[""ref_transaction_update_arg_ret"", null]","[[], [u'die', u'%s', u'err', u'buf']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/builtin/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_4172.cpp,"[""OPT_BOOL"", ""create_tag"", ""memset"", ""ref_transaction_commit"", ""explicitly_enable_column"", ""column_active"", ""parse_options"", ""read_ref"", ""is_null_sha1"", ""stop_column_filter"", ""die_errno"", ""set_signing_key"", ""OPT_CMDMODE"", ""N_"", ""list_tags"", ""OPT_COLUMN"", ""hashcmp"", ""OPT__FORCE"", ""printf"", ""OPT_STRING"", ""strbuf_read"", ""for_each_tag_name"", ""strbuf_addbuf"", ""git_config"", ""run_column_filter"", ""ref_transaction_update"", ""OPT_CALLBACK"", ""_"", ""strbuf_read_file"", ""find_unique_abbrev"", ""ref_transaction_free"", ""die"", ""strbuf_check_tag_ref"", ""strbuf_release"", ""ref_transaction_begin"", ""OPT_GROUP"", ""strcmp"", ""get_sha1"", ""finalize_colopts"", ""OPT_FILENAME"", ""hashclr"", ""usage_with_options""]","["" struct commit_list"", ""int"", "" struct option"", ""unsigned"", ""char"", "" struct ref_transaction"", "" struct msg_arg"", "" struct strbuf"", "" struct create_tag_options"", "" struct column_options""]"
