class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,calls,types,necessity
1389,2,git-2.14.1_diff_git-2.14.2,-1,,"die(_(""unable to parse format string""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_1444.cpp,23,"[""verify_ref_format_ret""]",[],"[[], [""die"", ""_"", ""unable"", ""to"", ""parse"", ""format"", ""string""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.14.1/builtin/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_4951_git-2.14.1.cpp,"[""ref_array_clear"", ""show_ref_array_item"", ""xstrfmt"", ""memset"", ""free"", ""filter_refs"", ""verify_ref_format"", ""ref_array_sort""]","[""int"", ""char"", "" struct ref_sorting"", "" struct ref_filter"", "" struct ref_array""]",accpept-true
1389,2,git-2.14.1_diff_git-2.14.2,-1,,"die(_(""unable to parse format string""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_1444.cpp,23,"[""verify_ref_format_ret""]",[],"[[], [""die"", ""_"", ""unable"", ""to"", ""parse"", ""format"", ""string""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.14.1/builtin/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_4964_git-2.14.1.cpp,"[""OPT_BOOL"", ""create_tag"", ""OPT_CONTAINS"", ""memset"", ""ref_transaction_commit"", ""explicitly_enable_column"", ""ref_default_sorting"", ""create_reflog_msg"", ""column_active"", ""parse_options"", ""read_ref"", ""OPT_NO_CONTAINS"", ""setup_ref_filter_porcelain_msg"", ""stop_column_filter"", ""OPT_WITHOUT"", ""die_errno"", ""set_signing_key"", ""OPT_CMDMODE"", ""N_"", ""list_tags"", ""OPT_COLUMN"", ""OPT__FORCE"", ""printf"", ""OPT_WITH"", ""OPT_STRING"", ""strbuf_read"", ""for_each_tag_name"", ""strbuf_addbuf"", ""get_oid"", ""git_config"", ""run_column_filter"", ""ref_transaction_free"", ""ref_transaction_update"", ""verify_ref_format"", ""OPT_CALLBACK"", ""_"", ""strbuf_read_file"", ""oidcmp"", ""find_unique_abbrev"", ""oidclr"", ""OPT_MERGED"", ""die"", ""strbuf_check_tag_ref"", ""OPT_NO_MERGED"", ""strbuf_release"", ""ref_transaction_begin"", ""OPT_GROUP"", ""strcmp"", ""is_null_oid"", ""finalize_colopts"", ""OPT_FILENAME"", ""usage_with_options""]","["" struct ref_sorting"", ""int"", "" struct object_id"", "" struct option"", ""char"", "" struct ref_transaction"", "" struct ref_filter"", "" struct msg_arg"", "" struct strbuf"", "" struct create_tag_options"", "" struct column_options""]",accpept-true
1389,2,git-2.14.1_diff_git-2.14.2,-1,,"die(_(""unable to parse format string""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_1444.cpp,23,"[""verify_ref_format_ret""]",[],"[[], [""die"", ""_"", ""unable"", ""to"", ""parse"", ""format"", ""string""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.14.1/builtin/for-each-ref.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_5205_git-2.14.1.cpp,"[""OPT_BOOL"", ""OPT_CONTAINS"", ""memset"", ""ref_default_sorting"", ""parse_options"", ""ref_array_sort"", ""HAS_MULTI_BITS"", ""OPT_NO_CONTAINS"", ""OPT_BIT"", ""filter_refs"", ""OPT_END"", ""N_"", ""OPT_INTEGER"", ""OPT_STRING"", ""git_config"", ""ref_array_clear"", ""verify_ref_format"", ""OPT_CALLBACK"", ""OPT_MERGED"", ""OPT_NO_MERGED"", ""OPT_GROUP"", ""show_ref_array_item"", ""error"", ""usage_with_options""]","["" struct ref_sorting"", ""int"", "" struct option"", "" struct ref_array"", ""char"", "" struct ref_filter""]",accpept-true
1389,2,git-2.14.1_diff_git-2.14.2,-1,,"die(_(""unable to parse format string""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_1444.cpp,23,"[""verify_ref_format_ret""]",[],"[[], [""die"", ""_"", ""unable"", ""to"", ""parse"", ""format"", ""string""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.14.1/builtin/branch.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_5336_git-2.14.1.cpp,"[""assert"", ""string_list_append"", ""putchar"", ""ref_array_clear"", ""format_ref_array_item"", ""memset"", ""strbuf_release"", ""free"", ""filter_refs"", ""calc_maxwidth"", ""build_format"", ""column_active"", ""fwrite"", ""verify_ref_format"", ""ref_array_sort"", ""strlen""]","["" struct ref_sorting"", ""int"", ""void"", "" struct ref_array"", ""char"", "" struct ref_filter"", "" struct strbuf""]",accpept-true
1389,2,git-2.14.1_diff_git-2.14.2,-1,,"die(_(""unable to parse format string""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_1444.cpp,23,"[""verify_ref_format_ret""]",[],"[[], [""die"", ""_"", ""unable"", ""to"", ""parse"", ""format"", ""string""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.14.1/builtin/verify-tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_5717_git-2.14.1.cpp,"[""OPT_STRING"", ""OPT_BIT"", ""N_"", ""pretty_print_ref"", ""git_config"", ""get_sha1"", ""OPT__VERBOSE"", ""gpg_verify_tag"", ""error"", ""parse_options"", ""verify_ref_format"", ""usage_with_options""]","[""int"", ""char"", ""unsigned char"", "" struct option"", ""unsigned""]",accpept-true
1390,2,git-2.1.4_diff_git-2.2.0,-1,,"die(_(""revision walk setup failed""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_1488.cpp,20,"[""prepare_revision_walk_ret""]",[],"[[], [""die"", ""_"", ""revision"", ""walk"", ""setup"", ""failed""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.1.4/pack-bitmap.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_207_git-2.1.4.cpp,"[""object_list_insert"", ""kh_get_sha1"", ""die"", ""bitmap_or_ewah"", ""lookup_stored_bitmap"", ""kh_value"", ""bitmap_get"", ""bitmap_new"", ""traverse_commit_list"", ""bitmap_position"", ""add_pending_object"", ""prepare_revision_walk"", ""kh_end"", ""ewah_to_bitmap""]","["" struct include_data"", "" struct rev_info"", ""int"", "" struct object"", "" struct stored_bitmap"", "" struct object_list"", "" struct bitmap"", ""khiter_t"", "" struct ewah_bitmap""]",accept-false-variable
1390,2,git-2.1.4_diff_git-2.2.0,-1,,"die(_(""revision walk setup failed""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_1488.cpp,20,"[""prepare_revision_walk_ret""]",[],"[[], [""die"", ""_"", ""revision"", ""walk"", ""setup"", ""failed""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.1.4/pack-bitmap.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_218_git-2.1.4.cpp,"[""bitmap_equals"", ""kh_get_sha1"", ""start_progress"", ""die"", ""ewah_checksum"", ""lookup_stored_bitmap"", ""kh_value"", ""sha1_to_hex"", ""prepare_bitmap_git"", ""fprintf"", ""bitmap_popcount"", ""bitmap_new"", ""traverse_commit_list"", ""stop_progress"", ""prepare_revision_walk"", ""kh_end"", ""ewah_to_bitmap""]","["" struct rev_info"", ""void"", "" struct bitmap"", "" struct stored_bitmap"", "" struct object"", ""khiter_t"", ""size_t"", "" struct ewah_bitmap"", "" struct bitmap_test_data""]",accept-false-variable
1390,2,git-2.1.4_diff_git-2.2.0,-1,,"die(_(""revision walk setup failed""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_1488.cpp,20,"[""prepare_revision_walk_ret""]",[],"[[], [""die"", ""_"", ""revision"", ""walk"", ""setup"", ""failed""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.1.4/pack-bitmap-write.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_1446_git-2.1.4.cpp,"[""kh_value"", ""display_progress"", ""kh_init_sha1"", ""stop_progress"", ""start_progress"", ""in_merge_bases"", ""init_revisions"", ""bitmap_free"", ""kh_put_sha1"", ""reset_all_seen"", ""sha1_to_hex"", ""compute_xor_offsets"", ""bitmap_new"", ""bitmap_reset"", ""die"", ""traverse_commit_list"", ""add_pending_object"", ""prepare_revision_walk"", ""reset_revision_walk"", ""bitmap_to_ewah""]","["" struct rev_info"", ""int"", ""double"", ""void"", "" struct bitmap"", "" struct bitmapped_commit"", ""khiter_t"", "" struct packing_data"", "" struct object""]",accept-false-variable
1390,2,git-2.1.4_diff_git-2.2.0,-1,,"die(_(""revision walk setup failed""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_1488.cpp,20,"[""prepare_revision_walk_ret""]",[],"[[], [""die"", ""_"", ""revision"", ""walk"", ""setup"", ""failed""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.1.4/bundle.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_1681_git-2.1.4.cpp,"[""parse_object"", ""setup_revisions"", ""clear_commit_marks_for_object_array"", ""die"", ""init_revisions"", ""free"", ""add_pending_object"", ""sha1_to_hex"", ""list_refs"", ""Q_"", ""error"", ""get_revision"", ""prepare_revision_walk"", ""_"", ""printf_ln""]","["" struct rev_info"", ""int"", "" struct object_array"", "" struct ref_list"", ""char"", "" struct commit"", "" struct object"", "" struct bundle_header"", "" struct ref_list_entry""]",accept-false-variable
1390,2,git-2.1.4_diff_git-2.2.0,-1,,"die(_(""revision walk setup failed""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_1488.cpp,20,"[""prepare_revision_walk_ret""]",[],"[[], [""die"", ""_"", ""revision"", ""walk"", ""setup"", ""failed""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.1.4/sequencer.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_2106_git-2.1.4.cpp,"[""die"", ""prepare_revision_walk"", ""_""]","[""void"", "" struct replay_opts""]",accept-false-variable
