file,function,loc,log,check,variable
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_0_git-2.12.2.cpp,13,"error(""no signature found"")","[""check_signature_arg"", ""parse_signature_ret""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_1_git-2.12.2.cpp,10,"error(""%s: cannot verify a non-tag object of type %s."",
				name_to_report ?
				name_to_report :
				find_unique_abbrev(sha1, DEFAULT_ABBREV),
				typename(type))","[""sha1_object_info_ret"", null]","[""find_unique_abbrev_ret"", ""char"", ""char"", ""sha1_object_info_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_1_git-2.12.2.cpp,18,"error(""%s: unable to read file."",
				name_to_report ?
				name_to_report :
				find_unique_abbrev(sha1, DEFAULT_ABBREV))","[""read_sha1_file_ret""]","[""find_unique_abbrev_ret"", ""char"", ""char""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_2_git-2.12.2.cpp,10,"error(""missing object referenced by '%.*s'"", warnlen, warn)","[""parse_object_ret"", ""strlen_arg""]","[""strlen_ret"", ""strlen_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_6_git-2.12.2.cpp,37,"error(""Unknown type %s"", type)","[""strcmp_ret""]",[null]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_7_git-2.12.2.cpp,11,"error(""Could not read %s"",
			     oid_to_hex(&item->object.oid))","[""read_sha1_file_ret""]","[""oid_to_hex_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_7_git-2.12.2.cpp,15,"error(""Object %s not a tag"",
			     oid_to_hex(&item->object.oid))","["" enum object_type"", null]","[""oid_to_hex_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_10_git-2.12.2.cpp,3,"die(_(""The remote end hung up upon initial contact""))","[""int""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_10_git-2.12.2.cpp,5,"die(_(""Could not read from remote repository.\n\n""
		      ""Please make sure you have the correct access rights\n""
		      ""and the repository exists.""))","[""int""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_13_git-2.12.2.cpp,36,"die(""remote error: %s"", arg)","[""skip_prefix_ret"", ""packet_read_ret""]","[""skip_prefix_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_13_git-2.12.2.cpp,41,"die(""protocol error: expected shallow sha-1, got '%s'"", arg)","[""get_oid_hex_ret""]","[""get_oid_hex_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_13_git-2.12.2.cpp,43,"die(""repository on the other end cannot be shallow"")","[""sha1_array_append_arg""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_13_git-2.12.2.cpp,50,"die(""protocol error: expected sha/ref, got '%s'"", buffer)","[""get_oid_hex_ret"", ""packet_read_ret"", ""alloc_ref_arg"", ""get_oid_hex_arg_ret"", ""alloc_ref_arg""]","[""get_oid_hex_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_13_git-2.12.2.cpp,66,"die(""protocol error: unexpected capabilities^{}"")","[""int""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_13_git-2.12.2.cpp,68,"die(""protocol error: multiple capabilities^{}"")","[""int""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_13_git-2.12.2.cpp,77,"die(""protocol error: unexpected ref after capabilities^{}"")","[""int""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_23_git-2.12.2.cpp,5,"fprintf(stderr, ""unable to set SO_KEEPALIVE on socket: %s\n"",
			strerror(errno))","[""setsockopt_ret""]","[""strerror_ret"", null]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_25_git-2.12.2.cpp,22,"fprintf(stderr, ""Looking up %s ... "", host)","[""int"", null]","[null, ""get_host_and_port_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_25_git-2.12.2.cpp,26,"die(""Unable to look up %s (port %s) (%s)"", host, port, gai_strerror(gai))","[""getaddrinfo_ret""]","[""gai_strerror_ret"", ""getaddrinfo_arg_ret"", ""getaddrinfo_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_25_git-2.12.2.cpp,29,"fprintf(stderr, ""done.\nConnecting to %s (port %s) ... "", host, port)","[""int"", null]","[null, ""getaddrinfo_arg_ret"", ""getaddrinfo_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_25_git-2.12.2.cpp,44,"fprintf(stderr, ""%s "", ai_name(ai))","[""int"", null]","[""ai_name_ret"", null]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_25_git-2.12.2.cpp,51,"die(""unable to connect to %s:\n%s"", host, error_message.buf)","[""socket_ret""]","[""strbuf_addf_arg_ret"", ""strbuf_release_arg"", null]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_25_git-2.12.2.cpp,56,"fprintf(stderr, ""done.\n"")","[""int"", null]",[null]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_26_git-2.12.2.cpp,15,"fprintf(stderr, ""Looking up %s ... "", host)","[""int"", null]","[null, ""get_host_and_port_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_26_git-2.12.2.cpp,19,"die(""Unable to look up %s (%s)"", host, hstrerror(h_errno))","[""gethostbyname_ret""]","[""hstrerror_ret"", ""gethostbyname_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_26_git-2.12.2.cpp,25,"die(""Unknown port %s"", port)","[""getservbyname_ret""]","[""getservbyname_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_26_git-2.12.2.cpp,30,"fprintf(stderr, ""done.\nConnecting to %s (port %s) ... "", host, port)","[""int"", null]","[null, ""gethostbyname_arg_ret"", ""getservbyname_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_26_git-2.12.2.cpp,52,"fprintf(stderr, ""%s "",
				inet_ntoa(*(struct in_addr *)&sa.sin_addr))","[""int"", null]","[""inet_ntoa_ret"", null]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_26_git-2.12.2.cpp,58,"die(""unable to connect to %s:\n%s"", host, error_message.buf)","[""socket_ret""]","[""strbuf_addf_arg_ret"", "" struct strbuf"", null]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_26_git-2.12.2.cpp,63,"fprintf(stderr, ""done.\n"")","[""int"", null]",[null]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_30_git-2.12.2.cpp,15,"die(""cannot start proxy %s"", git_proxy_command)","[""start_command_ret""]",[null]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_32_git-2.12.2.cpp,41,"die(""No path specified. See 'man git-pull' for valid url syntax"")","[""strchr_ret"", ""strchr_ret""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_34_git-2.12.2.cpp,15,"printf(""Diag: url=%s\n"", url ? url : ""NULL"")","[""git_tcp_connect_arg"", null, ""parse_connect_url_ret"", null]","[""parse_connect_url_arg_ret"", ""parse_connect_url_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_34_git-2.12.2.cpp,16,"printf(""Diag: protocol=%s\n"", prot_name(protocol))","[""git_tcp_connect_arg"", null, ""parse_connect_url_ret"", null]","[""prot_name_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_34_git-2.12.2.cpp,17,"printf(""Diag: hostandport=%s\n"", hostandport ? hostandport : ""NULL"")","[""git_tcp_connect_arg"", null, ""parse_connect_url_ret"", null]","[""parse_connect_url_arg_ret"", ""parse_connect_url_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_34_git-2.12.2.cpp,18,"printf(""Diag: path=%s\n"", path ? path : ""NULL"")","[""git_tcp_connect_arg"", null, ""parse_connect_url_ret"", null]","[""parse_connect_url_arg_ret"", ""parse_connect_url_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_34_git-2.12.2.cpp,77,"printf(""Diag: url=%s\n"", url ? url : ""NULL"")","[""int"", null]","[""parse_connect_url_arg_ret"", ""parse_connect_url_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.12.2/connect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_34_git-2.12.2.cpp,78,"printf(""Diag: protocol=%s\n"", prot_name(protocol))","[""int"", null]","[""prot_name_ret""]"
