class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,loc,log,check,variable,necessity
2108,6,git-2.10.5_diff_git-2.11.0,499,"error(_(""Could not read object %s""), sha1_to_hex(sha1));","error(_(""Could not read object %s""), oid_to_hex(oid));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_243.cpp,8,"[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]","[[""sha1_to_hex"", ""sha1""], [""oid_to_hex"", ""oid""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.14.2/match-trees.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_4255_last_repos.cpp,23,"die(""cannot read tree %s"", sha1_to_hex(hash1))","[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]",accept-true
2101,5,git-2.10.5_diff_git-2.11.0,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_269.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[""Failed""], [""failed""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.14.2/config.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_672_last_repos.cpp,7,"error(""unable to resolve config blob '%s'"", name)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",reject
2101,5,git-2.10.5_diff_git-2.11.0,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_269.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[""Failed""], [""failed""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.14.2/remote.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_4498_last_repos.cpp,25,"error(""cannot parse expected object name '%s'"", colon + 1)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",reject
2101,5,git-2.10.5_diff_git-2.11.0,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_269.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[""Failed""], [""failed""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.14.2/builtin/merge-tree.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_5489_last_repos.cpp,6,"die(""unknown rev %s"", rev)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",reject
2101,5,git-2.10.5_diff_git-2.11.0,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_269.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[""Failed""], [""failed""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.14.2/builtin/verify-tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_5733_last_repos.cpp,33,"error(""tag '%s' not found."", name)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",reject
2101,5,git-2.10.5_diff_git-2.11.0,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_269.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[""Failed""], [""failed""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.14.2/builtin/replace.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_6325_last_repos.cpp,15,"error(""Failed to resolve '%s' as a valid ref."", refname)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",accept-true
2101,5,git-2.10.5_diff_git-2.11.0,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_269.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[""Failed""], [""failed""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.14.2/builtin/update-ref.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_6382_last_repos.cpp,61,"die(""%s: not a valid SHA1"", value)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",reject
2101,5,git-2.10.5_diff_git-2.11.0,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_269.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[""Failed""], [""failed""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.14.2/builtin/update-ref.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_6382_last_repos.cpp,72,"die(""%s: not a valid old SHA1"", oldval)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",reject
2101,5,git-2.10.5_diff_git-2.11.0,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_269.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[""Failed""], [""failed""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.14.2/contrib/examples/builtin-fetch--tool.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_7163_last_repos.cpp,13,"error(""Not a valid object name: %s"", head)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",reject
1989,2,git-2.10.5_diff_git-2.11.0,684,"error(""Failed to delete ref NOTES_MERGE_REF"");","error(_(""failed to delete ref NOTES_MERGE_REF""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_277.cpp,12,"[""delete_ref_ret""]",[],"[[""Failed""], [""_"", ""failed""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.14.2/builtin/notes.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_6359_last_repos.cpp,10,"error(_(""failed to delete ref NOTES_MERGE_PARTIAL""))","[""delete_ref_ret""]",[],accept-false
