patch_file,old_file,new_file,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,edit_words,edit_feature,old_check,old_variable,new_check,new_variable,ddg_codes,ddg_locs
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/cache_pqueue.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/cache_pqueue.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_2.cpp,302,270,"fprintf(stdout,""posn\tleft\tright\tparent\tminchild\t...\n"");","fprintf(stdout,""posn\tleft\tright\tparent\tmaxchild\t...\n"");",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_0.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_0.cpp,"[['posn\\tleft\\tright\\tparent\\tminchild\\t'], ['posn\\tleft\\tright\\tparent\\tmaxchild\\t']]",[6269874658103484606],[],[],[],[],set([]),set([])
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/cache_pqueue.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/cache_pqueue.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_2.cpp,304,272,"fprintf(stdout,
                ""%d\t%d\t%d\t%d\t%"" APR_SSIZE_T_FMT ""\t"",
                i,
                left(i), right(i), parent(i),
                minchild(q, i));","fprintf(stdout,
                ""%d\t%d\t%d\t%d\t%"" APR_SSIZE_T_FMT ""\t"",
                i,
                left(i), right(i), parent(i),
                maxchild(q, i));",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_1.cpp,"[['minchild'], ['maxchild']]",[4733479450959545798],[],[],[],[],set([]),set([])
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_4.cpp,198,204,"ap_add_output_filter(""CACHE_IN"", NULL, r, r->connection);","ap_add_output_filter_handle(cache_in_filter_handle, NULL, r,
                                        r->connection);",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_2.cpp,"[['ap_add_output_filter', 'CACHE_IN'], ['ap_add_output_filter_handle', 'cache_in_filter_handle']]",[11363300885648403842L],[],[],[],[],set([]),set([])
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_5.cpp,231,238,"ap_add_output_filter(""CACHE_OUT"", NULL, r, r->connection);","ap_add_output_filter_handle(cache_out_filter_handle, NULL,
                                        r, r->connection);",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_3.cpp,"[['ap_add_output_filter', 'CACHE_OUT'], ['ap_add_output_filter_handle', 'cache_out_filter_handle']]",[4942345111217953198],[],[],[],[],set([]),set([])
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_7.cpp,260,269,"ap_add_output_filter(""CACHE_IN"", NULL, r, r->connection);","ap_add_output_filter_handle(cache_in_filter_handle, NULL,
                                            r, r->connection);",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_4.cpp,"[['ap_add_output_filter', 'CACHE_IN'], ['ap_add_output_filter_handle', 'cache_in_filter_handle']]",[11363300885648403842L],[],[],[],[],set([]),set([])
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_8.cpp,292,302,"ap_add_output_filter(""CACHE_IN"", NULL, r, r->connection);","ap_add_output_filter_handle(cache_in_filter_handle, NULL,
                                                r, r->connection);",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_5.cpp,"[['ap_add_output_filter', 'CACHE_IN'], ['ap_add_output_filter_handle', 'cache_in_filter_handle']]",[11363300885648403842L],[],[],[],[],set([]),set([])
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_8.cpp,301,312,"ap_add_output_filter(""CACHE_CONDITIONAL"", 
                                     NULL, 
                                     r, 
                                     r->connection);","ap_add_output_filter_handle(cache_conditional_filter_handle,
                                            NULL, 
                                            r, 
                                            r->connection);",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_6.cpp,"[['ap_add_output_filter', 'CACHE_CONDITIONAL'], ['ap_add_output_filter_handle', 'cache_conditional_filter_handle']]",[11047502336995712550L],[],[],[],[],set([]),set([])
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_9.cpp,378,389,"ap_add_output_filter(""CACHE_OUT"", NULL, f->r, f->r->connection);","ap_add_output_filter_handle(cache_out_filter_handle, NULL,
                                    f->r, f->r->connection);",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_7.cpp,"[['ap_add_output_filter', 'CACHE_OUT'], ['ap_add_output_filter_handle', 'cache_out_filter_handle']]",[4942345111217953198],[],[],[],[],set([]),set([])
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_9.cpp,382,394,"ap_add_output_filter(""CACHE_IN"", NULL, f->r, f->r->connection);","ap_add_output_filter_handle(cache_in_filter_handle, NULL,
                                    f->r, f->r->connection);",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_8.cpp,"[['ap_add_output_filter', 'CACHE_IN'], ['ap_add_output_filter_handle', 'cache_in_filter_handle']]",[11363300885648403842L],[],[],[],[],set([]),set([])
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_12.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_12.cpp,-1,649,,"ap_log_error(APLOG_MARK, APLOG_DEBUG, 0, r->server,
                                 ""cache: not caching streamed response for ""
                                 ""%s because length %s"", url,
                                 (unresolved_length ?
                                  ""cannot be determined"" :
                                  ""> CacheMaxStreamingBuffer""));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_9.cpp,"[[], ['ap_log_error', 'APLOG_MARK', 'APLOG_DEBUG', '0', 'r', 'server', 'cache', 'not', 'caching', 'streamed', 'response', 'for', '%s', 'because', 'length', '%s', 'url', 'unresolved_length', 'cannot', 'be', 'determined', 'CacheMaxStreamingBuffer']]",[-562126555169197680L],[],[],[],[],set([]),set([])
