class,check,variable
1961,"[""int""]",[]
0,"[""checkmask_ret""]",[null]
1,"[""strncmp_ret"", null, ""strlen_ret""]",[null]
2,"[""strncmp_ret"", null, ""strlen_ret""]","[null, ""hex2sec_ret"", null, null, null]"
1599,"[""open_ret""]",[null]
3,"[""ussetlock_ret""]",[null]
1901,"[""int""]",[null]
4,"[""get_shared_mem_ret"", ""atoi_ret"", ""atoi_ret""]","[""get_shared_mem_ret"", ""atoi_ret"", ""atoi_ret""]"
5,"[""get_shared_mem_ret"", ""atoi_ret"", ""atoi_ret""]","[""gettimeofday_arg_ret"", null, ""gettimeofday_arg_ret"", null]"
6,"[""apr_xlate_open_ret""]","[null, ""apr_xlate_open_ret""]"
7,"[""apr_SHA1InitEBCDIC_ret""]","[null, ""apr_SHA1InitEBCDIC_ret""]"
8,"[""apr_MD5InitEBCDIC_ret""]","[null, ""apr_MD5InitEBCDIC_ret""]"
1600,"[""apr_dbm_firstkey_ret"", null]","[null, ""htdbm_t"", null]"
9,"[""apr_dbm_firstkey_ret"", null]",[null]
10,"[""apr_dbm_fetch_ret"", null]","[null, ""htdbm_t"", null]"
11,"[""apr_dbm_fetch_ret"", null]","[null, null, ""apr_dbm_firstkey_arg_ret"", null, ""apr_dbm_firstkey_arg_ret"", null]"
12,"[""memchr_ret""]","[""int_ret"", null, ""memchr_ret""]"
13,"[""memchr_ret""]",[null]
14,"[""apr_dbm_nextkey_ret"", null]",[null]
15,"[""apr_dbm_nextkey_ret"", null]","[null, ""int""]"
1601,"[""htdbm_t"", null, null]",[null]
16,"[""strlen_ret"", ""strlen_ret"", ""htdbm_t"", null]",[null]
17,"[""strchr_ret""]",[null]
18,"[""htdbm_init_ret"", ""htdbm_init_ret"", null]",[null]
19,"[""htdbm_open_ret"", ""htdbm_open_ret"", null]","[null, ""apr_app_initialize_arg_ret"", ""int""]"
20,"[""htdbm_open_ret"", ""htdbm_open_ret"", null]","[null, ""sizeof_arg""]"
1623,"[""apr_password_get_ret"", null]",[null]
1602,"[""strcmp_ret""]",[null]
1603,"[""htdbm_verify_ret"", null]","[null, ""htdbm_init_arg_ret"", null]"
21,"[""htdbm_verify_ret"", ""htdbm_verify_ret"", null]","[null, ""htdbm_init_arg_ret"", null]"
22,"[""htdbm_del_ret"", null]","[null, ""htdbm_init_arg_ret"", null]"
23,"[""int"", ""htdbm_init_arg_ret"", null]","[null, ""htdbm_init_arg_ret"", null, ""htdbm_init_arg_ret"", null, ""htdbm_save_arg_ret""]"
24,"[""int""]","[null, ""htdbm_init_arg_ret"", null, ""htdbm_init_arg_ret"", null]"
