class,class_size,check,variable
2764,8,"[""int""]",[]
0,1,"[""checkmask_ret""]",[null]
1,1,"[""strncmp_ret"", null, ""strlen_ret""]",[null]
2,1,"[""strncmp_ret"", null, ""strlen_ret""]","[null, ""hex2sec_ret"", null, null, null]"
2333,2,"[""open_ret""]",[null]
3,1,"[""ussetlock_ret""]",[null]
2692,4,"[""int""]",[null]
4,1,"[""get_shared_mem_ret"", ""atoi_ret"", ""atoi_ret""]","[""get_shared_mem_ret"", ""atoi_ret"", ""atoi_ret""]"
5,1,"[""get_shared_mem_ret"", ""atoi_ret"", ""atoi_ret""]","[""gettimeofday_arg_ret"", null, ""gettimeofday_arg_ret"", null]"
6,1,"[""apr_xlate_open_ret""]","[null, ""apr_xlate_open_ret""]"
7,1,"[""apr_SHA1InitEBCDIC_ret""]","[null, ""apr_SHA1InitEBCDIC_ret""]"
8,1,"[""apr_MD5InitEBCDIC_ret""]","[null, ""apr_MD5InitEBCDIC_ret""]"
2334,2,"[""apr_dbm_firstkey_ret"", null]","[null, ""htdbm_t"", null]"
9,1,"[""apr_dbm_firstkey_ret"", null]",[null]
10,1,"[""apr_dbm_fetch_ret"", null]","[null, ""htdbm_t"", null]"
11,1,"[""apr_dbm_fetch_ret"", null]","[null, null, ""apr_dbm_firstkey_arg_ret"", null, ""apr_dbm_firstkey_arg_ret"", null]"
12,1,"[""memchr_ret""]","[""int_ret"", null, ""memchr_ret""]"
13,1,"[""memchr_ret""]",[null]
14,1,"[""apr_dbm_nextkey_ret"", null]",[null]
15,1,"[""apr_dbm_nextkey_ret"", null]","[null, ""int""]"
16,1,"[""mkhash_ret""]","[null, ""htdbm_t"", null, null]"
17,1,"[""strlen_ret"", ""strlen_ret"", ""htdbm_t"", null]",[null]
18,1,"[""strchr_ret""]",[null]
19,1,"[""htdbm_init_ret"", ""htdbm_init_ret"", null]",[null]
20,1,"[""parse_common_options_ret""]","[null, ""htdbm_init_arg_ret"", null, null]"
21,1,"[""htdbm_open_ret"", ""htdbm_open_ret"", null]","[null, ""htdbm_init_arg_ret"", null]"
22,1,"[""htdbm_open_ret"", ""htdbm_open_ret"", null]","[null, ""sizeof_arg""]"
23,1,"[""get_password_ret""]","[null, ""htdbm_init_arg_ret"", null, null]"
2335,2,"[""APR_STATUS_IS_ENOENT_ret""]","[null, ""htdbm_init_arg_ret"", null]"
24,1,"[""htdbm_verify_ret"", ""htdbm_verify_ret"", null]","[null, ""htdbm_init_arg_ret"", null]"
