file,function,loc,log,check,variable
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.59/test/cls.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_repos_function_2_httpd-2.0.59.cpp,16,"printf(""Usage: cls directory\n"")","[""int""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.59/test/cls.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_repos_function_2_httpd-2.0.59.cpp,45,"fprintf(stderr, ""Bad cache file\n"")","[""checkmask_ret""]",[null]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.59/test/cls.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_repos_function_2_httpd-2.0.59.cpp,62,"fprintf(stderr, ""Bad cache file\n"")","[""strncmp_ret"", null, ""strlen_ret""]",[null]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.59/test/cls.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_repos_function_2_httpd-2.0.59.cpp,87,"printf(""%s: %d; %s  %s  %s\n"", line + 7, ver, sdate, slmod, sexpire)","[""strncmp_ret"", null, ""strlen_ret""]","[null, ""hex2sec_ret"", null, null, null]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.59/test/time-sem.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_repos_function_3_httpd-2.0.59.cpp,20,"fprintf (stderr, ""Cannot open lock file: %s\n"", ""test-lock-thing"")","[""open_ret""]",[null]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.59/test/time-sem.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_repos_function_6_httpd-2.0.59.cpp,8,"fprintf (stderr, ""Cannot open lock file: %s\n"", ""test-lock-thing"")","[""open_ret""]",[null]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.59/test/time-sem.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_repos_function_18_httpd-2.0.59.cpp,7,"fprintf(stderr, ""didn't get lock\n"")","[""ussetlock_ret""]",[null]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.59/test/time-sem.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_repos_function_22_httpd-2.0.59.cpp,12,"fprintf (stderr, ""Usage: time-sem num-child num iter\n"")","[""int""]",[null]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.59/test/time-sem.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_repos_function_22_httpd-2.0.59.cpp,68,"printf (""WTF! shared_counter != num_child * num_iter!\n""
		""shared_counter = %lu\nnum_child = %d\nnum_iter=%d\n"",
		*shared_counter,
		num_child, num_iter)","[""get_shared_mem_ret"", ""atoi_ret"", ""atoi_ret""]","[""get_shared_mem_ret"", ""atoi_ret"", ""atoi_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.59/test/time-sem.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_repos_function_22_httpd-2.0.59.cpp,81,"printf (""%8lu.%06lu\n"", last.tv_sec, last.tv_usec)","[""get_shared_mem_ret"", ""atoi_ret"", ""atoi_ret""]","["" struct timeval"", null, "" struct timeval"", null]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.59/test/zb.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_repos_function_27_httpd-2.0.59.cpp,15,"printf(""   (Connect: %d, Length: %d, Exceptions: %d)\n"",
		 err_conn, err_length, err_except)",[null],"[null, null, null]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.59/test/zb.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_repos_function_27_httpd-2.0.59.cpp,17,"printf(""Keep-Alive requests:    %d\n"", doneka)",[null],[null]
