patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_log_loc,new_log_loc
mutt-1.4.2.3_diff_mutt-1.5.22,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/alias.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.5.22/alias.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_new_hunk_1.cpp,220,242,[],[30]
mutt-1.4.2.3_diff_mutt-1.5.22,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/alias.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.5.22/alias.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_patch_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_old_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_new_hunk_2.cpp,273,321,[8],[8]
mutt-1.4.2.3_diff_mutt-1.5.22,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/alias.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.5.22/alias.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_patch_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_old_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_new_hunk_3.cpp,294,344,[10],[32]
mutt-1.4.2.3_diff_mutt-1.5.22,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.5.22/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_patch_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_old_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_new_hunk_4.cpp,105,107,[6],[6]
mutt-1.4.2.3_diff_mutt-1.5.22,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.5.22/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_patch_hunk_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_old_hunk_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_new_hunk_5.cpp,232,239,[6],[6]
mutt-1.4.2.3_diff_mutt-1.5.22,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.5.22/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_patch_hunk_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_old_hunk_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_new_hunk_6.cpp,424,394,[6],[6]
mutt-1.4.2.3_diff_mutt-1.5.22,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.5.22/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_patch_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_old_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_new_hunk_7.cpp,914,919,[6],[6]
mutt-1.4.2.3_diff_mutt-1.5.22,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/browser.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.5.22/browser.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_patch_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_old_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_new_hunk_8.cpp,839,889,[48],[78]
mutt-1.4.2.3_diff_mutt-1.5.22,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/commands.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.5.22/commands.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_patch_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_old_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_new_hunk_9.cpp,131,133,"[7, 8]","[11, 12]"
mutt-1.4.2.3_diff_mutt-1.5.22,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/commands.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.5.22/commands.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_patch_hunk_10.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_old_hunk_10.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_new_hunk_10.cpp,232,291,[20],[]
