file,function,calls,types
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/snprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_0_mutt-1.4.2.3.cpp,"[""char_to_int"", ""fmtfp"", ""fmtstr"", ""va_arg"", ""isdigit"", ""fmtint"", ""dopr_outch""]","[""short int"", ""long double"", ""int"", ""void"", ""long"", ""char"", ""size_t"", ""long int"", ""va_list""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/snprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1_mutt-1.4.2.3.cpp,"[""dopr_outch""]","[""char"", ""size_t"", ""void"", ""int""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/snprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_2_mutt-1.4.2.3.cpp,"[""MAX"", ""dopr_outch"", ""dprint""]","[""int"", ""void"", ""long"", ""char"", ""unsigned long"", ""size_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/snprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_3_mutt-1.4.2.3.cpp,[],"[""long double""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/snprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_4_mutt-1.4.2.3.cpp,[],"[""int"", ""long double""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/snprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_5_mutt-1.4.2.3.cpp,[],"[""long double"", ""long""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/snprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_6_mutt-1.4.2.3.cpp,"[""pow10"", ""abs_val"", ""round"", ""dopr_outch"", ""dprint""]","[""long double"", ""int"", ""void"", ""long"", ""char"", ""size_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/snprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_7_mutt-1.4.2.3.cpp,[],"[""char"", ""size_t"", ""void""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/snprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_8_mutt-1.4.2.3.cpp,"[""strlen"", ""dopr""]","[""int"", ""char"", ""va_list"", ""size_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/snprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_9_mutt-1.4.2.3.cpp,"[""printf"", ""sprintf"", ""snprintf"", ""strcmp""]","[""int"", ""char"", ""void"", ""long"", ""double""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_10_mutt-1.4.2.3.cpp,"[""km_get_table""]","[""int"", "" struct binding_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_11_mutt-1.4.2.3.cpp,"[""km_expand_key"", ""snprintf"", ""km_find_func""]","[""char"", ""size_t"", ""void"", ""int""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_12_mutt-1.4.2.3.cpp,"[""mutt_strlen"", ""mutt_make_help"", ""_""]","[""char"", ""size_t"", ""int"", "" struct mapping_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_13_mutt-1.4.2.3.cpp,"[""mbrtowc"", ""fputs"", ""mutt_strlen"", ""memset"", ""wcwidth"", ""char"", ""IsWPrint"", ""fprintf"", ""size_t"", ""wcrtomb"", ""replacement_char""]","[""mbstate_t"", ""int"", ""char"", ""wchar_t"", ""FILE"", ""size_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_14_mutt-1.4.2.3.cpp,"[""fputc"", ""fprintf"", ""snprintf""]","[""int"", ""char"", ""FILE""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_15_mutt-1.4.2.3.cpp,"[""fputc"", ""SKIPWS"", ""mutt_strcmp"", ""mutt_strlen"", ""print_macro"", ""fputs"", ""pad"", ""option""]","[""int"", ""char"", ""void"", ""FILE""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_16_mutt-1.4.2.3.cpp,"[""format_line"", ""km_expand_key"", ""_"", ""help_lookupFunction""]","[""int"", ""void"", ""char"", "" struct binding_t"", ""FILE"", "" struct keymap_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_17_mutt-1.4.2.3.cpp,[],"[""int"", "" struct keymap_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_18_mutt-1.4.2.3.cpp,"[""is_bound"", ""_"", ""format_line""]","[""int"", ""void"", "" struct binding_t"", "" struct keymap_t"", ""FILE""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_19_mutt-1.4.2.3.cpp,"[""safe_fopen"", ""km_get_table"", ""snprintf"", ""fclose"", ""mutt_do_pager"", ""fputs"", ""dump_unbound"", ""mutt_mktemp"", ""mutt_perror"", ""dump_menu"", ""_"", ""mutt_getnamebyvalue""]","[""int"", ""char"", ""void"", "" struct binding_t"", ""FILE""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/send.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_20_mutt-1.4.2.3.cpp,"[""option"", ""mutt_open_read"", ""mutt_wait_filter"", ""fclose"", ""fputs"", ""mutt_copy_stream""]","[""void"", ""FILE"", ""pid_t""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/send.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_21_mutt-1.4.2.3.cpp,"[""ascii_strcasecmp""]","[""int"", ""ADDRESS""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/send.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_22_mutt-1.4.2.3.cpp,"[""mutt_addrcmp""]","[""int"", ""ADDRESS""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/send.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_23_mutt-1.4.2.3.cpp,"[""rfc822_free_address"", ""mutt_addrcmp""]","[""ADDRESS""]"
