class,check,variable
0,"[""strcmp_ret""]","[null, ""int"", ""sizeof_arg"", ""sprintf_arg""]"
1,"[""strcmp_ret""]","[null, ""int"", null, null]"
2,"[""strcmp_ret""]","[""int"", ""int""]"
732,"[""option_ret""]",[]
3,"[""wcrtomb_ret"", ""size_t_ret"", ""wcrtomb_ret"", ""size_t_ret"", ""wcrtomb_ret"", ""wcrtomb_ret""]","[null, ""FILE""]"
673,"[""replacement_char_ret""]","[""FILE""]"
4,"[""replacement_char_ret""]","[""char_ret"", ""FILE""]"
5,"[""IsWPrint_ret"", ""wcwidth_ret"", ""IsWPrint_ret""]","[""FILE""]"
6,"[""snprintf_arg"", ""snprintf_arg""]","[""fputc_arg"", null]"
7,"[""mutt_strcmp_ret""]","[""pad_arg_ret""]"
8,"[""int""]","[""pad_arg_ret""]"
9,"[""km_expand_key_arg_ret"", null, null]","[null, ""help_lookupFunction_ret"", null]"
10,"[""km_expand_key_arg_ret"", null, null]",[]
11,"[""is_bound_ret"", ""is_bound_ret"", ""is_bound_arg_ret""]","[null, "" struct binding_t"", ""int"", null]"
12,"[""mutt_getnamebyvalue_ret""]",[]
503,"[""int"", null, ""int"", null]","[""dump_menu_arg_ret""]"
674,"[""int"", null, ""int"", null]",[]
13,"[""option_ret""]","[""mutt_copy_stream_arg""]"
14,"[""mutt_addrlist_to_intl_ret"", ""mutt_addrlist_to_intl_ret""]",[]
15,"[""mutt_get_field_ret"", ""query_quadoption_ret"", ""mutt_str_replace_arg"", null]",[]
504,"[""mutt_make_string_arg""]","[null, ""fputc_arg""]"
16,"[""mutt_addrcmp_ret"", ""quadoption_ret"", ""ENVELOPE"", null, null, null]",[]
17,"[""default_to_arg"", ""default_to_arg"", ""default_to_arg"", ""default_to_arg"", null]",[]
702,"[""query_quadoption_ret"", ""query_quadoption_ret""]",[]
701,"[""query_quadoption_ret"", ""query_quadoption_ret"", null]",[]
18,"[""option_ret"", ""option_ret"", ""query_quadoption_ret"", ""mutt_get_postponed_ret"", null, ""mutt_get_postponed_ret"", null, null]",[]
19,"[""query_quadoption_ret"", ""mutt_decrease_mtime_ret"", ""stat_arg_ret"", null, ""mutt_message_hook_arg_ret"", null, null, null]",[]
579,"[""mutt_env_to_intl_ret""]",[]
20,"[""query_quadoption_ret"", ""mutt_write_fcc_arg_ret"", null, null, ""mutt_get_postponed_ret"", null, ""query_quadoption_ret"", null]",[]
21,"[""query_quadoption_ret"", null, ""mutt_protect_arg_ret"", null, null, null]",[]
505,"[""option_ret"", ""mutt_get_postponed_ret"", null]",[]
506,"[""pop_query_ret""]",[]
736,"[""int""]",[]
507,"[""mutt_extract_token_ret"", ""mutt_extract_token_arg_ret"", null]",[]
527,"[""mutt_extract_token_arg_ret"", null]",[]
508,"["" struct tm"", null, "" struct tm"", null]",[]
22,"[""mutt_pattern_free_arg""]",[]
510,"[""mutt_buffer_init_arg_ret"", null]",[]
509,"[""find_matching_paren_ret""]",[]
23,"[""lookup_tag_ret"", ""lookup_tag_ret"", null]",[]
24,"[""lookup_tag_ret"", null, ""mutt_pattern_comp_arg"", ""lookup_tag_ret"", null]",[]
25,"[""mutt_pattern_free_arg_ret""]",[]
511,"[""mutt_get_field_ret"", ""strfcpy_arg""]",[]
723,"[""query_quadoption_ret"", null]",[]
26,"[""mutt_create_filter_fd_ret""]",[]
27,"[""mutt_strcmp_ret"", ""NONULL_arg""]","[""sizeof_arg"", ""mutt_create_filter_fd_arg_ret""]"
28,"[""mutt_strcmp_ret"", ""NONULL_arg""]","[""mutt_create_filter_fd_arg_ret""]"
29,"[""safe_fclose_ret"", null, null, ""mutt_copy_message_ret""]",[]
512,"[""crypt_smime_verify_sender_ret""]",[]
675,"[""crypt_smime_verify_sender_arg_ret"", null, null]",[]
30,"[""crypt_smime_verify_sender_arg_ret"", null, null, ""crypt_smime_verify_sender_arg_ret"", null, null]",[]
634,"[""mutt_system_ret"", ""mutt_system_ret""]",[]
513,"[""mutt_bounce_message_arg""]",[]
722,"[""mutt_addrlist_to_intl_ret""]",[]
514,"[""mutt_bounce_message_ret"", ""mutt_bounce_message_ret"", null]",[]
515,"[""char""]","[""char"", ""pipe_msg_arg_ret""]"
710,"[""mutt_get_field_ret"", ""sizeof_arg""]",[]
31,"[""quadoption_ret"", ""_mutt_pipe_message_arg"", ""_mutt_pipe_message_arg""]",[]
676,"[""_mutt_pipe_message_ret"", ""option_ret"", ""option_ret""]",[]
725,"[""mutt_multi_choice_ret""]",[]
717,"[""mutt_get_field_ret""]",[]
32,"[""HEADER"", ""TYPE_arg_ret"", null, null, ""ascii_strcasecmp_ret""]",[]
