class,class_size,check,variable
0,1,"[""strcmp_ret""]","[null, ""int"", ""sizeof_arg"", ""sprintf_arg""]"
1,1,"[""strcmp_ret""]","[null, ""int"", null, null]"
2,1,"[""strcmp_ret""]","[""int"", ""int""]"
3,1,"[""wcrtomb_ret"", ""size_t_ret"", ""wcrtomb_ret"", ""size_t_ret"", ""wcrtomb_ret"", ""wcrtomb_ret""]","[null, ""FILE""]"
330,4,"[""replacement_char_ret""]","[""FILE""]"
4,1,"[""replacement_char_ret""]","[""char_ret"", ""FILE""]"
5,1,"[""IsWPrint_ret"", ""wcwidth_ret"", ""IsWPrint_ret""]","[""FILE""]"
6,1,"[""snprintf_arg"", ""snprintf_arg""]","[""fputc_arg"", null]"
7,1,"[""mutt_strcmp_ret""]","[""pad_arg_ret""]"
8,1,"[""int""]","[""pad_arg_ret""]"
264,2,"[""int"", null, ""int"", null]","[""dump_menu_arg_ret""]"
9,1,"[""option_ret""]","[""mutt_copy_stream_arg""]"
10,1,"[""mutt_make_string_arg""]","[null, ""FILE""]"
11,1,"[""mutt_make_string_arg""]","[""FILE""]"
12,1,"[""mutt_make_string_arg""]","[null, ""fputc_arg_ret""]"
265,2,"[""mutt_make_string_arg""]","[null, ""fputc_arg""]"
13,1,"[""mutt_strcmp_ret"", ""NONULL_arg""]","[""sizeof_arg"", ""mutt_create_filter_fd_arg_ret""]"
14,1,"[""mutt_strcmp_ret"", ""NONULL_arg""]","[""mutt_create_filter_fd_arg_ret""]"
266,2,"[""char""]","[""char"", ""pipe_msg_arg_ret""]"
15,1,"[""HEADER"", ""TYPE_arg_ret"", null, null, ""ascii_strcasecmp_ret""]","[""sizeof_arg"", ""TYPE_arg_ret"", null]"
16,1,"[""mbox_check_mailbox_arg_ret"", null, null]","[""mutt_strcmp_arg"", ""open_ret""]"
17,1,"[""mutt_copy_message_arg_ret"", null, null]","[""mutt_strcmp_arg"", ""ftello_arg_ret""]"
18,1,"[""mutt_copy_message_arg_ret"", null]","[""ftello_arg_ret""]"
19,1,"[""int""]","[null, ""char""]"
20,1,"[null, null]","[""strncmp_arg_ret"", ""fputc_arg""]"
21,1,"[""mutt_strncmp_ret""]","[""sizeof_arg"", ""safe_fopen_ret""]"
22,1,"[""mutt_strncmp_ret""]","[""mutt_strcmp_arg"", ""safe_fopen_ret""]"
23,1,"[""pgp_invoke_decode_ret"", ""fileno_ret"", ""pgp_invoke_decode_ret""]","[""state_puts_arg_ret""]"
24,1,"[""int""]","[""pgp_invoke_decode_arg_ret"", null]"
25,1,"[""crypt_current_time_arg_ret"", null, null]","[""crypt_current_time_arg_ret""]"
267,3,"[""int""]","[""crypt_current_time_arg_ret""]"
332,6,"[""int""]","[""state_putc_arg_ret""]"
331,5,"[""int""]","[""state_puts_arg_ret""]"
268,2,"[""STATE"", null, null]","[""STATE""]"
26,1,"[""pgp_use_gpg_agent_ret""]","[null, ""pgp_invoke_decrypt_arg_ret""]"
27,1,"[""pgp_use_gpg_agent_ret""]","[null, ""fflush_arg""]"
270,3,"[""crypt_current_time_arg"", null, null]","[""crypt_current_time_arg""]"
28,1,"[""pgp_decrypt_part_arg_ret"", null, null]","[""pgp_decrypt_part_arg_ret""]"
29,1,"[""mutt_body_handler_arg_ret"", null, null]","[""state_puts_arg_ret""]"
30,1,"[""pgp_use_gpg_agent_ret""]","[null, ""pgp_invoke_sign_arg_ret""]"
269,2,"[""mutt_strcmp_ret""]","[""safe_fclose_arg_ret""]"
31,1,"[""mutt_strcmp_ret""]","[""sizeof_arg"", ""safe_fclose_arg_ret""]"
32,1,"[""mutt_strcmp_ret""]","[null, null]"
33,1,"[""option_ret"", ""pgp_getkeybyaddr_arg""]","[""sizeof_arg"", null]"
34,1,"[""pgp_use_gpg_agent_ret""]","[null, ""pgp_invoke_encrypt_arg_ret""]"
35,1,"[""pgp_use_gpg_agent_ret""]","[null, null]"
36,1,"[""int"", null]","[""pgp_invoke_traditional_arg_ret"", null]"
37,1,"[""int"", null]","[null, null]"
38,1,"[""safe_realloc_arg_ret"", ""mutt_menuLoop_arg_ret"", null, null]","[null, null]"
39,1,"[""smime_extract_certificate_ret"", ""smime_extract_certificate_ret""]","[null, ""smime_invoke_arg_ret""]"
40,1,"[""mutt_is_application_smime_ret"", null]","[null, ""smime_invoke_verify_arg_ret""]"
41,1,"[""fgetc_ret"", ""fgetc_ret"", null]","[""crypt_current_time_arg_ret""]"
271,2,"[""mutt_is_application_smime_ret"", null]","[""crypt_current_time_arg_ret""]"
42,1,"[""safe_fclose_arg_ret""]","[null, ""safe_fopen_ret""]"
272,2,"[""mutt_is_application_smime_ret"", null]","[""mutt_body_handler_arg_ret""]"
43,1,"[""char"", ""char""]","[""char""]"
44,1,"[""char""]","[""char"", ""fflush_arg""]"
45,1,"[""char""]","[""fflush_arg""]"
46,1,"[""char""]",[null]
273,2,"[""option_ret""]","[null, null]"
47,1,"["" dest mx_ops open_new_msg_arg_ret"", null, null]","[null, "" dest mx_ops open_new_msg_arg_ret"", null]"
48,1,"["" dest mx_ops open_new_msg_arg_ret"", null, null, "" dest mx_ops open_new_msg_arg_ret"", null, null, ""int"", null]","[""NONULL_ret"", ""ctime_ret"", "" dest mx_ops open_new_msg_arg_ret"", null, ""ADDRESS"", ""ADDRESS"", null]"
274,2,"[""int""]","[null, null]"
49,1,"[""mutt_check_alias_name_ret""]",[null]
50,1,"[""mutt_check_alias_name_ret""]","[null, null]"
51,1,"[""fopen_ret"", ""fopen_ret""]","[""fputc_arg_ret"", ""sizeof_arg""]"
52,1,"[""mutt_atoi_ret"", ""mutt_atoi_arg_ret"", ""mutt_atoi_arg_ret"", ""mutt_make_string_arg"", null]","[""mutt_atoi_arg_ret""]"
53,1,"[""mutt_env_to_intl_ret""]","[""mutt_env_to_intl_arg_ret"", ""mutt_env_to_intl_arg_ret""]"
54,1,"[""mutt_strlen_arg""]","[""mutt_strcmp_arg""]"
55,1,"[""show_one_sig_status_arg"", null, null]","[null, ""show_one_sig_status_arg""]"
56,1,"[""show_one_sig_status_arg"", null, null]","[""show_one_sig_status_arg""]"
57,1,"[""show_one_sig_status_arg_ret"", null, null]","[""show_one_sig_status_arg_ret""]"
58,1,"[""int""]","[""gpgme_pubkey_algo_name_ret"", ""safe_fopen_ret"", ""int"", ""gpgme_subkey_t"", null, ""char"", null, ""gpgme_user_id_t"", ""gpgme_user_id_t""]"
59,1,"[""int""]","[""gpgme_pubkey_algo_name_ret"", ""safe_fopen_ret"", ""int"", ""gpgme_subkey_t"", null, ""char"", null]"
60,1,"[""state_puts_arg_ret"", null, null, ""unsigned int""]","[""state_puts_arg_ret""]"
61,1,"[""state_puts_arg_ret"", null, null, ""unsigned int""]","[""show_one_sig_status_arg_ret""]"
275,2,"[""decrypt_part_arg"", null, null]","[""decrypt_part_arg""]"
276,2,"[""decrypt_part_arg_ret"", null, null]","[""decrypt_part_arg_ret"", ""decrypt_part_arg_ret""]"
277,2,"[""mutt_body_handler_arg_ret"", null, null]","[""decrypt_part_arg_ret"", ""state_puts_arg_ret""]"
62,1,"[""int""]","[""print_utf8_arg""]"
63,1,"[""int""]","[""print_dn_part_arg""]"
64,1,"[""print_dn_part_ret""]","[""print_dn_part_arg_ret""]"
278,2,"[""int""]","[""print_dn_part_arg_ret""]"
65,1,"[""print_utf8_arg_ret""]","[""print_utf8_arg_ret""]"
66,1,"[""digit_or_letter_ret""]","[""print_utf8_arg_ret""]"
67,1,"[""parse_dn_ret""]","[""print_utf8_arg_ret""]"
279,2,"[""int""]","[""putc_arg"", null, null]"
68,1,"[""gpgme_user_id_t"", null]","[""putc_arg""]"
280,2,"[""key_check_cap_arg"", null, ""key_check_cap_arg"", null, null]","[""putc_arg_ret"", null, null, ""strftime_arg""]"
