file,function,loc,log,check,variable,cluster
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/commands.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_230.cpp,53,"mutt_yesorno (tmp, !b->noconv)","[""HEADER"", ""TYPE_arg_ret"", null, null, ""ascii_strcasecmp_ret""]","[""sizeof_arg"", ""TYPE_arg_ret"", null]",0
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/mbox.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_259.cpp,133,"fputs (MMDF_SEP, fp) ","[""mbox_check_mailbox_arg_ret"", null, null]","[""mutt_strcmp_arg"", ""open_ret""]",1
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/mbox.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_259.cpp,170,"fputs(MMDF_SEP, fp) ","[""mutt_copy_message_arg_ret"", null, null]","[""mutt_strcmp_arg"", ""ftello_arg_ret""]",2
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/mbox.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_259.cpp,179,"fputs(""\n"", fp) ","[""mutt_copy_message_arg_ret"", null]","[""ftello_arg_ret""]",3
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/smime.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_406.cpp,75,"mutt_yesorno (buf, MUTT_NO) ","[""safe_realloc_arg_ret"", ""mutt_menuLoop_arg_ret"", null, null]","[null, null]",4
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/mx.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_521.cpp,16,"mutt_yesorno(msg, MUTT_YES) ","[""option_ret""]","[null, null]",27
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/alias.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_632.cpp,44,"mutt_yesorno (_(""Warning: This alias name may not work.  Fix it?""), MUTT_YES)","[""mutt_check_alias_name_ret""]",[null],5
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/alias.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_632.cpp,101,"mutt_yesorno (prompt, MUTT_YES) ","[""mutt_check_alias_name_ret""]","[null, null]",6
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/alias.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_632.cpp,148,"fprintf (rc, ""alias %s "", buf)","[""mutt_check_alias_name_ret""]","[""fputc_arg_ret"", ""sizeof_arg""]",7
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/crypt-gpgme.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_749.cpp,172,"mutt_yesorno (buff, 0) ","[""option_ret"", ""crypt_id_is_valid_ret"", ""crypt_id_is_strong_ret""]",[null],8
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/compose.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_787.cpp,24,"mutt_yesorno(msg, MUTT_YES)","[""ATTACHPTR"", ""snprintf_arg"", ""mutt_update_encoding_arg"", null, ""stat_arg_ret"", null]","[null, null]",9
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/browser.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_813.cpp,395,"mutt_yesorno (msg, MUTT_NO) ","[""init_menu_arg_ret"", null, ""init_menu_arg_ret"", null, null]","[null, null]",10
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/copy.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_838.cpp,69,"fputs (buf, out) ","[""mutt_write_one_header_arg"", null, null, null, null, null, null]","[""strchr_arg"", ""mutt_write_one_header_arg""]",11
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/copy.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_838.cpp,255,"fputs (headers[x], out) ","[""mutt_write_one_header_arg"", null, null]","[""safe_calloc_ret"", ""int"", ""mutt_write_one_header_arg_ret""]",12
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/sendlib.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1249.cpp,11,"fputs (""\n "", fp) ","[""int"", null, ""size_t""]","[""fputc_arg_ret""]",13
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/sendlib.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1249.cpp,17,"fputs (pfx, fp) ","[""fputc_arg_ret""]","[""char"", ""fputc_arg_ret""]",14
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/sendlib.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1250.cpp,40,"fprintf (fp, ""\n%s"", NONULL(pfx)) ","[""int"", ""mutt_strncmp_ret"", ""mutt_strlen_ret"", ""mutt_strlen_ret"", ""my_width_ret"", ""int""]","[""NONULL_ret"", ""fputc_arg""]",15
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/sendlib.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1252.cpp,17,"fputs (pfx, fp) ","[""NONULL_arg_ret"", ""NONULL_arg_ret""]","[""NONULL_arg_ret"", ""print_val_arg""]",16
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/sendlib.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1253.cpp,30,"fprintf (fp, ""%s%s: %s\n"", NONULL(pfx), tag, v) ","[""mutt_strwidth_ret"", ""mutt_strwidth_ret"", ""fold_one_header_arg"", null, ""mutt_strwidth_ret"", ""fold_one_header_arg""]","[""NONULL_ret"", ""fold_one_header_arg"", ""dprint_arg_ret"", ""unfold_header_ret""]",17
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/recvattach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1302.cpp,11,"mutt_yesorno (warning, MUTT_NO) ","[""int""]","[null, null]",18
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/muttlib.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1383.cpp,39,"mutt_yesorno (_(""File is a directory, save under it?""), MUTT_YES)","[""mutt_str_replace_arg""]",[null],19
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/muttlib.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1388.cpp,22,"mutt_yesorno (tmp, MUTT_YES)","[""option_ret""]","[""sizeof_arg"", null]",20
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/muttlib.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1388.cpp,47,"mutt_yesorno (tmp, MUTT_YES)","[""option_ret""]","[null, null]",27
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1636.cpp,26,"mutt_yesorno (_(""Can't match nametemplate, continue?""), MUTT_YES) ","[""safe_symlink_ret""]",[null],30
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1637.cpp,23,"mutt_yesorno (_(""Can't match nametemplate, continue?""), MUTT_YES) ","[""safe_symlink_ret""]",[null],30
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.7.2/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1639.cpp,68,"mutt_yesorno (_(""Can't match nametemplate, continue?""), MUTT_YES) ","[""safe_symlink_ret""]",[null],30
