class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,calls,types,necessity
109,2,mutt-1.4.2.3_diff_mutt-1.5.22,-1,,"fprintf (stderr, ""%s\n"", err.data);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_32.cpp,22,"[""mutt_parse_rc_line_ret""]","[null, ""mutt_parse_rc_line_arg_ret"", null]","[[], [""fprintf"", ""stderr"", ""%s\\n"", ""err"", ""data""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.9.1/commands.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_229_last_repos.cpp,"[""mutt_buffer_init"", ""mutt_parse_rc_line"", ""mutt_message"", ""mutt_error"", ""FREE"", ""mutt_get_field"", ""safe_malloc""]","[""BUFFER"", ""char"", ""void"", ""int""]",accept-true
109,2,mutt-1.4.2.3_diff_mutt-1.5.22,-1,,"fprintf (stderr, ""%s\n"", err.data);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_32.cpp,22,"[""mutt_parse_rc_line_ret""]","[null, ""mutt_parse_rc_line_arg_ret"", null]","[[], [""fprintf"", ""stderr"", ""%s\\n"", ""err"", ""data""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.9.1/hook.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_284_last_repos.cpp,"[""mutt_buffer_init"", ""mutt_parse_rc_line"", ""mutt_error"", ""FREE"", ""mutt_sleep"", ""regexec"", ""safe_malloc""]","[""char"", ""HOOK"", ""void"", ""BUFFER""]",accept-true
109,2,mutt-1.4.2.3_diff_mutt-1.5.22,-1,,"fprintf (stderr, ""%s\n"", err.data);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_32.cpp,22,"[""mutt_parse_rc_line_ret""]","[null, ""mutt_parse_rc_line_arg_ret"", null]","[[], [""fprintf"", ""stderr"", ""%s\\n"", ""err"", ""data""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.9.1/hook.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_286_last_repos.cpp,"[""mutt_buffer_init"", ""mutt_error"", ""mutt_parse_rc_line"", ""memset"", ""FREE"", ""mutt_sleep"", ""safe_malloc"", ""mutt_pattern_exec""]","[""HOOK"", ""int"", ""void"", ""HEADER"", ""CONTEXT"", ""BUFFER"", ""pattern_cache_t""]",accept-true
109,2,mutt-1.4.2.3_diff_mutt-1.5.22,-1,,"fprintf (stderr, ""%s\n"", err.data);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_32.cpp,22,"[""mutt_parse_rc_line_ret""]","[null, ""mutt_parse_rc_line_arg_ret"", null]","[[], [""fprintf"", ""stderr"", ""%s\\n"", ""err"", ""data""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.9.1/hook.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_295_last_repos.cpp,"[""mutt_buffer_init"", ""mutt_parse_rc_line"", ""mutt_error"", ""FREE"", ""mutt_sleep"", ""regexec"", ""safe_malloc""]","[""char"", ""int"", ""void"", ""BUFFER"", ""HOOK""]",accept-true
109,2,mutt-1.4.2.3_diff_mutt-1.5.22,-1,,"fprintf (stderr, ""%s\n"", err.data);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_32.cpp,22,"[""mutt_parse_rc_line_ret""]","[null, ""mutt_parse_rc_line_arg_ret"", null]","[[], [""fprintf"", ""stderr"", ""%s\\n"", ""err"", ""data""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.9.1/init.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1794_last_repos.cpp,"[""mutt_buffer_init"", ""mutt_wait_filter"", ""safe_strdup"", ""snprintf"", ""mutt_parse_rc_line"", ""mutt_open_read"", ""mutt_error"", ""strerror"", ""FREE"", ""dprint"", ""mutt_read_line"", ""mutt_convert_string"", ""safe_fclose"", ""_""]","[""pid_t"", ""int"", ""char"", ""BUFFER"", ""FILE"", ""size_t""]",accept-true
109,2,mutt-1.4.2.3_diff_mutt-1.5.22,-1,,"fprintf (stderr, ""%s\n"", err.data);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_32.cpp,22,"[""mutt_parse_rc_line_ret""]","[null, ""mutt_parse_rc_line_arg_ret"", null]","[[], [""fprintf"", ""stderr"", ""%s\\n"", ""err"", ""data""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.9.1/init.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1802_last_repos.cpp,"[""mutt_buffer_init"", ""snprintf"", ""mutt_parse_rc_line"", ""FREE"", ""fprintf"", ""printf"", ""safe_malloc""]","[""int"", ""char"", ""LIST"", ""BUFFER""]",accept-true
109,2,mutt-1.4.2.3_diff_mutt-1.5.22,-1,,"fprintf (stderr, ""%s\n"", err.data);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_32.cpp,22,"[""mutt_parse_rc_line_ret""]","[null, ""mutt_parse_rc_line_arg_ret"", null]","[[], [""fprintf"", ""stderr"", ""%s\\n"", ""err"", ""data""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.9.1/init.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1803_last_repos.cpp,"[""mutt_buffer_init"", ""snprintf"", ""mutt_parse_rc_line"", ""FREE"", ""fprintf"", ""printf"", ""safe_malloc""]","[""int"", ""char"", ""void"", ""BUFFER""]",accept-true
109,2,mutt-1.4.2.3_diff_mutt-1.5.22,-1,,"fprintf (stderr, ""%s\n"", err.data);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_32.cpp,22,"[""mutt_parse_rc_line_ret""]","[null, ""mutt_parse_rc_line_arg_ret"", null]","[[], [""fprintf"", ""stderr"", ""%s\\n"", ""err"", ""data""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.9.1/init.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1807_last_repos.cpp,"[""mutt_buffer_init"", ""mutt_parse_rc_line"", ""FREE"", ""fprintf"", ""safe_malloc"", ""_""]","[""int"", ""BUFFER"", ""LIST""]",accept-true
109,2,mutt-1.4.2.3_diff_mutt-1.5.22,-1,,"fprintf (stderr, ""%s\n"", err.data);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_32.cpp,22,"[""mutt_parse_rc_line_ret""]","[null, ""mutt_parse_rc_line_arg_ret"", null]","[[], [""fprintf"", ""stderr"", ""%s\\n"", ""err"", ""data""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.9.1/imap/command.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_2033_last_repos.cpp,"[""mutt_buffer_init"", ""safe_strcat"", ""option"", ""strfcpy"", ""mutt_parse_rc_line"", ""mutt_account_tourl"", ""FREE"", ""dprint"", ""mutt_strcmp"", ""url_ciss_tostring"", ""cmd_parse_list"", ""imap_quote_string"", ""strlen""]","[""IMAP_DATA"", ""BUFFER"", ""void"", ""char"", ""IMAP_LIST"", ""ciss_url_t""]",accept-true
109,2,mutt-1.4.2.3_diff_mutt-1.5.22,-1,,"fprintf (stderr, ""%s\n"", err.data);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_32.cpp,22,"[""mutt_parse_rc_line_ret""]","[null, ""mutt_parse_rc_line_arg_ret"", null]","[[], [""fprintf"", ""stderr"", ""%s\\n"", ""err"", ""data""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.9.1/imap/imap.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_2075_last_repos.cpp,"[""mutt_buffer_init"", ""imap_unmunge_mbox_name"", ""strfcpy"", ""imap_parse_path"", ""mutt_parse_rc_line"", ""imap_fix_path"", ""mutt_message"", ""mutt_error"", ""snprintf"", ""mx_is_imap"", ""dprint"", ""imap_exec"", ""imap_munge_mbox_name"", ""FREE"", ""imap_conn_find"", ""_"", ""option""]","[""int"", ""char"", ""IMAP_DATA"", ""BUFFER"", ""IMAP_MBOX""]",accept-true
