file,function,loc,log,check,variable
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/snprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_9_mutt-1.4.2.3.cpp,46,"printf(""snprintf doesn't match Format: %s\n\tsnprintf = %s\n\tsprintf  = %s\n"",	/* __SPRINTF_CHECKED__ */
	    fp_fmt[x], buf1, buf2)","[""strcmp_ret""]","[null, ""int"", ""sizeof_arg"", ""sprintf_arg""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/snprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_9_mutt-1.4.2.3.cpp,60,"printf(""snprintf doesn't match Format: %s\n\tsnprintf = %s\n\tsprintf  = %s\n"",	/* __SPRINTF_CHECKED__ */
	    int_fmt[x], buf1, buf2)","[""strcmp_ret""]","[null, ""int"", null, null]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/snprintf.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_9_mutt-1.4.2.3.cpp,66,"printf (""%d tests failed out of %d.\n"", fail, num)","[""strcmp_ret""]","[""int"", ""int""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_13_mutt-1.4.2.3.cpp,29,"fputs (buf, f)","[""wcrtomb_ret"", ""size_t_ret"", ""wcrtomb_ret"", ""size_t_ret"", ""wcrtomb_ret"", ""wcrtomb_ret""]","[null, ""FILE""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_13_mutt-1.4.2.3.cpp,38,"fprintf (f, ""\\e"")","[""replacement_char_ret""]","[""FILE""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_13_mutt-1.4.2.3.cpp,40,"fprintf (f, ""\\n"")","[""replacement_char_ret""]","[""FILE""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_13_mutt-1.4.2.3.cpp,42,"fprintf (f, ""\\r"")","[""replacement_char_ret""]","[""FILE""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_13_mutt-1.4.2.3.cpp,44,"fprintf (f, ""\\t"")","[""replacement_char_ret""]","[""FILE""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_13_mutt-1.4.2.3.cpp,46,"fprintf (f, ""^%c"", (char)((wc + '@') & 0x7f))","[""replacement_char_ret""]","[""char_ret"", ""FILE""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_13_mutt-1.4.2.3.cpp,53,"fprintf (f, ""?"")","[""IsWPrint_ret"", ""wcwidth_ret"", ""IsWPrint_ret""]","[""FILE""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_14_mutt-1.4.2.3.cpp,7,"fprintf (f, fmt, """")","[""snprintf_arg"", ""snprintf_arg""]","[""fputc_arg"", null]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_15_mutt-1.4.2.3.cpp,28,"fputs (""_\010"", f)","[""mutt_strcmp_ret""]","[""pad_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_15_mutt-1.4.2.3.cpp,29,"fputs (""M "", f)","[""int""]","[""pad_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_19_mutt-1.4.2.3.cpp,25,"fputs (_(""\nGeneric bindings:\n\n""), f)","[""int"", null, ""int"", null]","[""dump_menu_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_19_mutt-1.4.2.3.cpp,29,"fputs (_(""\nUnbound functions:\n\n""), f)","[""int"", null, ""int"", null]","[""dump_menu_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/send.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_20_mutt-1.4.2.3.cpp,8,"fputs (""\n-- \n"", f)","[""option_ret""]","[""mutt_copy_stream_arg""]"
