class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,loc,log,check,variable,necessity
106,4,mutt-1.4.2.3_diff_mutt-1.5.22,237,"!mutt_yesorno (_(""Can't match nametemplate, continue?""), 1);","(mutt_yesorno (_(""Can't match nametemplate, continue?""), M_YES);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_4.cpp,23,"[""safe_symlink_ret""]",[],"[[""1""], [""M_YES""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1099_mutt-1.4.2.3.cpp,26,"mutt_yesorno (_(""Can't match nametemplate, continue?""), 1)","[""safe_symlink_ret""]",[],accept-true
106,4,mutt-1.4.2.3_diff_mutt-1.5.22,237,"!mutt_yesorno (_(""Can't match nametemplate, continue?""), 1);","(mutt_yesorno (_(""Can't match nametemplate, continue?""), M_YES);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_4.cpp,23,"[""safe_symlink_ret""]",[],"[[""1""], [""M_YES""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1100_mutt-1.4.2.3.cpp,23,"mutt_yesorno (_(""Can't match nametemplate, continue?""), 1)","[""safe_symlink_ret""]",[],accept-true
106,4,mutt-1.4.2.3_diff_mutt-1.5.22,237,"!mutt_yesorno (_(""Can't match nametemplate, continue?""), 1);","(mutt_yesorno (_(""Can't match nametemplate, continue?""), M_YES);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_4.cpp,23,"[""safe_symlink_ret""]",[],"[[""1""], [""M_YES""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1103_mutt-1.4.2.3.cpp,69,"mutt_yesorno (_(""Can't match nametemplate, continue?""), 1) ","[""safe_symlink_ret""]",[],accept-true
106,4,mutt-1.4.2.3_diff_mutt-1.5.22,237,"!mutt_yesorno (_(""Can't match nametemplate, continue?""), 1);","(mutt_yesorno (_(""Can't match nametemplate, continue?""), M_YES);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_4.cpp,23,"[""safe_symlink_ret""]",[],"[[""1""], [""M_YES""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1108_mutt-1.4.2.3.cpp,27,"mutt_yesorno (_(""Can't match nametemplate, continue?""), 1) ","[""safe_symlink_ret""]",[],accept-true
98,2,mutt-1.4.2.3_diff_mutt-1.5.22,119,"mutt_yesorno(msg, 1);","mutt_yesorno(msg, M_YES);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_60.cpp,16,"[""option_ret""]",[null],"[[""1""], [""M_YES""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/mx.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_326_mutt-1.4.2.3.cpp,16,"mutt_yesorno(msg, 1) ","[""option_ret""]",[null],accept-true
98,2,mutt-1.4.2.3_diff_mutt-1.5.22,119,"mutt_yesorno(msg, 1);","mutt_yesorno(msg, M_YES);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_60.cpp,16,"[""option_ret""]",[null],"[[""1""], [""M_YES""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.4.2.3/muttlib.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_945_mutt-1.4.2.3.cpp,45,"mutt_yesorno (tmp, 1) ","[""option_ret""]",[null],accept-true
107,4,mutt-1.6.2_diff_mutt-1.7.0,244,"(mutt_yesorno (_(""Can't match nametemplate, continue?""), M_YES);","(mutt_yesorno (_(""Can't match nametemplate, continue?""), MUTT_YES);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_132.cpp,23,"[""safe_symlink_ret""]",[null],"[[""M_YES""], [""MUTT_YES""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.6.2/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1604_mutt-1.6.2.cpp,26,"mutt_yesorno (_(""Can't match nametemplate, continue?""), M_YES) ","[""safe_symlink_ret""]",[null],accept-true
107,4,mutt-1.6.2_diff_mutt-1.7.0,244,"(mutt_yesorno (_(""Can't match nametemplate, continue?""), M_YES);","(mutt_yesorno (_(""Can't match nametemplate, continue?""), MUTT_YES);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_132.cpp,23,"[""safe_symlink_ret""]",[null],"[[""M_YES""], [""MUTT_YES""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.6.2/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1605_mutt-1.6.2.cpp,23,"mutt_yesorno (_(""Can't match nametemplate, continue?""), M_YES) ","[""safe_symlink_ret""]",[null],accept-true
107,4,mutt-1.6.2_diff_mutt-1.7.0,244,"(mutt_yesorno (_(""Can't match nametemplate, continue?""), M_YES);","(mutt_yesorno (_(""Can't match nametemplate, continue?""), MUTT_YES);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_132.cpp,23,"[""safe_symlink_ret""]",[null],"[[""M_YES""], [""MUTT_YES""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.6.2/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1607_mutt-1.6.2.cpp,68,"mutt_yesorno (_(""Can't match nametemplate, continue?""), M_YES) ","[""safe_symlink_ret""]",[null],accept-true
107,4,mutt-1.6.2_diff_mutt-1.7.0,244,"(mutt_yesorno (_(""Can't match nametemplate, continue?""), M_YES);","(mutt_yesorno (_(""Can't match nametemplate, continue?""), MUTT_YES);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_132.cpp,23,"[""safe_symlink_ret""]",[null],"[[""M_YES""], [""MUTT_YES""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/repos/mutt-1.6.2/attach.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_repos_function_1612_mutt-1.6.2.cpp,27,"mutt_yesorno (_(""Can't match nametemplate, continue?""), M_YES) ","[""safe_symlink_ret""]",[null],accept-true
