patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type
redis-2.6.14_diff_redis-2.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.14/src/redis-benchmark.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.15/src/redis-benchmark.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_1.cpp,0,0,194,207,"fprintf(stderr,""Unexpected error reply, exiting...\n"");;","fprintf(stderr,""Unexpected error reply, exiting...\n"");;",4
redis-2.6.14_diff_redis-2.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.14/src/redis-benchmark.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.15/src/redis-benchmark.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_2.cpp,1,1,265,315,"fprintf(stderr,""%s: %s\n"",config.hostsocket,c->context->errstr);","fprintf(stderr,""%s: %s\n"",config.hostsocket,c->context->errstr);",6
redis-2.6.14_diff_redis-2.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.14/src/redis-benchmark.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.15/src/redis-benchmark.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_2.cpp,-265,17,-1,331,,"c->obuf = sdscatprintf(c->obuf,""*2\r\n$6\r\nSELECT\r\n$%d\r\n%s\r\n"",
            (int)sdslen(config.dbnumstr),config.dbnumstr);",7
redis-2.6.14_diff_redis-2.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.14/src/redis-benchmark.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.15/src/redis-benchmark.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_3.cpp,1,1,543,655,"printf(""WARNING: keepalive disabled, you probably need 'echo 1 > /proc/sys/net/ipv4/tcp_tw_reuse' for Linux and 'sudo sysctl -w net.inet.tcp.msl=1000' for Mac OS X in order to use a lot of clients/requests\n"");","printf(""WARNING: keepalive disabled, you probably need 'echo 1 > /proc/sys/net/ipv4/tcp_tw_reuse' for Linux and 'sudo sysctl -w net.inet.tcp.msl=1000' for Mac OS X in order to use a lot of clients/requests\n"");",4
redis-2.6.14_diff_redis-2.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.14/src/redis-benchmark.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.15/src/redis-benchmark.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_3.cpp,5,5,547,659,"printf(""Creating %d idle connections and waiting forever (Ctrl+C when done)\n"", config.numclients);","printf(""Creating %d idle connections and waiting forever (Ctrl+C when done)\n"", config.numclients);",4
redis-2.6.14_diff_redis-2.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.14/src/redis.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.15/src/redis.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_4.cpp,6,6,2278,2353,"info = sdscatprintf(info, ""db%d:keys=%lld,expires=%lld\r\n"",
                    j, keys, vkeys);","info = sdscatprintf(info,
                    ""db%d:keys=%lld,expires=%lld,avg_ttl=%lld\r\n"",
                    j, keys, vkeys, server.db[j].avg_ttl);",3
redis-2.6.15_diff_redis-2.6.16,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.15/src/debug.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.16/src/debug.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_5.cpp,-291,19,-1,309,,"addReplyError(c,""Not an sds encoded string."");",7
redis-2.6.16_diff_redis-2.6.17,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.16/src/redis-cli.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/redis-cli.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_6.cpp,9,8,1300,1299,"fprintf(stderr, ""Unknown key type '%s' for key '%s'\n"",
                reply2->str, reply1->str);","fprintf(stderr, ""Unknown key type '%s' for key '%s'\n"",
                reply2->str, reply1->str);",4
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/deps/hiredis/net.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/deps/hiredis/net.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_7.cpp,7,14,218,225,"__redisSetError(c,REDIS_ERR_OTHER,gai_strerror(rv));","__redisSetError(c,REDIS_ERR_OTHER,gai_strerror(rv));",4
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/deps/hiredis/sds.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/deps/hiredis/sds.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_8.cpp,10,-29,38,-1,"fprintf(stderr,""SDS: Out Of Memory (SDS_ABORT_ON_OOM defined)\n"");",,7
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/deps/hiredis/sds.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/deps/hiredis/sds.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_11.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_11.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_11.cpp,14,18,386,558,"s = sdscatprintf(s,""\\%c"",*p);","s = sdscatprintf(s,""\\%c"",*p);",4
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/deps/hiredis/sds.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/deps/hiredis/sds.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_12.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_12.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_12.cpp,0,0,395,567,"s = sdscatprintf(s,""%c"",*p);;","s = sdscatprintf(s,""%c"",*p);;",4
