patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,edit_words,edit_feature,old_check,old_variable,new_check,new_variable,ddg_codes,ddg_locs,cluster
redis-2.6.14_diff_redis-2.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.14/src/redis-benchmark.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.15/src/redis-benchmark.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_2.cpp,-265,17,-1,331,,"c->obuf = sdscatprintf(c->obuf,""*2\r\n$6\r\nSELECT\r\n$%d\r\n%s\r\n"",
            (int)sdslen(config.dbnumstr),config.dbnumstr);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_0.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_0.cpp,"[[], ['c', 'obuf', 'sdscatprintf', 'c', 'obuf', '*2\\r\\n', '6\\r\\nSELECT\\r\\n', '%d\\r\\n%s\\r\\n', 'int', 'sdslen', 'config', 'dbnumstr', 'config', 'dbnumstr']]",[-16004664193011567700],[],[],"[""sdscatprintf_arg_0""]","[""fprintf_arg_0_ret"", ""sdscatprintf_arg_0_ret""]",set([]),set([]),0
redis-2.6.14_diff_redis-2.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.14/src/redis.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.15/src/redis.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_4.cpp,6,6,2278,2353,"info = sdscatprintf(info, ""db%d:keys=%lld,expires=%lld\r\n"",
                    j, keys, vkeys);","info = sdscatprintf(info,
                    ""db%d:keys=%lld,expires=%lld,avg_ttl=%lld\r\n"",
                    j, keys, vkeys, server.db[j].avg_ttl);",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_1.cpp,"[[], ['%lld', 'avg_ttl', 'server', 'db[j]', 'avg_ttl']]",[-11854364338601914259],"[""sdscatprintf_arg_2_ret"", ""sdscatprintf_arg_2""]","[""sdscatprintf_ret""]","[""sdscatprintf_arg_2_ret"", ""sdscatprintf_arg_2""]","[""sdscatprintf_ret"", ""sdscatprintf_ret""]",set([]),set([]),1
redis-2.6.15_diff_redis-2.6.16,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.15/src/debug.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.16/src/debug.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_5.cpp,-291,19,-1,309,,"addReplyError(c,""Not an sds encoded string."");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_2.cpp,"[[], ['addReplyError', 'c', 'Not', 'an', 'sds', 'encoded', 'string']]",[-4491908300022630892],[],[],"[""dictFind_ret"", ""strcasecmp_arg_0_ret"", ""strcasecmp_arg_0_ret"", ""strcasecmp_arg_0_ret"", ""strcasecmp_arg_0_ret"", ""strcasecmp_arg_0_ret"", ""strcasecmp_arg_0_ret""]","[""addReply_arg_0_ret""]",set([]),set([]),2
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/deps/hiredis/sds.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/deps/hiredis/sds.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_8.cpp,10,-29,38,-1,"fprintf(stderr,""SDS: Out Of Memory (SDS_ABORT_ON_OOM defined)\n"");",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_3.cpp,"[['fprintf', 'stderr', 'SDS', 'Out', 'Of', 'Memory', 'SDS_ABORT_ON_OOM', 'defined', '\\n'], []]",[3780362868748282813],[-1],[-1],[],[],set([]),set([]),522
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_15.cpp,16,21,175,180,"anetSetError(err, ""can't resolve: %s"", host);","inet_ntop(AF_INET, &(sa->sin_addr), ipbuf, ipbuf_len);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_4.cpp,"[['anetSetError', 'err', 'can', 't', 'resolve', '%s', 'host'], ['inet_ntop', 'AF_INET', '&', 'sa', 'sin_addr', 'ipbuf', 'ipbuf_len']]",[12942228622756399456],"[""gethostbyname_ret""]","[""gethostbyname_arg_0_ret""]","[""freeaddrinfo_arg_0"", ""freeaddrinfo_arg_0""]","[""inet_ntop_arg_2""]",set([]),set([]),3
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_15.cpp,58,-160,217,-1,"anetSetError(err, ""can't resolve: %s"", addr);",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_5.cpp,"[['anetSetError', 'err', 'can', 't', 'resolve', '%s', 'addr'], []]",[892064885399119558],"[""gethostbyname_ret""]","[""anetCreateSocket_arg_0_ret"", ""gethostbyname_arg_0_ret""]",[],[],set([]),set([]),4
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_15.cpp,73,93,232,252,"anetSetError(err, ""connect: %s"", strerror(errno));","anetSetError(err, ""creating socket: %s"", strerror(errno));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_6.cpp,"[['connect'], ['creating', 'socket']]",[-3423353548149161707],"[""connect_ret"", ""anetCreateSocket_ret""]","[""anetNonBlock_arg_0_ret"", ""strerror_ret""]",[],"[""anetNonBlock_arg_0_ret"", ""strerror_ret""]",set([]),set([]),5
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_15.cpp,-160,16,-1,175,,"anetSetError(err, ""%s"", gai_strerror(rv));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_7.cpp,"[[], ['anetSetError', 'err', '%s', 'gai_strerror', 'rv']]",[-8276769972592442317],[],[],"[""getaddrinfo_ret""]","[""gai_strerror_ret""]",set([]),set([]),6
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_15.cpp,-160,72,-1,231,,"anetSetError(err, ""%s"", gai_strerror(rv));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_8.cpp,"[[], ['anetSetError', 'err', '%s', 'gai_strerror', 'rv']]",[-8276769972592442317],[],[],"[""getaddrinfo_ret""]","[""anetSetReuseAddr_arg_0"", ""gai_strerror_ret""]",set([]),set([]),7
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_16.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_16.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_16.cpp,19,9,346,360,"anetSetError(err, ""invalid bind address"");","anetSetError(err, ""setsockopt: %s"", strerror(errno));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_9.cpp,"[['invalid', 'bind', 'address'], ['setsockopt', '%s', 'strerror', 'errno']]",[26804730188564094311],"[""inet_aton_ret""]","[""anetCreateSocket_arg_0_ret""]","[""setsockopt_ret""]","[""strerror_ret""]",set([]),set([]),8
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_16.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_16.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_16.cpp,-328,29,-1,380,,"anetSetError(err, ""%s"", gai_strerror(rv));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_10.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_10.cpp,"[[], ['anetSetError', 'err', '%s', 'gai_strerror', 'rv']]",[-8276769972592442317],[],[],"[""getaddrinfo_ret""]","[""anetV6Only_arg_0"", ""gai_strerror_ret""]",set([]),set([]),9
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_16.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_16.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_16.cpp,-328,42,-1,393,,"anetSetError(err, ""unable to bind socket"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_11.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_11.cpp,"[[], ['anetSetError', 'err', 'unable', 'to', 'bind', 'socket']]",[6654626193499756444],[],[],[],"[""anetListen_arg_0_ret""]",set([]),set([]),371
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/bitops.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/bitops.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_17.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_17.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_17.cpp,-150,6,-1,155,,"notifyKeyspaceEvent(REDIS_NOTIFY_STRING,""setbit"",c->argv[1],c->db->id);",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_12.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_12.cpp,"[[], ['notifyKeyspaceEvent', 'REDIS_NOTIFY_STRING', 'setbit', 'c', 'argv[1]', 'c', 'db', 'id']]",[-5657649004541532553],[],[],"[""getLongFromObjectOrReply_arg_1_ret""]","[""signalModifiedKey_arg_0_ret"", ""signalModifiedKey_arg_0_ret""]",set([]),set([]),372
