patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,function,function_loc,edit_types,edit_words,edit_feature
redis-2.6.14_diff_redis-2.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.14/src/redis-benchmark.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.15/src/redis-benchmark.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_2.cpp,-265,17,-1,331,,"sdscatprintf(c->obuf,""*2\r\n$6\r\nSELECT\r\n$%d\r\n%s\r\n"",
            (int)sdslen(config.dbnumstr),config.dbnumstr);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_0.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_0.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_function_0.cpp,30,"[""addLog""]","[[], [u'sdscatprintf', u'c', u'obuf', u'*2\\r\\n', u'6\\r\\nSELECT\\r\\n', u'%d\\r\\n%s\\r\\n', u'int', u'sdslen', u'config', u'dbnumstr', u'config', u'dbnumstr']]",[-15992778849947182016]
redis-2.6.14_diff_redis-2.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.14/src/redis.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.15/src/redis.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_4.cpp,6,6,2278,2353,"sdscatprintf(info, ""db%d:keys=%lld,expires=%lld\r\n"",
                    j, keys, vkeys);","sdscatprintf(info,
                    ""db%d:keys=%lld,expires=%lld,avg_ttl=%lld\r\n"",
                    j, keys, vkeys, server.db[j].avg_ttl);",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_function_1.cpp,343,"[""updateContent"", ""addVariable""]","[[], [u'%lld', u'avg_ttl', u'server', u'db[j]', u'avg_ttl']]",[-11854364338601914259]
redis-2.6.15_diff_redis-2.6.16,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.15/src/debug.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.16/src/debug.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_5.cpp,-291,19,-1,309,,"addReplyError(c,""Not an sds encoded string."");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_function_2.cpp,63,"[""addLog""]","[[], [u'addReplyError', u'c', u'Not', u'an', u'sds', u'encoded', u'string']]",[-4491908300022630892]
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/deps/hiredis/sds.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/deps/hiredis/sds.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_8.cpp,10,-29,38,-1,"fprintf(stderr,""SDS: Out Of Memory (SDS_ABORT_ON_OOM defined)\n"");",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_function_3.cpp,1,"[""removeLog""]","[[u'fprintf', u'stderr', u'SDS', u'Out', u'Of', u'Memory', u'SDS_ABORT_ON_OOM', u'defined', u'\\n'], []]",[3780362868748282813]
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_15.cpp,16,21,175,180,"anetSetError(err, ""can't resolve: %s"", host);","inet_ntop(AF_INET, &(sa->sin_addr), ipbuf, ipbuf_len);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_function_4.cpp,10,"[""updateVariable"", ""updateLog"", ""removeVariable"", ""removeContent"", ""addVariable""]","[[u'anetSetError', u'err', u'can', u't', u'resolve', u'%s', u'host'], [u'inet_ntop', u'AF_INET', u'&', u'sa', u'sin_addr', u'ipbuf', u'ipbuf_len']]",[12942228622756399456]
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_15.cpp,58,-160,217,-1,"anetSetError(err, ""can't resolve: %s"", addr);",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_function_5.cpp,15,"[""removeLog""]","[[u'anetSetError', u'err', u'can', u't', u'resolve', u'%s', u'addr'], []]",[892064885399119558]
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_15.cpp,73,93,232,252,"anetSetError(err, ""connect: %s"", strerror(errno));","anetSetError(err, ""creating socket: %s"", strerror(errno));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_function_6.cpp,30,"[""updateContent""]","[[u'connect'], [u'creating', u'socket']]",[-3423353548149161707]
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_15.cpp,-160,16,-1,175,,"anetSetError(err, ""%s"", gai_strerror(rv));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_function_7.cpp,10,"[""addLog""]","[[], [u'anetSetError', u'err', u'%s', u'gai_strerror', u'rv']]",[-8276769972592442317]
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_15.cpp,-160,72,-1,231,,"anetSetError(err, ""%s"", gai_strerror(rv));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_function_8.cpp,12,"[""addLog""]","[[], [u'anetSetError', u'err', u'%s', u'gai_strerror', u'rv']]",[-8276769972592442317]
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_16.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_16.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_16.cpp,19,9,346,360,"anetSetError(err, ""invalid bind address"");","anetSetError(err, ""setsockopt: %s"", strerror(errno));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_log_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_log_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_function_9.cpp,13,"[""updateContent"", ""addVariable""]","[[u'invalid', u'bind', u'address'], [u'setsockopt', u'%s', u'strerror', u'errno']]",[26804730188564094311]
