patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,function,function_loc,edit_types,edit_words,edit_feature,check,variable,ddg_codes,ddg_locs,cluster
rsync-0.2_diff_rsync-0.3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.2/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.3/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_patch_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_hunk_8.cpp,12,12,248,252,"fprintf(stderr,""%s -> %s\n"",fname,flist->files[i].link);","fprintf(am_server?stderr:stdout,""%s -> %s\n"",fname,flist->files[i].link);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_log_27.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_log_27.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_27.cpp,32,"[""moveVariable"", ""addVariable""]","[[], [""am_server"", ""stdout""]]",[-1431402769502699700],[null],"[null, ""symlink_arg_ret"", "" struct file_list"", null, ""write_int_arg"", null]",set([]),set([]),0
rsync-0.2_diff_rsync-0.3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.2/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.3/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_patch_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_hunk_8.cpp,32,32,268,272,"fprintf(stderr,""%s\n"",fname);","fprintf(am_server?stderr:stdout,""%s\n"",fname);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_log_28.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_log_28.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_28.cpp,52,"[""moveVariable"", ""addVariable""]","[[], [""am_server"", ""stdout""]]",[-1431402769502699700],[null],"[null, ""mknod_arg_ret""]",set([]),set([]),1
rsync-0.2_diff_rsync-0.3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.2/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.3/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_patch_hunk_12.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_hunk_12.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_hunk_12.cpp,7,7,462,477,"fprintf(stderr,""%s\n"",fname);","printf(""%s\n"",fname);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_log_29.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_log_29.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_29.cpp,63,"[""updateLog"", ""removeVariable""]","[[""fprintf"", ""stderr""], [""printf""]]",[21163064839310014221],[null],"[null, ""sprintf_arg_ret""]",set([]),set([]),2
rsync-0.3_diff_rsync-0.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.3/exclude.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.4/exclude.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_hunk_15.cpp,-104,13,-1,116,,"fprintf(stderr,""%s : %s\n"",fname,strerror(errno));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_log_30.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_log_30.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_30.cpp,7,"[""addLog""]","[[], [""fprintf"", ""stderr"", ""%s"", ""%s\\n"", ""fname"", ""strerror"", ""errno""]]",[9017436455142399334],"[""int""]","[""strerror_ret"", null, ""fopen_arg_ret""]",set([]),set([6]),3
rsync-0.3_diff_rsync-0.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.3/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_patch_hunk_18.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_hunk_18.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_hunk_18.cpp,45,-265,267,-1,"fprintf(stderr,""server changed to directory %s\n"",dir);",,9,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_log_38.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_log_38.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_38.cpp,41,"[""removeLog""]","[[""fprintf"", ""stderr"", ""server"", ""changed"", ""to"", ""directory"", ""%s\\n"", ""dir""], []]",[17044023907798565187],[null],"[null, ""chdir_arg_ret""]",set([]),set([]),4
rsync-0.3_diff_rsync-0.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.3/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_patch_hunk_18.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_hunk_18.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_hunk_18.cpp,64,-265,286,-1,"fprintf(stderr,""generator starting pid=%d count=%d\n"",
	    (int)getpid(),flist->count);",,9,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_log_39.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_log_39.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_39.cpp,60,"[""removeLog""]","[[""fprintf"", ""stderr"", ""generator"", ""starting"", ""pid"", ""%d"", ""count"", ""%d\\n"", ""int"", ""getpid"", ""flist"", ""count""], []]",[-11329002570710171818],[null],"[""getpid_ret"", null, null, ""recv_files_arg_ret"", null]",set([]),set([]),5
rsync-0.3_diff_rsync-0.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.3/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_patch_hunk_18.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_hunk_18.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_hunk_18.cpp,87,-265,309,-1,"fprintf(stderr,""generator wrote %d\n"",write_total());",,9,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_log_41.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_log_41.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_41.cpp,83,"[""removeLog""]","[[""fprintf"", ""stderr"", ""generator"", ""wrote"", ""%d\\n"", ""write_total""], []]",[6021490060770067168],[null],"[""write_total_ret"", null]",set([]),set([]),6
rsync-0.3_diff_rsync-0.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.3/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_patch_hunk_20.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_hunk_20.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_hunk_20.cpp,54,-624,685,-1,"fprintf(stderr,""generator wrote %d\n"",write_total());",,9,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_log_45.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_log_45.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_45.cpp,306,"[""removeLog""]","[[""fprintf"", ""stderr"", ""generator"", ""wrote"", ""%d\\n"", ""write_total""], []]",[6021490060770067168],"[""MAX_ret""]","[""write_total_ret"", null]",set([]),set([-101]),7
rsync-0.3_diff_rsync-0.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.3/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_patch_hunk_20.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_hunk_20.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_hunk_20.cpp,-632,7,-1,630,,"fprintf(stderr,""nothing to do\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_log_46.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_log_46.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_46.cpp,259,"[""addLog""]","[[], [""fprintf"", ""stderr"", ""nothing"", ""to"", ""do\\n""]]",[-16623314155082901272],"[""recv_file_list_ret"", ""recv_file_list_ret"", null]",[null],set([]),set([5]),8
rsync-0.3_diff_rsync-0.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.3/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.4/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_patch_hunk_22.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_hunk_22.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_hunk_22.cpp,-605,11,-1,614,,"fprintf(stderr,""generator starting pid=%d count=%d\n"",
	    (int)getpid(),flist->count);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_old_log_47.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_new_log_47.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_47.cpp,5,"[""addLog""]","[[], [""fprintf"", ""stderr"", ""generator"", ""starting"", ""pid"", ""%d"", ""count"", ""%d\\n"", ""int"", ""getpid"", ""flist"", ""count""]]",[11329002570710171818],[null],"[""getpid_ret"", null, null, ""recv_generator_arg"", null]",set([]),set([]),9
