file,function,calls,types
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/delete.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_0_last_repos.cpp,"[""strlen"", ""strcmp""]","[""int"", ""char""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/delete.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_1_last_repos.cpp,"[""rprintf"", ""push_local_filters"", ""strlcpy"", ""f_name"", ""do_chmod"", ""delete_dir_contents"", ""pop_local_filters"", ""DEBUG_GTE"", ""S_ISDIR"", ""flist_free"", ""get_dirlist"", ""strlen"", ""delete_item""]","[""int"", "" enum delret"", ""void"", ""unsigned"", "" struct file_list"", ""char"", ""uint16"", "" struct file_struct""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/delete.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_2_last_repos.cpp,"[""rprintf"", ""rsyserr"", ""log_delete"", ""S_ISLNK"", ""do_rmdir"", ""S_ISREG"", ""is_backup_file"", ""do_chmod"", ""robust_unlink"", ""delete_dir_contents"", ""DEBUG_GTE"", ""S_ISDIR"", ""IS_DEVICE"", ""make_backup"", ""exit_cleanup""]","[""char"", "" enum delret"", ""int"", ""uint16""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/delete.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_3_last_repos.cpp,"[""exit_cleanup"", ""IS_SPECIAL"", ""S_ISREG"", ""IS_DEVICE"", ""S_ISDIR"", ""S_ISLNK""]","[""uint16""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/util2.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_4_last_repos.cpp,"[""usleep"", ""gettimeofday"", ""select""]","[""int"", "" struct timeval""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/util2.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_5_last_repos.cpp,"[""calloc"", ""malloc""]","[""int"", ""void"", ""unsigned long"", ""unsigned int""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/util2.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_6_last_repos.cpp,"[""realloc"", ""malloc""]","[""size_t"", ""void"", ""unsigned int""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/util2.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_7_last_repos.cpp,"[""assert"", ""CVAL""]","[""char"", ""int""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/util2.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_8_last_repos.cpp,"[""rprintf"", ""who_am_i"", ""exit_cleanup""]","[""char"", ""NORETURN void""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/util2.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_9_last_repos.cpp,"[""rprintf"", ""who_am_i"", ""exit_cleanup""]","[""char"", ""NORETURN void""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_10_last_repos.cpp,"[""new_array"", ""BIG_SUM2HASH"", ""memset"", ""free"", ""SUM2HASH"", ""out_of_memory"", ""uint32""]","[""int32"", ""void"", "" struct sum_struct"", ""uint32""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_11_last_repos.cpp,"[""rprintf"", ""int32"", ""show_progress"", ""sum_update"", ""MIN"", ""send_token"", ""INFO_GTE"", ""DEBUG_GTE"", ""map_ptr"", ""big_num""]","[""int32"", ""int"", ""void"", "" struct sum_struct"", "" struct map_struct"", ""OFF_T""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_12_last_repos.cpp,"[""rprintf"", ""int32"", ""MIN"", ""BIG_SUM2HASH"", ""memcmp"", ""SUM2HASH2"", ""get_checksum2"", ""get_checksum1"", ""DEBUG_GTE"", ""map_ptr"", ""big_num"", ""matched""]","[""int32"", ""int"", ""void"", "" struct sum_struct"", "" struct map_struct"", ""schar"", ""OFF_T"", ""char"", ""uint32""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_13_last_repos.cpp,"[""rprintf"", ""int32"", ""sum_init"", ""hash_search"", ""sum_update"", ""INFO_GTE"", ""memset"", ""show_progress"", ""build_hash_table"", ""overflow_exit"", ""write_buf"", ""DEBUG_GTE"", ""map_ptr"", ""sum_end"", ""matched""]","[""int32"", ""int"", ""void"", "" struct sum_struct"", "" struct map_struct"", ""OFF_T""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_14_last_repos.cpp,"[""rprintf"", ""big_num"", ""DEBUG_GTE""]","[""void""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/clientserver.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_15_last_repos.cpp,"[""rprintf"", ""exit_cleanup"", ""open_socket_out_wrapped"", ""client_run"", ""setup_iconv"", ""strrchr"", ""start_inband_exchange""]","[""int"", ""char""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/clientserver.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_16_last_repos.cpp,"[""write_sbuf"", ""rprintf"", ""io_printf"", ""sscanf"", ""read_line_old"", ""fread"", ""fclose"", ""lp_motd_file"", ""write_buf"", ""fopen"", ""feof""]","[""int"", ""char"", ""FILE"", ""size_t""]"
