class,check,variable
0,"[""malloc_ret"", ""malloc_ret""]",[]
1,"[""write_int_arg""]","[null, null, ""int"", null, ""map_ptr_arg"", ""write_int_arg"", null, "" struct sum_struct"", null, ""write_int_arg"", ""off_t"", ""write_int_arg""]"
2,[null],"[null, ""matched_arg"", null, null, ""MIN_arg""]"
3,[null],"[null, ""get_checksum1_ret"", ""MIN_ret""]"
4,[null],"[null, ""matched_arg"", null, null, ""MIN_arg"", ""matched_arg"", null]"
5,[null],"[null, ""MIN_arg"", ""get_checksum1_ret""]"
6,[null],"[null, ""MIN_arg"", """", ""matched_arg"", ""get_checksum1_ret""]"
112,[null],[null]
7,[null],"[null, null, null, null]"
8,"[""strdup_ret"", ""realloc_ret"", ""realloc_ret"", ""int""]",[]
9,[null],"[null, ""strdup_arg_ret""]"
10,"[""int""]","[""strerror_ret"", null, ""fopen_arg_ret""]"
109,"["" struct file_struct"", null]",[]
11,"[""realloc_ret""]",[]
12,[null],"[""strerror_ret"", null, ""readfd_ret""]"
13,[null],"[""strerror_ret"", null, ""int"", ""readfd_ret""]"
110,"[""malloc_ret""]",[]
14,"[""writefd_ret"", ""writefd_ret""]","[""strerror_ret"", null, ""writefd_ret""]"
15,"[""writefd_ret"", ""writefd_ret"", ""int""]","[""strerror_ret"", null, ""writefd_ret""]"
16,"[""lseek_ret"", ""read_ret"", ""off_t"", ""MIN_ret""]",[null]
17,"[""pipe_ret"", ""pipe_ret""]","[""strerror_ret"", null]"
18,"[""fork_ret""]","[""strerror_ret"", null]"
19,"[""dup2_ret"", ""close_ret"", ""close_ret"", ""dup2_ret""]","[""strerror_ret"", null]"
20,"[""fork_ret""]","[""strerror_ret"", null, ""execvp_arg_ret""]"
21,"[""close_ret"", ""close_ret""]","[""strerror_ret"", null]"
22,[null],"[null, ""malloc_ret"", ""int"", ""malloc_ret"", ""int"", ""malloc_ret"", ""MIN_arg"", null, ""malloc_ret"", null]"
103,"[""malloc_ret"", null]",[]
23,[null],"[null, ""int"", null, ""malloc_ret"", null, ""int"", ""off_t"", ""malloc_ret"", null, ""int"", ""off_t"", ""malloc_ret"", null, ""int"", ""get_checksum1_ret""]"
24,[null],"[null, ""malloc_ret"", null, ""malloc_ret"", null, ""malloc_ret"", null]"
25,[null],"[null, ""int"", ""malloc_ret"", null, ""int"", null, null, ""malloc_ret"", null, ""int"", ""off_t"", ""malloc_ret"", null, ""int"", ""read_int_ret""]"
26,"[""stat_ret""]","[""strerror_ret"", null, ""stat_arg_ret""]"
27,"[""set_modtime_ret""]","[""strerror_ret"", null, ""set_modtime_arg_ret""]"
28,"[""chmod_ret""]","[""strerror_ret"", null, ""chmod_arg_ret""]"
29,"[null, null]","[""strerror_ret"", null, ""chown_arg_ret""]"
98,"[""int""]","[null, null, null, ""chown_arg_ret""]"
30,[null],"[null, ""lstat_arg""]"
31,"[""symlink_ret"", null]","[""strerror_ret"", null, ""symlink_arg_ret"", "" struct file_list"", null, ""write_int_arg"", null]"
32,[null],"[null, null, null, ""set_perms_arg_ret"", "" struct file_list"", null, ""write_int_arg"", null]"
33,[null],"[null, ""unlink_arg_ret"", null, "" struct file_list"", null, ""write_int_arg"", ""mknod_arg"", null, "" struct file_list"", null, ""write_int_arg"", ""mknod_arg""]"
34,"[""mknod_ret"", null]","[""strerror_ret"", null, ""mknod_arg_ret""]"
35,[null],"[null, null, null, ""set_perms_arg_ret""]"
99,"[""S_ISREG_ret""]","[null, ""set_perms_arg_ret""]"
100,[null],"[null, ""set_perms_arg_ret""]"
36,"[""open_ret""]","[""strerror_ret"", null, ""open_arg_ret""]"
37,[null],"[null, ""open_arg_ret"", null, ""set_perms_arg_ret"", null]"
38,[null],"[null, ""read_int_ret"", null, ""off_t""]"
39,"[""read_write_ret"", ""read_int_ret""]","[""strerror_ret"", null, ""char""]"
40,[null],"[null, ""read_int_ret"", ""map_ptr_arg"", null, ""map_ptr_arg"", null, ""off_t""]"
41,"[""write_sparse_ret"", ""map_ptr_ret"", """"]","[""strerror_ret"", null, ""char""]"
42,"[""sparse_end_ret"", ""off_t""]","[""strerror_ret"", null, ""char""]"
43,"[""unlink_ret"", null]","[""strerror_ret"", null, "" struct file_struct"", null]"
101,[null],"[null, "" struct file_struct"", null]"
44,"[""strerror_arg"", null]","[""strerror_ret"", null, "" struct file_struct"", null]"
45,[null],"[null, ""delete_files_arg"", null]"
46,[null],"[null, ""printf_arg_ret""]"
47,"[""fstat_ret"", ""open_ret""]","[""strerror_ret"", null, ""open_arg_ret""]"
48,"[""S_ISREG_ret"", ""open_ret""]","[null, ""open_arg_ret""]"
49,[null],"[null, ""open_arg_ret"", null, ""fstat_arg_ret"", null]"
50,"[""mktemp_ret"", ""set_perms_arg""]","[null, ""open_arg""]"
51,"[""open_ret""]","[""strerror_ret"", null, ""rename_arg""]"
52,[null],"[null, ""rename_arg"", ""receive_data_arg_ret""]"
53,"[""rename_ret"", ""strerror_arg"", null]","[""strerror_ret"", null, ""rename_arg_ret"", null]"
54,"[""rename_ret""]","[""strerror_ret"", null, null, ""rename_arg_ret""]"
55,[null],"[null, ""read_int_ret"", ""printf_arg""]"
56,"[""receive_sums_ret""]",[null]
57,"[""open_ret""]","[""strerror_ret"", null, ""printf_arg""]"
58,"[""fstat_ret""]","[""strerror_ret"", null]"
59,[null],"[null, ""printf_arg"", null, ""fstat_arg_ret"", null]"
60,[null],"[null, ""printf_arg""]"
61,[null],"[null, null]"
62,[null],"[""getpid_ret"", null, null, ""recv_generator_arg"", null]"
63,"[""mkdir_ret"", ""strerror_arg"", null]","[""strerror_ret"", null, ""recv_generator_arg"", null, ""recv_generator_arg"", null]"
64,[null],"[""write_total_ret"", null]"
65,[null],"[null, ""check_exclude_arg_ret""]"
102,"[""lstat_ret""]","[""strerror_ret"", null, ""lstat_arg_ret""]"
66,"[""S_ISDIR_ret"", ""int""]","[null, ""lstat_arg_ret""]"
67,[null],"[null, ""match_file_name_arg_ret""]"
68,"[""readlink_ret"", ""readlink_ret""]","[""strerror_ret"", null, ""readlink_arg_ret""]"
69,"[""send_directory_arg"", null]",[]
70,"[""opendir_ret""]","[""strerror_ret"", null, ""opendir_arg_ret""]"
71,"[null, ""send_file_name_arg""]","[null, null, null]"
72,"[""S_ISDIR_ret"", ""send_file_name_arg""]","[null, ""lstat_arg_ret""]"
73,"[""getcwd_ret"", ""send_file_entry_arg""]","[""strerror_ret"", null]"
111,"[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]"
74,"[""chdir_ret""]","[""strerror_ret"", null, null]"
75,"[null, ""int""]","[null, null, null]"
76,[null],"[null, ""malloc_ret"", null, ""int"", null]"
77,[null],"[null, ""malloc_ret"", null]"
104,[null],[]
78,"[null, null]","[null, "" struct file_list"", null, ""int"", ""free_arg""]"
79,[null],"[null, ""piped_child_arg"", ""int""]"
80,"["" struct file_list"", null]",[null]
81,"[""mkdir_ret""]","[""strerror_ret"", null, ""mkdir_arg_ret""]"
82,"[""mkdir_ret""]","[null, null, null, ""mkdir_arg_ret""]"
83,[null],"[""getpid_ret"", null, null]"
84,[null],"[""getpid_ret"", null, ""int"", null]"
105,"[""recv_file_list_ret"", ""recv_file_list_ret"", null]",[null]
85,[null],"[""read_total_ret"", null]"
106,"[""getuid_ret""]","[""usage_arg""]"
86,"[""getopt_long_ret""]","[""usage_arg"", ""getopt_long_ret""]"
87,"[""read_int_ret"", ""remote_version_arg"", ""read_int_ret"", null]","[""usage_arg""]"
88,"[""MAX_ret""]","[""usage_arg"", ""do_cmd_arg"", ""do_cmd_arg"", ""strchr_arg_ret"", ""strchr_arg_ret"", ""do_cmd_arg"", ""do_cmd_arg"", ""do_cmd_arg"", ""do_cmd_arg""]"
89,"[""read_int_ret"", null, ""read_int_ret"", null]",[null]
90,"[""MAX_ret""]","[""getpid_ret"", null, null, ""do_cmd_ret"", null, ""send_file_list_arg""]"
91,"[""MAX_ret""]",[null]
92,"[""MAX_ret""]","[null, ""do_cmd_ret""]"
93,"[""MAX_ret""]","[""read_total_ret"", null]"
107,[null],"[""gettext_ret"", null, ""exchange_arg_ret"", ""exchange_arg_ret"", null]"
94,"[""exchange_arg_ret"", null]","[""gettext_ret"", null, ""exchange_arg_ret"", "" struct option"", null]"
95,"[""exchange_arg_ret"", null]","[""gettext_ret"", null, ""exchange_arg_ret"", ""exchange_arg_ret"", null, "" struct option"", null]"
96,"[""exchange_arg_ret"", null]","[""gettext_ret"", null, ""exchange_arg_ret"", null]"
97,"[""exchange_arg_ret"", null]","[""gettext_ret"", null, ""exchange_arg_ret"", ""exchange_arg_ret"", null, null]"
108,[null],"[""gettext_ret"", null, ""exchange_arg_ret"", ""char""]"
