class,class_size,check,variable
104,10,"[""new_array_ret""]",[]
92,2,"[""int""]","[""int""]"
105,9,"[""new_array_ret"", ""new_array_ret""]",[]
106,13,"[""asprintf_ret""]",[]
0,1,"[""asprintf_ret""]","[""auth_client_arg"", ""strlen_ret"", ""strncmp_arg_ret""]"
1,1,[null],"[""write_sbuf_arg"", ""send_protected_args_arg"", ""int""]"
2,1,"[""group_to_gid_ret""]","[""int"", ""rprintf_arg_ret""]"
3,1,"[""getallgroups_ret"", ""getallgroups_ret"", null]","[""int"", ""rsyserr_arg_ret""]"
4,1,"[""getpwuid_ret"", ""getpwuid_ret"", null]","[""int""]"
5,1,"[""lp_list_ret""]","[""auth_server_arg"", ""rprintf_arg_ret""]"
6,1,"[""lp_list_ret""]","[""auth_server_arg"", ""rprintf_arg_ret"", ""rprintf_arg_ret"", ""rprintf_arg_ret""]"
7,1,"[""rsyserr_arg""]","[""auth_server_arg""]"
8,1,"[""rsyserr_arg""]","[""lp_max_connections_ret"", ""auth_server_arg""]"
9,1,"[""auth_server_ret""]","[""want_all_groups_arg"", ""rprintf_arg_ret""]"
10,1,"[""user_to_uid_ret""]","[""want_all_groups_arg"", ""rprintf_arg_ret""]"
11,1,"[""strcmp_ret""]","[""add_a_group_arg""]"
12,1,"[""want_all_groups_ret""]","[""add_a_group_arg""]"
13,1,"[""lp_path_ret""]","[""path_failure_arg""]"
14,1,"[""fork_ret""]","[""close_arg""]"
15,1,"[""pipe_ret"", ""pipe_ret"", ""fork_ret"", ""pipe_ret""]","[""path_failure_arg""]"
16,1,"[""chroot_ret""]","[""path_failure_arg""]"
17,1,"[""do_stat_ret"", ""S_ISDIR_ret""]","[""io_start_multiplex_out_arg"", ""rprintf_arg_ret""]"
18,1,"[""setgid_ret""]","[""io_start_multiplex_out_arg""]"
19,1,"[""setgroups_ret""]","[""io_start_multiplex_out_arg""]"
20,1,"[""initgroups_ret"", ""want_all_groups_ret""]","[""io_start_multiplex_out_arg""]"
93,2,"[""setuid_ret"", ""seteuid_ret"", null]","[""io_start_multiplex_out_arg""]"
21,1,"[""lp_list_ret""]","[""lp_name_ret"", ""lp_comment_ret"", ""int""]"
22,1,[null],"[""int""]"
23,1,"[""do_open_ret"", ""do_open_ret""]","[""strerror_ret"", null, ""do_open_arg_ret""]"
24,1,"[""fork_ret""]","[""strerror_ret"", null]"
25,1,"[""load_config_ret""]","[null, null]"
100,4,"[""new_array_ret"", ""new_array_ret"", null]",[]
26,1,"[""realloc_ret"", ""strlen_ret"", ""realloc_ret"", null]",[]
102,7,"[""strdup_ret"", ""strdup_ret""]",[]
27,1,"[""strdup_ret"", ""char"", ""LOCAL_STRING_COUNT_ret"", ""char"", ""LOCAL_STRING_COUNT_ret""]",[]
28,1,"[""stat_ret""]","[null, null]"
95,3,"[""new0_ret"", ""new0_ret""]",[]
29,1,"["" struct map_struct"", null]",[]
30,1,"[""new_array_ret"", ""xbuf"", null]",[]
97,3,"[""realloc_array_ret""]",[]
31,1,"[""new_array_ret"", ""free_filter_arg_ret"", null]",[]
32,1,"[""new_array0_ret"", ""new_array0_ret""]",[]
33,1,"[null, null]","[null, null]"
34,1,"["" struct idlist""]",[]
35,1,"[null, ""restore_iobuf_size_arg"", null, null, null, ""rprintf_arg""]","[""long_ret"", null, ""rprintf_arg"", ""rprintf_arg""]"
36,1,"[null, null, null, ""rprintf_arg""]","[null, ""rprintf_arg"", ""rprintf_arg"", ""rprintf_arg"", null, null, null]"
94,2,"[""realloc_array_ret"", ""realloc_array_ret""]",[]
101,4,"[""strdup_ret""]",[]
37,1,"[""new_array0_ret"", ""new_array0_ret"", null, ""new_array0_ret"", null]",[]
103,5,"[""int""]",[null]
38,1,"["" struct suffix_tree"", null]",[]
39,1,"[""new_array_ret"", ""strlen_ret"", ""new_array_ret""]",[]
40,1,"[""new_array_ret"", ""strlen_ret"", ""new_array_ret"", ""new_array_ret""]",[]
41,1,"[""new_array_ret"", ""new_array_ret"", ""AVAIL_OUT_SIZE_ret"", ""new_array_ret"", ""new_array_ret""]",[]
42,1,"[""new_array0_ret""]",[]
43,1,"[""dup2_ret"", ""dup2_ret""]","[null, ""rprintf_arg_ret""]"
44,1,"[""read_sum_head_arg"", null]",[]
45,1,"[""new_array_ret"", ""read_sum_head_arg_ret"", null]",[]
46,1,"[""XATTR_ABBREV_arg_ret"", null]",[]
47,1,"[""fflush_arg""]","[""timestring_ret"", ""time_ret"", ""getpid_ret"", ""fflush_arg"", null, ""syslog_arg""]"
48,1,"[""isDigit_ret"", ""isDigit_ret"", ""isDigit_ret"", ""isPrint_ret"", ""isDigit_arg"", ""fwrite_arg"", ""isDigit_arg"", ""isDigit_arg"", ""isDigit_arg_ret"", ""int"", null, ""isPrint_arg_ret""]","[""fwrite_arg_ret"", null, ""fwrite_arg_ret""]"
49,1,"["" enum logcode""]","[""who_am_i_ret"", null, null, "" enum logcode""]"
50,1,"[""iconvbufs_arg"", null]","[""CVAL_ret"", ""filtered_fwrite_arg_ret""]"
51,1,"[""new_array0_ret"", ""hashtable_find_ret"", null]",[]
52,1,"[""strdup_ret"", ""hashtable_find_ret"", null]",[]
53,1,"[""strdup_ret"", null, null, null, null]",[]
54,1,"[""calloc_ret"", "" struct bitbag"", null, null]",[]
55,1,"[""calloc_ret"", "" struct bitbag"", null, ""int"", null]",[]
56,1,"["" struct flist_ndx_item"", null]",[]
57,1,"[""_realloc_array_ret""]",[]
58,1,"[""sys_lgetxattr_ret""]","[""strerror_ret"", null, null, ""sys_lgetxattr_arg_ret""]"
59,1,"[""sscanf_ret""]","[null, null, ""sys_lgetxattr_arg_ret"", null]"
60,1,"[""poptGetNextOpt_ret""]","[""poptBadOption_ret"", ""poptStrerror_ret"", null]"
61,1,"[""rsync_acl""]",[]
62,1,"[""new_array_ret"", ""rsync_acl_free_arg_ret"", null, null]",[]
63,1,"[""new_array_ret"", ""new_array_ret"", ""unpack_smb_acl_arg"", null, null]",[]
64,1,"[""new_array_ret"", ""ida_entries"", null]",[]
65,1,"["" struct file_list"", null]",[]
66,1,"[""new_array_ret"", ""send1extra_arg_ret"", null]",[]
96,2,"[""new_array_ret"", ""finish_filelist_progress_arg_ret"", null]",[]
67,1,"[""new0_ret"", ""new0_ret""]","[""char""]"
68,1,"[""pool_create_ret"", ""new0_ret"", null]","[""char""]"
69,1,"[""new0_ret"", null]","[""char""]"
70,1,[null],"[""fflush_arg"", ""snprintf_arg""]"
71,1,"[""pqremove_arg_ret"", ""pqdownheap_arg"", null]","[null, ""int"", ""pqremove_arg_ret"", ""int"", null, ""int"", ""pqremove_arg_ret"", ""int"", null, ""int"", ""pqremove_arg_ret"", ""int"", null]"
72,1,"[""zmemcmp_ret"", null]","[""putc_arg"", ""IPos"", ""IPos"", ""int""]"
73,1,"[""zmemcmp_ret"", null]","[""putc_arg"", null, null, ""IPos"", null, null, ""IPos""]"
74,1,[null],"[""putc_arg"", ""IPos"", ""IPos"", ""int""]"
75,1,"[""open_arg""]","[null, ""open_arg""]"
76,1,"[""open_ret"", ""open_ret""]","[""strerror_ret"", null, ""run_program_arg""]"
98,2,"[""write_ret"", ""read_ret""]","[""strerror_ret"", null]"
77,1,"[""pipe_ret""]","[""strerror_ret"", null]"
78,1,"[""fork_ret"", ""fork_ret""]","[""strerror_ret"", null]"
99,2,"[""dup2_ret""]","[""strerror_ret"", null]"
79,1,"[""fork_ret""]","[""strerror_ret"", null, ""execvp_arg_ret""]"
80,1,"[""char""]","[null, ""char""]"
81,1,"[""char""]","[null, ""poptContext"", ""poptContext"", null, ""poptContext"", null, null, ""poptContext"", null, null, ""poptContext"", null, null, ""poptContext"", null, null, ""poptContext"", null, null, ""poptContext"", null, null, ""poptContext"", null, null, ""poptContext"", null, null, ""poptContext"", null, null, ""poptContext"", null, null]"
82,1,[null],"[null, ""sizeof_arg_ret"", ""int""]"
83,1,[null],"[null, ""char""]"
84,1,[null],[null]
