class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,calls,types,necessity
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/delete.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_1_last_repos.cpp,"[""rprintf"", ""push_local_filters"", ""strlcpy"", ""f_name"", ""do_chmod"", ""delete_dir_contents"", ""pop_local_filters"", ""DEBUG_GTE"", ""S_ISDIR"", ""flist_free"", ""get_dirlist"", ""strlen"", ""delete_item""]","[""int"", "" enum delret"", ""void"", ""unsigned"", "" struct file_list"", ""char"", ""uint16"", "" struct file_struct""]",accept-true
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/io.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_141_last_repos.cpp,"[""send_msg_int"", ""F_IS_HLINKED"", ""flist_for_ndx"", ""F_LENGTH"", ""flist_ndx_push""]","[""int"", ""void"", "" enum festatus"", "" struct file_struct"", "" struct file_list""]",accept-true
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/backup.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_196_last_repos.cpp,"[""rprintf"", ""strchr"", ""cache_tmp_xattr"", ""x_stat"", ""free_xattr"", ""init_stat_x"", ""get_acl"", ""free_acl"", ""make_file"", ""uncache_tmp_acls"", ""cache_tmp_acl"", ""set_file_attrs"", ""validate_backup_dir"", ""full_fname"", ""uncache_tmp_xattrs"", ""stringjoin"", ""do_mkdir"", ""S_ISLNK"", ""get_xattr"", ""unmake_file"", ""rsyserr""]","[""char"", ""int"", "" struct file_struct"", ""BOOL"", ""stat_x""]",accept-true
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/backup.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_199_last_repos.cpp,"[""rprintf"", ""init_stat_x"", ""do_lstat"", ""delete_item"", ""get_backup_name"", ""DEBUG_GTE"", ""S_ISLNK"", ""uncache_tmp_acls"", ""F_SYMLINK"", ""do_symlink"", ""INFO_GTE"", ""get_acl"", ""free_acl"", ""link_or_rename"", ""uncache_tmp_xattrs"", ""get_xattr"", ""unmake_file"", ""rsyserr"", ""copy_file"", ""IS_SPECIAL"", ""S_ISREG"", ""free_xattr"", ""do_mknod"", ""cache_tmp_acl"", ""set_file_attrs"", ""cache_tmp_xattr"", ""unsafe_symlink"", ""make_file"", ""full_fname"", ""get_del_for_flag"", ""IS_DEVICE"", ""x_lstat""]","[""STRUCT_STAT"", ""int"", ""char"", ""BOOL"", ""stat_x"", "" struct file_struct""]",accept-true
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/progress.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_225_last_repos.cpp,"[""flist_find""]","[""int"", ""void"", "" struct file_struct""]",accept-true
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/sender.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_257_last_repos.cpp,"[""rprintf"", ""flist_for_ndx"", ""F_LENGTH"", ""INFO_GTE"", ""do_lstat"", ""NSEC_BUMP"", ""f_name"", ""S_ISREG"", ""do_unlink"", ""change_pathname"", ""F_MOD_NSEC"", ""rsyserr""]","[""STRUCT_STAT"", ""int"", ""void"", "" struct file_list"", ""char"", "" struct file_struct""]",accept-true
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/sender.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_258_last_repos.cpp,"[""write_vstring"", ""send_xattr_request"", ""write_shortint"", ""BITS_SET"", ""write_byte"", ""write_ndx""]","[""int"", ""char"", ""void"", ""uchar"", "" struct file_struct""]",accept-true
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/sender.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_259_last_repos.cpp,"[""rprintf"", ""big_num"", ""who_am_i"", ""read_ndx_and_attrs"", ""rsyserr"", ""write_ndx_and_attrs"", ""DEBUG_GTE"", ""change_pathname"", ""close"", ""S_ISLNK"", ""remember_initial_stats"", ""exit_cleanup"", ""match_report"", ""INFO_GTE"", ""do_open"", ""recv_xattr_request"", ""set_compression"", ""set_current_file_index"", ""maybe_log_item"", ""map_file"", ""INFO_EQ"", ""S_ISREG"", ""F_LENGTH"", ""f_name"", ""F_PATHNAME"", ""log_item"", ""send_extra_file_list"", ""S_ISDIR"", ""unmap_file"", ""match_sums"", ""write_sum_head"", ""end_progress"", ""BITS_SET"", ""send_msg_int"", ""do_fstat"", ""full_fname"", ""receive_sums"", ""MAX"", ""IS_DEVICE"", ""flist_free"", ""write_ndx"", ""free_sums""]","[""int32"", ""STRUCT_STAT"", ""int"", ""void"", "" struct sum_struct"", "" struct map_struct"", "" enum logcode"", ""char"", ""uchar"", "" struct file_struct""]",accept-true
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/cleanup.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_263_last_repos.cpp,[],"[""char"", ""int"", ""void"", "" struct file_struct""]",accept-true
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/xattrs.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_276_last_repos.cpp,"[""F_XATTR"", ""XATTR_READY"", ""strcmp"", ""memcmp""]","[""int"", ""stat_x"", "" struct file_struct"", ""rsync_xa"", ""item_list""]",accept-true
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/xattrs.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_277_last_repos.cpp,"[""rprintf"", ""F_XATTR"", ""write_varint"", ""free"", ""assert"", ""write_byte"", ""write_bigbuf"", ""get_xattr_data""]","[""item_list"", ""int"", ""void"", ""char"", ""size_t"", "" struct file_struct"", ""rsync_xa""]",accept-true
