class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,calls,types,necessity
580,2,rsync-0.3_diff_rsync-0.4,-1,,"fprintf(stderr,""chdir %s : %s\n"",name,strerror(errno));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_34.cpp,28,"[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]","[[], [""fprintf"", ""stderr"", ""chdir"", ""%s"", ""%s\\n"", ""name"", ""strerror"", ""errno""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.3/flist.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_49_rsync-0.3.cpp,"[""write_flush"", ""malloc"", ""chdir"", ""lstat"", ""getcwd"", ""strerror"", ""write_int"", ""out_of_memory"", ""fprintf"", ""strrchr"", ""S_ISDIR"", ""send_file_name"", ""exit"", ""strlen""]","[""int"", ""char"", "" struct stat"", "" struct file_list""]",accept-false
580,2,rsync-0.3_diff_rsync-0.4,-1,,"fprintf(stderr,""chdir %s : %s\n"",name,strerror(errno));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_34.cpp,28,"[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]","[[], [""fprintf"", ""stderr"", ""chdir"", ""%s"", ""%s\\n"", ""name"", ""strerror"", ""errno""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.3/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_54_rsync-0.3.cpp,"[""chdir"", ""send_files"", ""strerror"", ""report"", ""exit"", ""getpid"", ""send_file_list"", ""fprintf"", ""strlen"", ""strcmp""]","[""int"", ""char"", ""void"", "" struct file_list""]",accept-false
580,2,rsync-0.3_diff_rsync-0.4,-1,,"fprintf(stderr,""chdir %s : %s\n"",name,strerror(errno));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_34.cpp,28,"[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]","[[], [""fprintf"", ""stderr"", ""chdir"", ""%s"", ""%s\\n"", ""name"", ""strerror"", ""errno""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.3/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_55_rsync-0.3.cpp,"[""fork"", ""stat"", ""chdir"", ""recv_generator"", ""recv_file_list"", ""mkdir"", ""strerror"", ""read_total"", ""write_int"", ""exit"", ""getpid"", ""write_flush"", ""S_ISDIR"", ""fprintf"", ""recv_files"", ""waitpid"", ""write_total""]","[""int"", ""char"", ""void"", "" struct stat"", "" struct file_list""]",accept-false
580,2,rsync-0.3_diff_rsync-0.4,-1,,"fprintf(stderr,""chdir %s : %s\n"",name,strerror(errno));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_34.cpp,28,"[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]","[[], [""fprintf"", ""stderr"", ""chdir"", ""%s"", ""%s\\n"", ""name"", ""strerror"", ""errno""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-0.3/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_57_rsync-0.3.cpp,"[""do_server_sender"", ""write_int"", ""read_int"", ""add_exclude"", ""fprintf"", ""write_total"", ""printf"", ""write_flush"", ""recv_files"", ""strchr"", ""send_exclude_list"", ""add_cvs_excludes"", ""read_total"", ""mkdir"", ""do_cmd"", ""exit"", ""getpid"", ""usage"", ""waitpid"", ""fork"", ""stat"", ""send_files"", ""do_server_recv"", ""recv_file_list"", ""send_file_list"", ""atoi"", ""report"", ""getopt_long"", ""S_ISDIR"", ""chdir"", ""getuid"", ""MAX"", ""signal"", ""strerror"", ""time"", ""recv_generator"", ""recv_exclude_list"", ""add_exclude_file""]","[""int"", ""char"", "" struct stat"", "" struct file_list""]",accept-true
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.2/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_44_rsync-1.2.cpp,"[""stat"", ""strerror"", ""chmod"", ""chown"", ""fprintf"", ""set_modtime""]","[""char"", ""int"", ""void"", "" struct file_struct"", "" struct stat""]",accept-true
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.2/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_47_rsync-1.2.cpp,"[""S_ISDIR"", ""unlink"", ""fprintf"", ""strerror"", ""rmdir""]","[""void"", "" struct file_struct""]",accept-true
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.2/flist.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_58_rsync-1.2.cpp,"[""S_ISLNK"", ""fprintf"", ""write_int"", ""strlen"", ""write_buf""]","[""int"", ""void"", "" struct file_struct""]",accept-true
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.2/flist.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_59_rsync-1.2.cpp,"[""lstat"", ""bzero"", ""S_ISREG"", ""strerror"", ""file_checksum"", ""fprintf"", ""match_file_name"", ""S_ISDIR"", ""readlink"", ""strdup"", ""S_ISLNK""]","[""int"", ""char"", "" struct file_struct"", "" struct stat""]",accept-true
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.2/flist.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_60_rsync-1.2.cpp,"[""send_file_entry"", ""realloc"", ""send_directory"", ""make_file"", ""out_of_memory"", ""S_ISDIR"", ""strcmp""]","[""int"", ""char"", ""void"", "" struct file_struct"", "" struct file_list""]",accept-true
581,2,rsync-1.2_diff_rsync-1.3,-1,,"out_of_memory(""receive_file_entry"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_75.cpp,40,"["" struct file_struct"", null]",[],"[[], [""out_of_memory"", ""receive_file_entry""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.2/flist.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_64_rsync-1.2.cpp,"[""strcmp""]","[""int"", "" struct file_struct""]",accept-true
