class,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,loc,log,check,variable,cluster
582,391,"fprintf(stderr,""%s : %s\n"",fname,strerror(errno));","fprintf(FERROR,""%s : %s\n"",fname,strerror(errno));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_95.cpp,34,"[""lstat_ret""]","[""strerror_ret"", null, ""lstat_arg_ret""]","[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/flist.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_72.cpp,10,"fprintf(stderr,""%s: %s\n"",
	    fname,strerror(errno))","[""lstat_ret""]","[""strerror_ret"", null, ""lstat_arg_ret""]",102
582,391,"fprintf(stderr,""%s : %s\n"",fname,strerror(errno));","fprintf(FERROR,""%s : %s\n"",fname,strerror(errno));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_95.cpp,34,"[""lstat_ret""]","[""strerror_ret"", null, ""lstat_arg_ret""]","[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/flist.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_75.cpp,35,"fprintf(stderr,""%s : %s\n"",fname,strerror(errno))","[""lstat_ret""]","[""strerror_ret"", null, ""lstat_arg_ret""]",102
625,456,"fprintf(stderr,""recv_file_list starting\n"");","fprintf(FERROR,""recv_file_list starting\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_101.cpp,6,[null],[null],"[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_4.cpp,13,"fprintf(stderr,""built hash table\n"")",[null],[null],112
625,456,"fprintf(stderr,""recv_file_list starting\n"");","fprintf(FERROR,""recv_file_list starting\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_101.cpp,6,[null],[null],"[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_4.cpp,18,"fprintf(stderr,""done hash search\n"")",[null],[null],112
625,456,"fprintf(stderr,""recv_file_list starting\n"");","fprintf(FERROR,""recv_file_list starting\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_101.cpp,6,[null],[null],"[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/exclude.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_9.cpp,9,"fprintf(stderr,""clearing exclude list\n"")",[null],[null],112
625,456,"fprintf(stderr,""recv_file_list starting\n"");","fprintf(FERROR,""recv_file_list starting\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_101.cpp,6,[null],[null],"[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_59.cpp,111,"fprintf(stderr,""recv_files finished\n"")",[null],[null],112
625,456,"fprintf(stderr,""recv_file_list starting\n"");","fprintf(FERROR,""recv_file_list starting\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_101.cpp,6,[null],[null],"[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_60.cpp,12,"fprintf(stderr,""send_files starting\n"")",[null],[null],112
625,456,"fprintf(stderr,""recv_file_list starting\n"");","fprintf(FERROR,""recv_file_list starting\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_101.cpp,6,[null],[null],"[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/flist.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_76.cpp,7,"fprintf(stderr,""recv_file_list starting\n"")",[null],[null],112
625,456,"fprintf(stderr,""recv_file_list starting\n"");","fprintf(FERROR,""recv_file_list starting\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_101.cpp,6,[null],[null],"[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_83.cpp,49,"fprintf(stderr,""cmd="")",[null],[null],112
625,456,"fprintf(stderr,""recv_file_list starting\n"");","fprintf(FERROR,""recv_file_list starting\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_101.cpp,6,[null],[null],"[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_83.cpp,52,"fprintf(stderr,""\n"")",[null],[null],112
620,224,"fprintf(stderr,""chdir %s : %s\n"",name,strerror(errno));","fprintf(FERROR,""chdir %s : %s\n"",name,strerror(errno));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_112.cpp,7,"[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]","[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/flist.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_75.cpp,60,"fprintf(stderr,""chdir %s : %s\n"",dir,strerror(errno))","[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]",111
620,224,"fprintf(stderr,""chdir %s : %s\n"",name,strerror(errno));","fprintf(FERROR,""chdir %s : %s\n"",name,strerror(errno));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_112.cpp,7,"[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]","[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_84.cpp,8,"fprintf(stderr,""chdir %s : %s\n"",name,strerror(errno))","[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]",111
620,224,"fprintf(stderr,""chdir %s : %s\n"",name,strerror(errno));","fprintf(FERROR,""chdir %s : %s\n"",name,strerror(errno));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_112.cpp,7,"[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]","[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_84.cpp,34,"fprintf(stderr,""chdir %s : %s\n"",name,strerror(errno))","[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]",111
620,224,"fprintf(stderr,""chdir %s : %s\n"",name,strerror(errno));","fprintf(FERROR,""chdir %s : %s\n"",name,strerror(errno));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_112.cpp,7,"[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]","[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_85.cpp,11,"fprintf(stderr,""chdir %s: %s\n"",dir,strerror(errno))","[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]",111
620,224,"fprintf(stderr,""chdir %s : %s\n"",name,strerror(errno));","fprintf(FERROR,""chdir %s : %s\n"",name,strerror(errno));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_112.cpp,7,"[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]","[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_86.cpp,16,"fprintf(stderr,""chdir %s : %s\n"",dir,strerror(errno))","[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]",111
584,530,"fprintf(stderr,""-D only allowed for root\n"");","fprintf(FERROR,""-D only allowed for root\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_126.cpp,108,"[""getuid_ret""]","[""usage_arg""]","[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_88.cpp,96,"fprintf(stderr,""-o only allowed for root\n"")","[""getuid_ret""]","[""usage_arg""]",106
584,530,"fprintf(stderr,""-D only allowed for root\n"");","fprintf(FERROR,""-D only allowed for root\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_126.cpp,108,"[""getuid_ret""]","[""usage_arg""]","[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_88.cpp,109,"fprintf(stderr,""-D only allowed for root\n"")","[""getuid_ret""]","[""usage_arg""]",106
583,721,"fprintf(stderr,""nothing to do\n"");","fprintf(FERROR,""nothing to do\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_132.cpp,299,"[""recv_file_list_ret"", ""recv_file_list_ret"", null]",[null],"[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_86.cpp,26,"fprintf(stderr,""nothing to do\n"")","[""recv_file_list_ret"", ""recv_file_list_ret"", null]",[null],105
583,721,"fprintf(stderr,""nothing to do\n"");","fprintf(FERROR,""nothing to do\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_132.cpp,299,"[""recv_file_list_ret"", ""recv_file_list_ret"", null]",[null],"[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_88.cpp,300,"fprintf(stderr,""nothing to do\n"")","[""recv_file_list_ret"", ""recv_file_list_ret"", null]",[null],105
585,245,"fprintf(am_server?stderr:stdout,""%s is uptodate\n"",fname);","fprintf(FINFO,""%s is uptodate\n"",fname);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_152.cpp,54,"[""int""]","[null, null, null, ""chown_arg_ret""]","[[u'am_server', u'stderr', u'stdout'], [u'FINFO']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_52.cpp,53,"fprintf(am_server?stderr:stdout,""%s\n"",fname)","[""int""]","[null, null, null, ""chown_arg_ret""]",98
585,245,"fprintf(am_server?stderr:stdout,""%s is uptodate\n"",fname);","fprintf(FINFO,""%s is uptodate\n"",fname);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_152.cpp,54,"[""int""]","[null, null, null, ""chown_arg_ret""]","[[u'am_server', u'stderr', u'stdout'], [u'FINFO']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_52.cpp,55,"fprintf(am_server?stderr:stdout,""%s is uptodate\n"",fname)","[""int""]","[null, null, null, ""chown_arg_ret""]",98
586,333,"fprintf(stderr,""%s : not a regular file\n"",fname);","fprintf(FERROR,""%s : not a regular file\n"",fname);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_161.cpp,83,"[""S_ISREG_ret""]","[null, ""set_perms_arg_ret""]","[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_53.cpp,68,"fprintf(stderr,""skipping non-regular file %s\n"",fname)","[""S_ISREG_ret""]","[null, ""set_perms_arg_ret""]",99
586,333,"fprintf(stderr,""%s : not a regular file\n"",fname);","fprintf(FERROR,""%s : not a regular file\n"",fname);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_161.cpp,83,"[""S_ISREG_ret""]","[null, ""set_perms_arg_ret""]","[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_53.cpp,84,"fprintf(stderr,""%s : not a regular file\n"",fname)","[""S_ISREG_ret""]","[null, ""set_perms_arg_ret""]",99
587,339,"fprintf(stderr,""%s is newer\n"",fname);","fprintf(FERROR,""%s is newer\n"",fname);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_162.cpp,89,[null],"[null, ""set_perms_arg_ret""]","[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_53.cpp,78,"fprintf(stderr,""recv_generator failed to open %s\n"",fname)",[null],"[null, ""set_perms_arg_ret""]",100
587,339,"fprintf(stderr,""%s is newer\n"",fname);","fprintf(FERROR,""%s is newer\n"",fname);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_162.cpp,89,[null],"[null, ""set_perms_arg_ret""]","[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_53.cpp,90,"fprintf(stderr,""%s is newer\n"",fname)",[null],"[null, ""set_perms_arg_ret""]",100
588,450,"fprintf(stderr,""deleting directory %s\n"",f->name);","fprintf(FERROR,""deleting directory %s\n"",f->name);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_174.cpp,13,[null],"[null, "" struct file_struct"", null]","[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_55.cpp,7,"fprintf(stderr,""deleting %s\n"",f->name)",[null],"[null, "" struct file_struct"", null]",101
