class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,loc,log,check,variable,necessity
625,8,rsync-1.4.4_diff_rsync-1.4.5,456,"fprintf(stderr,""recv_file_list starting\n"");","fprintf(FERROR,""recv_file_list starting\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_101.cpp,6,[null],[null],"[[""stderr""], [""FERROR""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/popt/popt.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_911_last_repos.cpp,83,"fprintf(stderr, ""\n"")",[null],[null],accept-true
626,10,rsync-1.6.9_diff_rsync-1.7.0,243,"fprintf(FERROR,""cmd="");","fprintf(FINFO,""cmd="");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_295.cpp,60,[null],[null],"[[""FERROR""], [""FINFO""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/popt/popt.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_911_last_repos.cpp,83,"fprintf(stderr, ""\n"")",[null],[null],reject
627,13,rsync-1.7.4_diff_rsync-2.0.0,681,"fprintf(FINFO,""send_file_list done\n"");","rprintf(FINFO,""send_file_list done\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_398.cpp,129,[null],[null],"[[""fprintf""], [""rprintf""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/popt/popt.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_911_last_repos.cpp,83,"fprintf(stderr, ""\n"")",[null],[null],accept-true
615,2,rsync-2.6.8_diff_rsync-2.6.9,470,"out_of_memory(""rsync_module"");",putenv(p);,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_752.cpp,200,"[""asprintf_ret""]",[],"[[""out_of_memory"", ""rsync_module""], [""putenv"", ""p""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/clientserver.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_17_last_repos.cpp,57,"out_of_memory(""start_inband_exchange"")","[""asprintf_ret""]",[],reject
615,2,rsync-2.6.8_diff_rsync-2.6.9,470,"out_of_memory(""rsync_module"");",putenv(p);,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_752.cpp,200,"[""asprintf_ret""]",[],"[[""out_of_memory"", ""rsync_module""], [""putenv"", ""p""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/clientserver.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_24_last_repos.cpp,5,"out_of_memory(""set_env_str"")","[""asprintf_ret""]",[],reject
615,2,rsync-2.6.8_diff_rsync-2.6.9,470,"out_of_memory(""rsync_module"");",putenv(p);,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_752.cpp,200,"[""asprintf_ret""]",[],"[[""out_of_memory"", ""rsync_module""], [""putenv"", ""p""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/clientserver.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_25_last_repos.cpp,4,"out_of_memory(""set_env_num"")","[""asprintf_ret""]",[],reject
615,2,rsync-2.6.8_diff_rsync-2.6.9,470,"out_of_memory(""rsync_module"");",putenv(p);,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_752.cpp,200,"[""asprintf_ret""]",[],"[[""out_of_memory"", ""rsync_module""], [""putenv"", ""p""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/exclude.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_81_last_repos.cpp,118,"out_of_memory(""add_rule"")","[""asprintf_ret""]",[],reject
615,2,rsync-2.6.8_diff_rsync-2.6.9,470,"out_of_memory(""rsync_module"");",putenv(p);,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_752.cpp,200,"[""asprintf_ret""]",[],"[[""out_of_memory"", ""rsync_module""], [""putenv"", ""p""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/socket.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_250_last_repos.cpp,42,"out_of_memory(""open_socket_in"")","[""asprintf_ret""]",[],reject
615,2,rsync-2.6.8_diff_rsync-2.6.9,470,"out_of_memory(""rsync_module"");",putenv(p);,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_752.cpp,200,"[""asprintf_ret""]",[],"[[""out_of_memory"", ""rsync_module""], [""putenv"", ""p""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/socket.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_250_last_repos.cpp,72,"out_of_memory(""open_socket_in"")","[""asprintf_ret""]",[],reject
615,2,rsync-2.6.8_diff_rsync-2.6.9,470,"out_of_memory(""rsync_module"");",putenv(p);,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_752.cpp,200,"[""asprintf_ret""]",[],"[[""out_of_memory"", ""rsync_module""], [""putenv"", ""p""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/util.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_375_last_repos.cpp,21,"out_of_memory(""glob_expand_module"")","[""asprintf_ret""]",[],reject
615,2,rsync-2.6.8_diff_rsync-2.6.9,470,"out_of_memory(""rsync_module"");",putenv(p);,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_752.cpp,200,"[""asprintf_ret""]",[],"[[""out_of_memory"", ""rsync_module""], [""putenv"", ""p""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-3.1.2/util.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_384_last_repos.cpp,25,"out_of_memory(""full_fname"")","[""asprintf_ret""]",[],reject
