patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,function,function_loc,edit_words,edit_feature,check,variable,ddg_codes,ddg_locs,cluster
rtorrent-0.0.1_diff_rtorrent-0.0.2,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.1/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.2/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_1.cpp,6,6,72,73,"m_canvas->print(0, pos++, ""%c Tracker: %s"",
		    itr == *m_focus ? '*' : ' ',
		    itr->get_download().is_tracker_busy() ? ""Connecting"" : itr->get_tracker_msg().c_str());","m_canvas->print(0, pos++, ""%c %s"", itr == *m_focus ? '*' : ' ', print_download_status(&*itr).c_str());",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_0.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_0.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_0.cpp,59,"[[u'Tracker', u'itr', u'get_download', u'is_tracker_busy', u'Connecting', u'itr', u'get_tracker_msg'], [u'print_download_status', u'&*itr']]",[22817953988505217856],[],"["" itr get_download_ret"", ""is_tracker_busy_ret"", "" itr get_tracker_msg_ret"", ""c_str_ret"", null, "" m_list begin_ret"", null]",set([]),set([]),0
rtorrent-0.0.1_diff_rtorrent-0.0.2,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.1/src/display/window_download_statusbar.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.2/src/display/window_download_statusbar.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_2.cpp,6,6,45,46,"m_canvas->print(0, 2, ""Tracker: [%c:%i] %s"",
		  m_download->get_download().is_tracker_busy() ? 'C' : ' ',
		  (int)(m_download->get_download().get_tracker_timeout() / 1000000),
		  m_download->get_tracker_msg().c_str());","m_canvas->print(0, 2, ""[%c:%i] %s"",
		  m_download->get_download().is_tracker_busy() ? 'C' : ' ',
		  (int)(m_download->get_download().get_tracker_timeout() / 1000000),
		  print_download_status(m_download).c_str());",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_1.cpp,31,"[[u'Tracker', u'get_tracker_msg'], [u'print_download_status']]",[10387920184141445217],[],"["" m_download get_download_ret"", ""is_tracker_busy_ret"", ""int_ret"", "" m_download get_download_ret"", ""get_tracker_timeout_ret"", "" m_download get_tracker_msg_ret"", ""c_str_ret""]",set([]),set([]),1
rtorrent-0.0.2_diff_rtorrent-0.0.3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.2/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.3/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_3.cpp,4,4,52,54,"m_canvas->print(0, pos++, ""%c %s"",
		    itr == *m_focus ? '*' : ' ',
		    itr->get_download().get_name().c_str());","m_canvas->print(0, pos++, ""%c %s"",
		    itr == *m_focus ? '*' : ' ',
		    (*itr)->get_download().get_name().c_str());",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_2.cpp,38,"[[u'itr'], [u'*itr']]",[16026258188270289225],[],"["" itr get_download_ret"", ""get_name_ret"", ""c_str_ret"", "" m_canvas print_arg"", "" m_list begin_ret"", null]",set([]),set([]),2
rtorrent-0.0.2_diff_rtorrent-0.0.3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.2/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.3/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_3.cpp,9,9,57,59,"m_canvas->print(0, pos++, ""%c Torrent: %.1f / %.1f MiB Rate:%5.1f /%5.1f KiB Uploaded: %.1f MiB"",
		      itr == *m_focus ? '*' : ' ',
		      (double)itr->get_download().get_bytes_done() / (double)(1 << 20),
		      (double)itr->get_download().get_bytes_total() / (double)(1 << 20),
		      (double)itr->get_download().get_rate_up() / 1024.0,
		      (double)itr->get_download().get_rate_down() / 1024.0,
		      (double)itr->get_download().get_bytes_up() / (double)(1 << 20));","m_canvas->print(0, pos++, ""%c Torrent: %.1f / %.1f MiB Rate:%5.1f /%5.1f KiB Uploaded: %.1f MiB"",
		      itr == *m_focus ? '*' : ' ',
		      (double)(*itr)->get_download().get_bytes_done() / (double)(1 << 20),
		      (double)(*itr)->get_download().get_bytes_total() / (double)(1 << 20),
		      (double)(*itr)->get_download().get_rate_up() / 1024.0,
		      (double)(*itr)->get_download().get_rate_down() / 1024.0,
		      (double)(*itr)->get_download().get_bytes_up() / (double)(1 << 20));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_3.cpp,43,"[[u'itr', u'itr', u'itr', u'itr', u'itr'], [u'*itr', u'*itr', u'*itr', u'*itr', u'*itr']]",[80131290941351446125],"["" itr get_download_ret"", ""get_chunks_done_ret"", "" itr get_download_ret"", ""get_chunks_total_ret"", "" itr get_download_ret"", ""is_open_ret""]","["" itr get_download_ret"", ""get_bytes_done_ret"", ""double_ret"", "" itr get_download_ret"", ""get_bytes_total_ret"", ""double_ret"", "" itr get_download_ret"", ""get_rate_up_ret"", "" itr get_download_ret"", ""get_rate_down_ret"", "" itr get_download_ret"", ""get_bytes_up_ret"", ""double_ret"", "" m_canvas print_arg"", "" m_list begin_ret"", null, "" m_canvas print_arg"", "" m_canvas print_arg"", "" m_canvas print_arg"", "" m_canvas print_arg"", "" m_canvas print_arg""]",set([]),set([]),3
rtorrent-0.0.2_diff_rtorrent-0.0.3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.2/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.3/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_3.cpp,18,18,66,68,"m_canvas->print(0, pos++, ""%c Torrent: Done %.1f MiB Rate:%5.1f /%5.1f KiB Uploaded: %.1f MiB"",
		      itr == *m_focus ? '*' : ' ',
		      (double)itr->get_download().get_bytes_total() / (double)(1 << 20),
		      (double)itr->get_download().get_rate_up() / 1024.0,
		      (double)itr->get_download().get_rate_down() / 1024.0,
		      (double)itr->get_download().get_bytes_up() / (double)(1 << 20));","m_canvas->print(0, pos++, ""%c Torrent: Done %.1f MiB Rate:%5.1f /%5.1f KiB Uploaded: %.1f MiB"",
		      itr == *m_focus ? '*' : ' ',
		      (double)(*itr)->get_download().get_bytes_total() / (double)(1 << 20),
		      (double)(*itr)->get_download().get_rate_up() / 1024.0,
		      (double)(*itr)->get_download().get_rate_down() / 1024.0,
		      (double)(*itr)->get_download().get_bytes_up() / (double)(1 << 20));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_4.cpp,52,"[[u'itr', u'itr', u'itr', u'itr'], [u'*itr', u'*itr', u'*itr', u'*itr']]",[64105032753081156900],"["" itr get_download_ret"", ""get_chunks_done_ret"", "" itr get_download_ret"", ""get_chunks_total_ret"", "" itr get_download_ret"", ""is_open_ret""]","["" itr get_download_ret"", ""get_bytes_total_ret"", ""double_ret"", "" itr get_download_ret"", ""get_rate_up_ret"", "" itr get_download_ret"", ""get_rate_down_ret"", "" itr get_download_ret"", ""get_bytes_up_ret"", ""double_ret"", "" m_canvas print_arg"", "" m_list begin_ret"", null, "" m_canvas print_arg"", "" m_canvas print_arg"", "" m_canvas print_arg"", null]",set([]),set([]),4
rtorrent-0.0.2_diff_rtorrent-0.0.3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.2/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.3/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_3.cpp,25,25,73,75,"m_canvas->print(0, pos++, ""%c %s"", itr == *m_focus ? '*' : ' ', print_download_status(&*itr).c_str());","m_canvas->print(0, pos++, ""%c %s"", itr == *m_focus ? '*' : ' ', print_download_status(*itr).c_str());",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_5.cpp,59,"[[u'&*itr'], [u'*itr']]",[502124422598648179],[],"[""print_download_status_ret"", ""c_str_ret"", null, "" m_list begin_ret"", null]",set([]),set([]),5
rtorrent-0.0.2_diff_rtorrent-0.0.3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.2/src/display/window_peer_info.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.3/src/display/window_peer_info.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_6.cpp,14,14,29,29,"m_canvas->print(0, y++, ""Hash: %s"", escape_string(m_download->get_download().get_hash()).c_str());","m_canvas->print(0, y++, ""Hash: %s"", utils::string_to_hex(m_download->get_download().get_hash()).c_str());",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_6.cpp,10,"[[u'escape_string'], [u'utils', u'string_to_hex']]",[-5351480252038733366],[],"[""escape_string_ret"", "" m_download get_download_ret"", ""get_hash_ret"", ""c_str_ret"", "" m_canvas print_arg""]",set([]),set([]),6
rtorrent-0.0.2_diff_rtorrent-0.0.3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.2/src/display/window_peer_info.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.3/src/display/window_peer_info.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_7.cpp,6,6,44,44,"m_canvas->print(0, y++, ""Id: %s"" , escape_string((*m_focus)->get_id()).c_str());","m_canvas->print(0, y++, ""Id: %s"" , utils::escape_string((*m_focus)->get_id()).c_str());",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_7.cpp,25,"[[], [u'utils']]",[-3878154149623288438],[],"[""escape_string_ret"", "" m_focus get_id_ret"", ""c_str_ret"", "" m_canvas print_arg""]",set([]),set([]),7
rtorrent-0.0.3_diff_rtorrent-0.1.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.0.3/src/display/window_statusbar.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.0/src/display/window_statusbar.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_11.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_11.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_11.cpp,4,4,24,27,"m_canvas->print(0, 0, ""Throttle: %i Listen: %s:%i Handshakes: %i Select: %u"",
		  (int)torrent::get(torrent::THROTTLE_ROOT_CONST_RATE) / 1024,
		  """",
		  (int)torrent::get(torrent::LISTEN_PORT),
		  (int)torrent::get(torrent::HANDSHAKES_TOTAL),
		  m_counter);","m_canvas->print(0, 0, ""Throttle: %i Listen: %s:%i Handshakes: %i Select: %u"",
		  (int)torrent::get(torrent::THROTTLE_ROOT_CONST_RATE) / 1024,
		  m_core->get_dns().empty() ? ""<default>"" : m_core->get_dns().c_str(),
		  (int)torrent::get(torrent::LISTEN_PORT),
		  (int)torrent::get(torrent::HANDSHAKES_TOTAL),
		  m_counter);",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_8.cpp,10,"[[], [u'm_core', u'get_dns', u'empty', u'default', u'm_core', u'get_dns', u'c_str']]",[20105430623735322332],[],"["" torrent get_ret"", "" torrent get_ret"", "" torrent get_ret"", "" m_canvas print_arg"", "" m_canvas print_arg"", null, null]",set([]),set([]),8
rtorrent-0.1.0_diff_rtorrent-0.1.1,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.0/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.1/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_13.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_13.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_13.cpp,42,31,54,44,"m_canvas->print(0, pos++, ""%c %s"",
		    itr == *m_focus ? '*' : ' ',
		    (*itr)->get_download().get_name().c_str());","m_canvas->print(0, pos++, ""%c %s"",
		    range.first == *m_focus ? '*' : ' ',
		    d.get_name().c_str());",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_9.cpp,38,"[[u'itr', u'*itr', u'get_download'], [u'range', u'first', u'd']]",[-8966270524642718950],[],"["" itr get_download_ret"", ""get_name_ret"", ""c_str_ret"", "" m_canvas print_arg"", "" m_list begin_ret"", null]",set([]),set([]),9
